estab_internacao;zero_nove;dez_nove;vinte_nove;trinta_nove;quarenta_nove;cinquenta_nove;sessenta_nove;setenta_nove;oitenta_nove;noventa_nove;cem_mais;ignorada;total
7947984 COMPLEXO MUNICIPAL DE SAUDE;;;;;;1;1;;;;;;2
2077574 CONJUNTO HOSPITALAR DO MANDAQUI SAO PAULO;638;37;37;50;85;150;182;126;93;25;;;1423
2081695 CONJUNTO HOSPITALAR SOROCABA;;;;;;;;1;;;;;1
2078627 DAY HOSPITAL DE ERMELINO MATARAZZO;;;19;50;61;46;12;12;6;;;;206
9491252 DR RUBENS SAVASTANO HOSPITAL REGIONAL DE SAO JOSE DOS CAMPOS - SJC - SP;;;;;1;2;;1;;;;;4
0009709 EBSERH HOSP UNIV MARIA APARECIDA PEDROSSIAN;1;;;;1;;;;;;;;2
2080001 FAMILY HOSPITAL;;;1;1;2;2;3;;;;;;9
2090236 FUNDACAO PIO XII - BARRETOS (SP);;;;;1;2;1;;;;;;4
2078015 HC DA FMUSP HOSPITAL DAS CLINICAS SAO PAULO;127;26;91;191;213;367;448;340;146;36;1;;1986
2296608 HCJ HOSPITAL DE CLINICAS DE JACAREPAGUA;;;;;;;1;;;;;;1
2786435 HCSVP HOSPITAL SAO VICENTE;;1;;;;;1;1;;1;;;4
2751860 HD DA REDE HORA CERTA IPIRANGA FLAVIO GIANNOTTI;;;5;10;15;14;15;9;2;;;1;71
0010561 HFA;;;;1;;;;;;;;;1
2079089 HOSP 9 DE JULHO;15;3;14;54;69;85;101;111;72;38;3;;565
2082314 HOSP ALBERT SABIN;;7;54;75;75;93;42;32;38;15;;;431
2089238 HOSP ALVORADA;435;57;85;190;260;219;151;157;129;65;2;;1750
2078481 HOSP AVICCENA;;17;54;115;123;101;62;77;60;15;;;624
2078600 HOSP DA AERONAUTICA DE SPHASP;;;1;3;2;9;11;10;3;1;;;40
2075962 HOSP DA STA CASA DE STO AMARO;1;;6;31;59;61;70;44;33;7;1;1;314
3019012 HOSP DE CLINICAS J HELENA;1;2;8;12;13;11;12;10;5;;;;74
2088576 HOSP DE TRANSPLANT DO EST DE SP EURYCLIDES DE JESUS ZERBINI;;1;8;17;14;16;32;35;8;;1;;132
2058502 HOSP DO SERV PUB EST FCO MORATO DE OLIVEIRA SAO PAULO;87;19;8;40;116;271;411;435;337;114;6;;1844
2752077 HOSP DO SERV PUB MUNICIPAL HSPM;44;7;5;23;60;112;141;128;64;15;2;13;614
2077469 HOSP DOM ANTONIO DE ALVARENGA;;;7;19;35;47;39;36;19;5;;;207
2080230 HOSP E MAT MENINO JESUS;1;;;;;;;;;;;;1
3585409 HOSP E MAT STO EXPEDITO;;;;2;2;2;1;1;;;;;8
2089610 HOSP EDMUNDO VASCONCELOS;;;;;2;10;2;9;3;3;;;29
2078007 HOSP GERAL DE SAO PAULO;;;;1;1;8;8;8;9;5;;;40
2089653 HOSP IGUATEMI;;4;35;92;151;151;78;36;25;8;;;580
2078406 HOSP INDEPENDENCIA;17;10;17;39;33;12;10;7;1;;;;146
2680785 HOSP MAT ALVORADA STO AMARO;3;2;2;6;8;14;6;4;4;2;;;51
2089602 HOSP MAT DO SEPACO;19;3;17;48;68;53;40;56;54;18;1;;377
2080796 HOSP MAT SAO CRISTOVAO;2;1;5;5;17;16;21;9;18;3;1;;98
2079542 HOSP MAT STA JOANA;1;;5;31;5;;;;;;;;42
2078589 HOSP MAT STA MARIA-CRUZ AZUL;387;32;40;74;125;237;141;265;274;82;3;;1660
2080257 HOSP MAT STA MARINA;1;;;;;;;;;;;;1
3045625 HOSP MAT VIDAS;49;11;18;54;90;110;73;30;9;1;;;445
2077752 HOSP MONUMENTO CEHM;;1;;1;;;;;;;;;2
5420938 HOSP MUN CARMEN PRUDENTE;516;38;45;89;136;184;193;128;63;11;1;2;1406
7473702 HOSP MUN DE MOGI DAS CRUZES PREF WALDEMAR COSTA FILHO;;1;1;9;14;25;16;7;3;;;;76
2084139 HOSP MUN DR BENEDICTO MONTENEGRO;22;1;17;38;83;114;123;114;81;15;;3;611
2080346 HOSP MUN DR CARMINO CARICCHIO;37;3;2;10;18;25;38;33;15;7;;2;190
2084473 HOSP MUN DR IGNACIO PROENCA DE GOUVEA;23;10;39;89;143;183;228;140;79;19;;1;954
2077450 HOSP MUN DR JOSE SOARES HUNGRIA;25;6;16;55;93;150;156;96;62;14;;;673
2786680 HOSP MUN FERNANDO MAURO PIRES DA ROCHA;106;4;8;8;8;23;25;32;15;6;;;235
7711980 HOSP MUN GILSON DE CASSIA MARQUES DE CARVALHO;42;4;11;17;40;61;88;49;12;;;;324
2078325 HOSP MUN INFANTIL MENINO JESUS;22;;;;;;;;;;;;22
2081970 HOSP MUN JABAQUARA ARTUR RIBEIRO DE SABOYA;110;14;7;19;26;33;52;42;36;14;1;;354
9465464 HOSP MUN JOSANIAS CASTANHA BRAGA;1;3;66;258;408;567;477;247;148;30;2;1;2208
5718368 HOSP MUN M BOI MIRIM;674;35;78;183;314;406;439;290;136;36;2;1;2594
2079186 HOSP MUN MAT ESC DR MARIO DE MORAES A SILVA;19;25;80;57;8;1;1;1;;;;;192
2075717 HOSP MUN MATERNIDADE PROFESSOR MARIO DEGNI;12;4;18;10;12;18;26;17;12;3;;;132
2077639 HOSP MUN PROF DR WALDOMIRO DE PAULA;10;9;35;96;151;234;268;145;95;11;;7;1061
2082829 HOSP MUN PROFESSOR DOUTOR ALIPIO CORREA NETTO;9;1;;6;2;10;12;19;10;2;;;71
2080583 HOSP MUN TIDE SETUBAL;470;63;153;270;370;473;493;359;182;37;2;;2872
2080788 HOSP MUN V NHOCUNE ALEXANDRE ZAIO;14;6;21;48;68;115;99;94;57;18;3;;543
3212130 HOSP MUN VER JOSE STOROPOLLI;49;5;46;100;156;236;246;175;92;35;;1;1141
2082861 HOSP MUNICIPAL DE URGENCIAS HMU;;;3;1;4;5;;1;2;;;;16
2089599 HOSP NSRA DE LOURDES;11;21;64;173;216;151;67;45;32;17;2;;799
2084376 HOSP PAULISTANO;;1;7;18;23;21;43;60;20;6;;;199
2077604 HOSP PRESIDENTE;;3;32;39;36;52;77;69;71;36;;;415
2080818 HOSP SAMARITANO;29;21;28;112;206;242;158;116;70;31;;;1013
5907594 HOSP SAO LUIZ ANALIA FRANCO;3;5;21;101;150;110;62;39;16;8;;;515
2076896 HOSP SAO LUIZ GONZAGA;484;21;13;14;24;36;52;48;30;3;;;725
2688611 HOSP SAO LUIZUNIDADE I;;10;64;202;182;139;99;73;51;23;1;;844
2079127 HOSP SIRIO LIBANES;1;11;45;117;224;221;172;257;252;179;5;;1484
2688603 HOSP STA CATARINA;486;68;91;208;282;250;207;207;178;81;5;;2063
2082624 HOSP STA CRUZ;;1;17;60;57;98;95;66;75;39;5;;513
2078597 HOSP STA HELENA;;1;10;36;46;57;44;33;26;3;;1;257
2084341 HOSP STA MAGGIORE;;;;;1;;2;1;4;;;;8
2077477 HOSP STA MARCELINA SAO PAULO;622;93;189;377;469;530;528;399;207;49;2;;3465
2082535 HOSP STA RITA;;;;;;;;;1;1;;;2
2078457 HOSP STA VIRGINIA;;;10;19;37;57;49;39;35;12;1;;259
7755333 HOSPITAL 10 DE JULHO;;;;;1;;;;1;;;;2
7060165 HOSPITAL A C CAMARGO TAMANDARE;1;;;2;1;1;1;6;2;2;;;16
6832725 HOSPITAL ABC UNIDADE AVANCADA PRESTES MAIA;;;;;1;1;;;;;;;2
3166597 HOSPITAL ADVENTISTA DE SAO PAULO;;;1;17;27;52;78;84;78;23;1;;361
2081865 HOSPITAL ALBERT SABIN ATIBAIA;;;;;;1;;;;;;;1
2389746 HOSPITAL ALIANCA;;;1;1;;;;1;;;;;3
2083191 HOSPITAL ALPHA MED CARAPICUIBA;;;;1;2;1;;;;;;;4
2793466 HOSPITAL ALVORADA JACAREI - JACAREI (SP);;;;1;;1;;;;;;;2
2690764 HOSPITAL AMERICA;24;1;5;8;7;3;1;;;1;;;50
2077388 HOSPITAL AMPARO MATERNAL;1;1;11;2;;;;;;;;;15
2025760 HOSPITAL ANA COSTA DE SANTOS;;;;1;;;2;3;;;;;6
2241153 HOSPITAL ARCANJO SAO MIGUEL;;;;;1;1;;;;;;;2
3024660 HOSPITAL ASSUNCAO;;;4;7;7;4;4;2;1;;;;29
2097117 HOSPITAL AUSTA SAO JOSE DO RIO PRETO;;;;;;;1;;;;;;1
2077507 HOSPITAL BANDEIRANTES;;4;31;63;91;142;121;126;128;60;4;;770
2084090 HOSPITAL BARTIRA;1;2;19;26;53;47;24;17;4;;;;193
3003361 HOSPITAL BENEFICENCIA PORTUGUESA DE BAURU;;;;;1;;;;;;;;1
2718324 HOSPITAL BOM CLIMA;4;;1;8;12;4;19;15;9;3;;;75
3309959 HOSPITAL BOSQUE DA SAUDE;83;4;23;98;141;151;113;49;29;12;;;703
2080575 HOSPITAL BP;31;4;53;147;157;191;251;149;103;46;1;;1133
2081628 HOSPITAL CARLOS CHAGAS;28;6;6;33;31;31;28;12;11;2;1;;189
2091801 HOSPITAL CENTRAL DE GUAIANASES;10;11;48;64;41;24;11;3;1;;;;213
9065946 HOSPITAL COPA STAR - RIO DE JANEIRO (RJ);;;;;1;;1;;;;;;2
2078988 HOSPITAL CORACAO DE JESUS;;;;;;;;;1;;;;1
2079887 HOSPITAL CRUZEIRO DO SUL;3;1;11;24;36;48;28;27;12;3;;;193
2080168 HOSPITAL DA CRIANCA;396;22;2;1;2;;;;1;;;;424
2080494 HOSPITAL DA CRUZ VERMELHA BRASILEIRA DO ESTADO DE SAO;;;8;19;24;37;37;25;12;1;;;163
3367371 HOSPITAL DA LUZ;33;4;13;55;85;75;48;32;11;2;1;;359
6020917 HOSPITAL DA MULHER MARIA JOSE DOS SANTOS STEIN;;;1;;;;;;;;;;1
6451098 HOSPITAL DALILA FERREIRA BARBOSA - ARUJA (SP);;;;;2;;1;1;;1;;;5
9335951 HOSPITAL DAS ACACIAS - SANTO ANDRE (SP);;;;;1;1;2;2;2;;;;8
2127989 HOSPITAL DAS CLIN SAMUEL LIBANIO POUSO ALEGRE;;;1;;4;;4;;;;;;9
2748223 HOSPITAL DAS CLINICAS DA FACULDADE DE MEDICINA DE BOTUCATU;;;;;;1;;;1;;;;2
2079798 HOSPITAL DAS CLINICAS DA UNICAMP DE CAMPINAS;1;;;;;;2;;;;;;3
2535556 HOSPITAL DAS CLINICAS DR SERAFIM DE CARVALHO;;;;;1;;;;;;;;1
2080680 HOSPITAL DAS CLINICAS LUZIA DE PINHO MELO MOGI DAS CRUZES;13;;2;1;3;3;4;;3;;;;29
2077396 HOSPITAL DE BASE DE SAO JOSE DO RIO PRETO;1;;;2;2;;1;1;;;;;7
2819279 HOSPITAL DE BOA VIAGEM - RECIFE (PE);;;;;;;1;1;;;;;2
0115509 HOSPITAL DE CAMPANHA COVID 19 DE MAIRIPORA - MAIRIPORA - SP;;;;1;2;6;3;3;;;;;15
0127604 HOSPITAL DE CAMPANHA COVID 19 JARDIM PAULISTA - BARUERI (SP);;;;1;;2;2;;;;;;5
0105597 HOSPITAL DE CAMPANHA COVID 19 OSASCO - OSASCO - SP;;;1;8;12;9;3;3;2;;;;38
0102083 HOSPITAL DE CAMPANHA COVID 19 SMS SP ANHEMBI P 38;;;;;;;;1;;;;;1
0112062 HOSPITAL DE CAMPANHA RIBEIRAO PIRES - RIBEIRAO PIRES - SP;;;1;;;1;1;;1;;;;4
6817203 HOSPITAL DE CLINICAS CAIEIRAS;;;;2;4;2;3;;;;;;11
2087219 HOSPITAL DE CLINICAS CAMPO LIMPO PAULISTA;;;;;;;;1;;;;;1
2206595 HOSPITAL DE CLINICAS DA UFTM;;;;;;2;;;;;;;2
2765934 HOSPITAL DE CLINICAS DE SAO SEBASTIAO;;;;;1;1;;;;;;;2
2082349 HOSPITAL DE CLINICAS DR RADAMES NARDINI;8;;;1;1;;5;2;1;;;;18
3014681 HOSPITAL DE CLINICAS MARIO LIONI - DUQUE DE CAXIAS (RJ);;;;;1;;;;;;;;1
7373465 HOSPITAL DE CLINICAS MUNICIPAL;1;;;1;;1;1;1;;;;;5
0019305 HOSPITAL DE FLORIANOPOLIS;;;;1;;;;;;;;;1
2751925 HOSPITAL DIA CIDADE ADEMAR;;;;;3;1;4;2;1;;;;11
6998194 HOSPITAL DIA DA REDE HORA CERTA LAPA;;;;1;1;1;1;2;2;;;;8
2091658 HOSPITAL DIA DA REDE HORA CERTA M BOI MIRIM I;;;;1;;;;;;;;;1
7378394 HOSPITAL DIA DA REDE HORA CERTA M BOI MIRIM II;;;;;;4;1;1;;;;;6
6135749 HOSPITAL DIA DA REDE HORA CERTA MOOCA;;;1;3;8;4;5;7;2;;;;30
2751976 HOSPITAL DIA DA REDE HORA CERTA SAO MIGUEL TITO LOPES;;;;1;1;1;;;;;;;3
7979649 HOSPITAL DIA DA REDE HORA CERTA VILA GUILHERME VILA MARIA;;;;;2;4;3;;;;;;9
7992890 HOSPITAL DIA REDE HORA CERTA DA CAPELA DO SOCORRO;;6;84;196;367;427;347;204;78;21;1;;1731
2081288 HOSPITAL DO CORACAO;;;8;11;26;60;56;47;26;5;;;239
3119289 HOSPITAL DO CORACAO;;;;;1;;1;;;;;;2
2758083 HOSPITAL DO CORACAO DE LONDRINA - LONDRINA - PR;;;;1;;;;1;;;;;2
7758391 HOSPITAL DO CORACAO UNIDADE BELA SUICA - LONDRINA (PR);;;;2;;;;;;;;;2
2089785 HOSPITAL DO RIM E HIPERTENSAO;;;;4;3;3;6;3;;;;;19
0013846 HOSPITAL DO ROCIO - CAMPO LARGO - PR;;;;;;;;1;;;;;1
2087057 HOSPITAL DOS FORNECEDORES DE CANA DE PIRACICABA;1;;;1;;;;2;;;;;4
2080079 HOSPITAL DR OSIRIS FLORINDO COELHO FERRAZ DE VASCONCELOS;8;;1;;1;1;1;1;1;;;;14
2080133 HOSPITAL E MATERNIDADE BENEFICENCIA PORTUGUESA;;;2;1;3;2;3;;;;;;11
2789590 HOSPITAL E MATERNIDADE BRASIL;23;4;8;27;33;30;15;18;12;;;;170
2082128 HOSPITAL E MATERNIDADE CELSO PIERRO;1;;;;;;1;;1;;;;3
2080613 HOSPITAL E MATERNIDADE CENTRAL SAO CAETANO DE SUL;1;;11;21;34;30;11;1;5;1;;;115
2079607 HOSPITAL E MATERNIDADE DR CHRISTOVAO DA GAMA;2;;;1;3;10;9;8;8;7;;;48
5515483 HOSPITAL E MATERNIDADE GALILEO;;;1;;1;;1;;;;;;3
9255826 HOSPITAL E MATERNIDADE GUARULHOS;23;1;3;13;19;22;21;10;3;1;;1;117
6938876 HOSPITAL E MATERNIDADE INTERMEDICA ABC;4;7;53;147;186;218;135;93;35;14;;;892
2078678 HOSPITAL E MATERNIDADE MADRE THEODORA;1;;2;;2;;;;;;;;5
2522691 HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN;;;1;1;;;;;;;;;2
2078082 HOSPITAL E MATERNIDADE METROPOLITANO;6;;4;31;43;42;37;35;6;1;;;205
2072513 HOSPITAL E MATERNIDADE MUNICIPAL SANTA ANA;;;;;;1;2;;;;;;3
2746387 HOSPITAL E MATERNIDADE NOVA VIDA;;;1;6;13;7;9;;1;1;;;38
2080753 HOSPITAL E MATERNIDADE SAO JOAQUIM - FRANCA (SP);;;;;;;;;;;1;;1
2069776 HOSPITAL E PRONTO SOCORRO CENTRAL;9;;2;9;6;9;14;8;1;;;;58
2495015 HOSPITAL E PRONTO SOCORRO MUNICIPAL DE CUIABA;;;;;;1;;;;;;;1
2823209 HOSPITAL E PRONTO SOCORRO PORTINARI;11;1;10;42;68;70;41;20;14;2;;;279
2181770 HOSPITAL EDUARDO DE MENEZES;;;1;;;;;;;;;;1
2096196 HOSPITAL ENF ANTONIO POLICARPO DE OLIVEIRA;;;6;3;6;10;18;13;3;;;;59
2208857 HOSPITAL ESCOLA AISI ITAJUBA;;;;;;1;;;;;;;1
2089335 HOSPITAL ESCOLA EMILIO CARLOS - CATANDUVA (SP);;;;;1;;;;1;;;;2
0127876 HOSPITAL ESTADUAL DE CAMPANHA COVID 19 BARRADAS;;;3;15;25;31;35;25;6;;;;140
2084163 HOSPITAL ESTADUAL DE DIADEMA HOSPITAL SERRARIA;11;1;7;5;11;7;19;11;4;1;;;77
2091585 HOSPITAL ESTADUAL DE SAPOPEMBA SAO PAULO;8;5;20;26;33;55;76;73;73;18;;;387
2077426 HOSPITAL ESTADUAL DE VILA ALPINA ORG SOCIAL SECONCI SAO PAUL;350;27;34;76;131;266;268;238;171;68;2;2;1633
6878687 HOSPITAL ESTADUAL DR ALBANO DA FRANCA ROCHA SOBRINHO;;;1;;;1;1;;;;;;3
7257406 HOSPITAL ESTADUAL DR JAYME SANTOS NEVES - SERRA (ES);;;;;;;;1;;;;;1
2080273 HOSPITAL ESTADUAL MARIO COVAS DE SANTO ANDRE;1;;1;3;4;5;9;3;1;1;;;28
3028399 HOSPITAL ESTADUAL PROF CARLOS DA SILVA LACAZ FCO MORATO;;1;;;;2;3;;;;;;6
2081636 HOSPITAL FREI GALVAO - SANTOS (SP);;;;;1;1;1;1;;1;;;5
2792168 HOSPITAL GERAL DE CARAPICUIBA;2;;;;1;;2;;;;;;5
2080338 HOSPITAL GERAL DE GUARULHOS PROF DR WALDEMAR DE CARVALHO;2;2;3;5;8;11;6;8;5;2;;;52
2792176 HOSPITAL GERAL DE ITAPECERICA DA SERRA;45;3;9;12;18;12;19;12;5;;;;135
2078104 HOSPITAL GERAL DE ITAPEVI;;;;;;;2;;;1;;;3
2078562 HOSPITAL GERAL DE ITAQUAQUECETUBA;;;;;1;2;2;2;1;;;;8
2066092 HOSPITAL GERAL DE PEDREIRA;489;43;59;110;166;205;236;206;124;34;3;;1675
2077493 HOSPITAL GERAL DE SAO MATEUS SAO PAULO;252;18;40;62;104;151;152;90;68;8;;;945
2688573 HOSPITAL GERAL DE VILA NOVA CACHOEIRINHA SAO PAULO;270;24;20;45;58;112;117;95;61;16;1;2;821
2091755 HOSPITAL GERAL DE VILA PENTEADO DR JOSE PANGELLA SAO PAULO;;3;47;101;163;234;208;118;64;21;;;959
2402076 HOSPITAL GERAL DE VITORIA DA CONQUISTA;;;;;2;;;1;;;;;3
2006510 HOSPITAL GERAL DO ESTADO DR OSVALDO BRANSAO VILELA;;;;1;;;;;;;;;1
2077671 HOSPITAL GERAL DO GRAJAU PROF LIBER JOHN ALPHONSE DI DIO SP;743;43;22;25;52;80;81;65;51;12;2;;1176
2785900 HOSPITAL GERAL DR WALDEMAR ALCANTARA;;;;;;;;1;;;;;1
0004073 HOSPITAL GERAL ERNESTO SIMOES FILHO;;;;;;;1;;;;;;1
2080516 HOSPITAL GERAL IAMADA PRES PRUDENTE;;;;;;;;2;;;;;2
2079240 HOSPITAL GERAL JESUS TEIXEIRA DA COSTA GUAIANASES SAO PAULO;24;9;30;68;90;136;161;140;76;18;2;;754
2079828 HOSPITAL GERAL PIRAJUSSARA TABOAO DA SERRA;2;;3;;1;;4;;;;;;10
2077620 HOSPITAL GERAL SANTA MARCELINA DE ITAIM PAULISTA SAO PAULO;89;19;27;41;81;83;96;92;51;11;;1;591
2816210 HOSPITAL GOVERNADOR JOAO ALVES FILHO;;;1;;;;;;;;;;1
2089696 HOSPITAL GRAACC INSTITUTO DE ONCOLOGIA PEDIATRICA IOP;8;3;;;;;;;;;;;11
2079720 HOSPITAL GUILHERME ALVARO SANTOS;;;;;2;;;1;;1;;;4
2066572 HOSPITAL HELIOPOLIS UNIDADE DE GESTAO ASSISTENCIAL I SP;;1;11;27;49;68;68;32;23;6;;;285
2084333 HOSPITAL IGESP;;1;3;15;15;36;46;51;55;16;;;238
2097613 HOSPITAL INFANTE D HENRIQUE;;;;1;;2;;;;;;;3
2088517 HOSPITAL INFANTIL CANDIDO FONTOURA SAO PAULO;879;50;1;;;;;;;;;;930
2071371 HOSPITAL INFANTIL DARCY VARGAS UGA III SAO PAULO;1;1;;;;;;;;;;;2
6048692 HOSPITAL INFANTIL DR JESER AMARANTE FARIA;1;;;;;;;;;;;;1
2691868 HOSPITAL INFANTIL JOANA DE GUSMAO;1;;;;;;;;;;;;1
0026948 HOSPITAL INFANTIL JOAO PAULO II;;1;;;;;;;;;;;1
2744937 HOSPITAL INFANTIL PEQUENO ANJO;1;;;;;;;;;;;;1
6614426 HOSPITAL INFANTIL SABARA;128;5;;;;;;;;;;;133
2784882 HOSPITAL IPIRANGA DE MOGI DAS CRUZES;1;;;2;3;1;5;;3;;;;15
2058391 HOSPITAL ISRAELITA ALBERT EINSTEIN;132;5;28;154;315;326;213;216;155;87;9;;1640
2712008 HOSPITAL JOAO MURILO E POLICLINICA DE VITORIA;;;;;;;1;;;;;;1
0026921 HOSPITAL JOAO XXIII;;;;;1;;;;;;;;1
2082225 HOSPITAL KATIA DE SOUZA RODRIGUES TAIPASSP SAO PAULO;184;9;33;52;59;96;112;99;63;20;;;727
6283993 HOSPITAL LEFORTE;117;11;20;94;101;80;48;32;23;5;;;531
2079011 HOSPITAL LEITO IRMA ANETTE MARLENE FERNANDES DE MELLO;;;;;2;2;;;;;;;4
2205440 HOSPITAL MARCIO CUNHA;;;;;1;;;;;;;;1
0027995 HOSPITAL MATER DEI S A;;;;1;;;;;;;;;1
0008036 HOSPITAL MATERNIDADE AMADOR AGUIAR;2;;1;2;;;;;;;;;5
2065665 HOSPITAL MATERNIDADE INTERLAGOS;9;7;14;13;4;;;;;;;;47
2564211 HOSPITAL MATERNIDADE SAO VICENTE DE PAULA - BARBALHA (CE);1;;;1;;;;;;;;;2
0010537 HOSPITAL MATERNO INFANTIL DE BRASILIA HMIB;1;;;;;;;;;;;;1
2517140 HOSPITAL MEMORIAL SAO JOSE;;;;1;;;;;;;;;1
9467718 HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA - PB;;;1;;;;;;;;;;1
2192896 HOSPITAL METROPOLITANO ODILON BHERENS HOB;;;;1;;;;;;;;;1
2082101 HOSPITAL MODELO SOROCABA;;;;;;;1;;;;;;1
3006522 HOSPITAL MOINHOS DE VENTO - PORTO ALEGRE (RS);;;;1;;;;;;;;;1
6148956 HOSPITAL MONTEMAGNO;;2;16;101;158;144;79;24;10;6;;;540
7644167 HOSPITAL MORIAH;;;4;13;20;9;5;1;1;1;;;54
0008028 HOSPITAL MUNICIPAL ANTONIO GIGLIO;16;2;1;6;8;17;18;6;3;1;;;78
0102075 HOSPITAL MUNICIPAL BELA VISTA;;7;71;210;314;362;368;243;110;15;;1;1701
0102105 HOSPITAL MUNICIPAL BRASILANDIA;;3;40;90;179;261;300;202;99;26;;6;1206
