est_internacao;id;menor01a;01a;02a;03a;04a;05a;06a;07a;08a;09a;10a;11a;12a;13a;14a;15a;16a;17a;18a;19a;20a;21a;22a;23a;24a;25a;26a;27a;28a;29a;30a;31a;32a;33a;34a;35a;36a;37a;38a;39a;40a;41a;42a;43a;44a;45a;46a;47a;48a;49a;50a;51a;52a;53a;54a;55a;56a;57a;58a;59a;60a;61a;62a;63a;64a;65a;66a;67a;68a;69a;70a;71a;72a;73a;74a;75a;76a;77a;78a;79a;80a;81a;82a;83a;84a;85a;86a;87a;88a;89a;90a;91a;92a;93a;94a;95a;96a;97a;98a;99a;100a;101a;102a;103a;104a;105a
0102083 HOSPITAL DE CAMPANHA COVID 19 SMS SP ANHEMBI P 38;h11;1;;;;;;;;;;;;;;;;;1;1;3;5;8;5;10;9;10;13;11;17;14;14;20;13;25;17;18;25;25;24;30;39;26;37;39;33;42;46;48;31;37;42;51;57;55;47;46;57;45;41;46;39;45;52;46;43;37;42;47;35;32;38;33;23;16;26;21;20;18;19;12;10;5;7;9;6;10;4;5;4;3;2;2;;1;2;;;;;;;;;;;
2077426 HOSPITAL ESTADUAL DE VILA ALPINA ORG SOCIAL SECONCI SAO PAUL;h12;131;49;28;16;24;19;12;11;9;8;4;13;6;2;;1;1;2;1;4;9;10;6;7;9;9;5;9;8;6;3;7;10;5;15;3;12;14;9;13;6;11;12;15;17;15;12;18;13;25;6;23;19;28;15;18;26;26;23;26;28;31;36;42;25;32;28;45;38;37;43;42;27;27;39;27;37;31;26;34;37;28;24;30;39;15;22;25;27;18;20;14;11;6;8;3;4;1;1;2;1;;;;;
7479387 UPA III NOVA CAMPO LIMPO;h13;36;17;29;16;12;20;13;13;7;6;2;7;6;1;3;4;2;7;5;5;3;4;9;17;8;17;19;11;10;6;12;14;15;16;17;23;14;24;20;16;24;23;20;15;16;30;16;26;20;31;29;27;29;29;28;27;34;32;26;24;37;35;38;37;39;37;43;32;38;33;35;27;29;25;31;31;29;27;25;29;21;22;29;10;23;20;12;13;10;13;6;7;3;5;2;1;3;4;;;1;1;;;;
2089599 HOSP NSRA DE LOURDES;h14;12;6;4;1;2;4;2;;1;;3;2;3;3;2;5;4;8;8;9;24;14;12;23;21;23;32;25;31;36;37;36;39;36;37;45;68;49;61;54;53;45;53;39;42;28;46;31;36;36;36;33;30;31;28;30;24;22;21;17;23;14;23;17;14;11;4;14;16;9;10;15;14;8;6;12;11;10;10;11;4;7;5;8;7;5;4;12;12;10;8;6;3;1;6;4;4;5;4;1;2;;;1;;
2688565 HOSPITAL SAO CAMILO POMPEIA;h15;23;22;9;7;12;6;3;7;6;4;6;3;3;2;3;5;2;4;4;4;9;3;10;11;8;7;16;16;13;16;15;15;21;25;28;23;36;28;39;36;28;29;22;27;41;31;33;34;14;23;20;33;36;27;32;33;22;32;27;30;25;24;28;22;33;18;23;25;23;21;21;14;22;27;18;19;14;20;22;15;19;16;21;22;19;15;5;13;14;9;15;19;22;11;11;9;;2;4;1;;1;1;;;
2080575 HOSPITAL BP;h16;12;6;7;8;3;2;4;1;4;1;3;1;1;3;1;1;;1;2;1;1;7;4;3;5;8;5;5;10;8;10;10;19;21;16;16;23;18;22;19;21;15;19;16;14;19;28;24;16;12;21;14;23;27;26;25;25;25;26;19;26;27;33;25;21;43;32;33;29;20;33;21;26;26;31;21;26;20;23;18;28;17;9;24;20;25;24;12;17;10;17;13;12;12;5;6;3;;1;4;;1;1;;;
9465464 HOSP MUN JOSANIAS CASTANHA BRAGA;h17;;;;;;1;;;;;;;1;1;1;;;;1;;2;3;4;3;2;8;3;10;3;8;8;6;5;10;11;15;9;14;24;17;13;9;19;13;19;14;33;24;17;18;28;14;23;16;25;24;32;27;25;27;40;26;39;37;42;38;43;40;34;32;27;43;32;24;25;21;24;24;19;17;27;21;20;13;16;28;18;14;6;14;10;11;5;3;4;3;5;1;;;1;;;;;
2091755 HOSPITAL GERAL DE VILA PENTEADO DR JOSE PANGELLA SAO PAULO;h18;;;;;;;;;;;;;;;1;;3;2;4;5;5;6;3;8;9;5;8;10;9;4;9;9;1;9;14;7;10;10;16;19;12;12;8;12;25;26;17;16;22;16;24;22;16;21;21;24;23;24;33;28;42;34;35;25;34;30;36;25;34;44;28;33;30;24;29;24;22;21;24;18;21;24;17;16;14;22;14;18;16;8;14;10;10;4;6;3;;3;3;2;;1;1;;;
2089238 HOSP ALVORADA;h19;27;20;20;17;13;8;7;12;9;8;10;9;5;5;6;2;7;1;4;7;6;3;7;6;6;8;9;8;13;9;8;18;10;11;14;13;22;10;21;20;18;25;23;18;24;22;21;19;29;16;21;21;21;23;13;20;24;20;16;17;11;13;14;17;10;21;26;16;17;24;16;19;16;16;19;9;21;19;15;18;13;17;16;15;13;11;15;11;13;10;9;10;10;8;5;3;5;5;1;1;1;1;4;;;
0102075 HOSPITAL MUNICIPAL BELA VISTA;h20;;;;;;;;;;;;;;;;;;;3;2;3;1;1;3;2;5;3;4;6;5;3;6;12;12;8;13;13;10;7;9;12;15;9;18;19;21;25;20;20;20;23;13;19;23;27;21;18;37;30;26;35;27;31;28;39;40;25;45;36;32;32;38;44;36;33;30;20;22;17;19;22;19;19;14;18;18;13;8;10;9;8;6;;4;;2;2;4;;;;1;;;;
5590450 HOSPITAL VILLA LOBOS;h21;;;;;;;;;;;;;;1;1;4;6;3;4;5;9;11;15;9;12;21;18;24;16;17;24;30;24;25;25;32;28;18;35;41;39;34;26;41;38;32;26;36;30;28;20;22;33;20;35;27;25;16;29;15;15;12;20;21;14;11;9;5;5;7;11;14;10;8;12;6;5;6;7;8;6;12;9;4;8;4;6;4;4;9;12;3;4;3;1;;3;1;2;2;;;;;;
2058391 HOSPITAL ISRAELITA ALBERT EINSTEIN;h22;24;17;6;8;7;6;5;9;6;1;4;1;1;1;;1;2;2;;2;1;2;1;8;3;5;4;2;3;2;8;5;6;10;7;11;16;15;14;10;16;16;20;19;22;22;21;33;11;18;13;21;21;20;24;33;20;13;21;16;20;26;22;13;21;14;16;14;18;20;22;21;29;23;15;21;16;24;16;18;17;14;22;25;13;16;20;16;12;23;16;20;16;11;9;9;4;3;2;2;;1;;;;
2076950 HOSPITAL OSWALDO CRUZ;h23;;;;;;;;;;;;;;;1;;1;;;2;;1;2;1;3;8;2;7;2;2;2;8;6;10;6;9;12;9;13;13;15;8;12;21;14;15;19;29;25;16;16;15;33;23;27;22;25;21;24;17;27;30;15;31;19;28;25;23;32;26;26;20;27;25;28;31;17;21;25;19;21;22;24;14;21;18;16;18;14;15;14;13;11;11;6;5;5;5;3;;3;;;;;
9131434 HOSPITAL SANCTA MAGGIORE HIGIENOPOLIS;h24;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;2;1;1;2;;2;;;1;1;4;1;;2;3;1;2;2;6;2;2;1;5;4;7;4;7;12;15;21;19;15;23;19;22;24;29;35;28;33;31;35;37;39;31;42;58;27;44;31;40;35;37;42;32;39;45;35;30;18;33;17;22;20;10;13;8;4;3;3;3;;1;;1
2077639 HOSP MUN PROF DR WALDOMIRO DE PAULA;h25;7;;;1;1;;;;1;;;1;2;;;;;2;6;4;4;4;5;6;5;7;6;9;3;5;6;7;5;12;12;15;6;11;16;13;13;17;13;15;9;15;12;16;19;17;19;17;17;17;16;19;13;21;19;23;27;17;21;30;21;31;31;23;31;21;22;41;18;30;25;28;20;16;29;13;18;24;18;20;19;18;13;6;7;8;10;5;5;3;;5;4;1;1;;2;1;;;;
2688689 SANTA CASA DE SAO PAULO HOSPITAL CENTRAL SAO PAULO;h26;32;6;4;3;4;3;2;4;1;1;3;2;;3;;3;1;3;5;1;6;2;4;7;5;5;4;7;3;12;6;11;9;8;10;16;8;17;11;9;13;12;17;23;9;17;14;20;19;12;23;25;19;14;20;24;12;20;19;17;30;24;31;18;23;30;27;21;27;28;22;27;29;21;18;17;21;25;17;17;12;10;12;13;11;10;8;13;9;6;5;;3;1;1;1;1;2;2;;;1;;;;
3824802 SAO LUIZ UNIDADE MORUMBI;h27;31;32;12;17;8;9;6;7;5;9;4;2;4;3;8;1;4;4;1;2;5;4;3;2;7;7;4;9;10;6;14;10;12;16;17;21;19;28;32;24;19;26;39;17;14;13;23;15;24;18;15;13;8;31;19;27;18;20;9;13;12;18;13;12;15;15;11;10;11;12;9;14;13;16;14;11;8;6;13;14;3;13;9;12;5;5;12;6;6;4;7;9;4;4;7;6;3;3;2;;3;;;;;
2077507 HOSPITAL BANDEIRANTES;h28;7;4;1;;;;;;;;;;;;;1;;1;;1;4;3;3;6;6;7;12;10;9;9;16;13;14;12;11;11;9;16;20;15;10;19;10;8;9;18;15;13;10;17;14;10;17;12;9;11;13;10;13;11;21;13;25;18;18;15;17;21;12;13;12;17;12;16;17;20;28;22;28;23;30;26;23;22;25;19;23;20;18;20;15;14;17;16;9;15;5;4;4;2;;1;;1;1;
2089777 HOSPITAL NIPO BRASILEIRO;h29;19;11;11;9;9;4;9;5;4;2;3;2;3;3;4;4;4;1;4;1;5;7;4;4;7;2;9;7;7;10;10;9;14;11;12;13;24;16;24;28;23;24;22;24;14;27;25;23;30;21;16;21;24;16;31;26;18;29;17;19;18;15;14;12;14;19;14;5;8;9;4;10;10;11;9;7;11;8;8;9;12;7;6;5;12;9;6;9;9;4;6;5;5;4;4;4;3;2;;1;1;1;;1;;
2078589 HOSP MAT STA MARIA-CRUZ AZUL;h30;42;8;13;7;4;6;7;9;4;3;8;4;3;5;;;2;1;3;1;4;3;3;2;3;1;3;1;3;3;2;6;7;6;5;3;3;3;5;2;7;8;10;4;6;5;13;16;10;10;10;15;10;12;18;16;21;19;13;11;12;14;11;14;16;8;6;12;10;12;11;23;21;18;17;21;32;35;34;29;21;28;20;33;35;24;20;17;16;11;21;14;11;8;7;2;4;2;1;3;1;;;1;;
5420938 HOSP MUN CARMEN PRUDENTE;h31;74;25;18;15;12;5;6;10;6;5;9;6;3;6;4;1;2;4;2;3;1;3;2;5;7;7;5;6;6;8;4;5;5;9;11;8;11;8;9;10;6;7;9;5;11;7;20;16;11;13;15;19;20;15;12;25;9;6;21;14;24;11;32;20;19;19;24;28;19;16;21;20;18;17;12;17;17;11;20;12;12;11;5;7;9;4;4;3;4;5;4;6;2;2;2;;3;;;;;1;1;;;
7357079 HOSPITAL SANCTA MAGGIORE PINHEIROS;h32;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;1;;;;;;;1;;1;;1;;;2;2;3;3;1;1;1;1;1;1;6;4;6;2;4;7;7;13;18;20;16;22;18;31;22;29;23;26;28;37;35;32;33;34;29;45;32;36;33;30;40;28;37;36;24;30;28;30;24;22;15;12;11;7;9;1;1;3;1;2;;;
2688573 HOSPITAL GERAL DE VILA NOVA CACHOEIRINHA SAO PAULO;h33;40;12;15;10;11;8;7;7;6;3;4;2;3;4;5;3;1;;1;1;1;1;1;;1;3;3;3;4;1;4;5;2;3;7;11;7;9;11;8;13;11;8;11;18;14;13;13;10;10;11;13;17;19;12;18;18;16;19;25;25;20;34;22;24;17;19;21;18;13;21;21;23;16;16;9;12;18;9;16;14;10;12;12;18;5;7;8;5;6;9;6;6;8;3;4;3;;2;;;;;;;
2084473 HOSP MUN DR IGNACIO PROENCA DE GOUVEA;h34;17;5;;4;2;;1;1;1;1;;1;;;;1;;1;2;4;1;6;6;3;1;4;7;6;6;8;6;12;8;7;7;7;5;11;12;15;14;12;9;15;13;11;17;20;20;14;14;16;18;16;14;23;31;17;21;17;21;28;26;24;22;19;23;24;22;17;19;18;23;14;22;9;12;16;11;17;9;16;11;11;7;5;9;14;9;7;7;6;3;5;1;4;1;;1;;1;;;;;
6668143 HOSPITAL VITORIA;h35;17;12;10;10;6;4;2;3;6;5;3;4;4;5;3;1;1;;;3;1;4;3;;5;5;4;5;11;8;9;10;13;20;19;19;13;22;23;25;22;12;17;22;23;30;26;25;23;15;23;15;18;15;14;19;18;24;13;14;9;17;9;11;13;13;17;7;12;13;11;12;10;10;9;5;8;14;10;9;6;8;12;9;4;5;1;7;6;5;2;6;4;2;3;1;;1;1;2;;1;;;;
0161438 HOSPITAL MUNICIPAL GUARAPIRANGA;h36;1;;;;;;;;;;;;;1;1;1;1;1;;1;1;2;4;4;2;3;4;4;6;4;5;9;8;3;8;11;8;7;11;8;14;13;13;12;21;14;17;18;10;17;13;14;17;18;21;22;24;21;26;26;23;23;29;23;27;24;28;18;23;26;20;24;23;18;17;24;13;16;22;9;13;11;7;9;6;9;10;10;3;5;9;7;1;1;;3;1;1;;;1;;;;;
0102105 HOSPITAL MUNICIPAL BRASILANDIA;h37;3;;;;;;;;;;;;;;;1;1;;;;1;2;4;4;3;2;1;2;6;3;5;1;7;12;6;6;4;13;9;13;11;6;10;20;21;16;8;11;15;13;9;12;14;20;10;13;14;23;20;22;34;25;18;25;31;23;20;28;23;28;23;22;20;25;26;16;22;22;18;14;8;13;18;13;10;14;7;10;7;8;3;4;3;3;2;2;1;1;1;1;1;;;;;
2077574 CONJUNTO HOSPITALAR DO MANDAQUI SAO PAULO;h38;80;22;25;12;15;13;12;16;9;6;9;4;3;7;7;1;1;1;2;1;1;2;4;4;7;3;9;1;7;5;6;4;6;3;6;5;10;6;7;7;6;7;6;5;8;10;5;9;13;11;9;12;9;12;18;12;10;8;20;13;14;16;22;19;18;21;15;12;13;17;8;16;12;22;16;17;21;13;11;9;7;10;11;13;14;6;9;8;5;7;4;5;8;1;4;1;1;2;2;1;;;;;;
2077671 HOSPITAL GERAL DO GRAJAU PROF LIBER JOHN ALPHONSE DI DIO SP;h39;72;44;34;22;24;17;13;14;15;5;8;9;9;1;3;3;2;1;2;1;3;2;3;5;1;1;4;2;8;3;8;6;10;8;4;9;8;8;4;7;11;5;10;3;5;8;6;6;16;18;10;9;9;5;7;11;11;9;11;18;11;12;13;14;5;18;17;15;10;14;17;16;14;17;13;13;10;24;10;7;13;12;12;11;9;4;7;10;8;8;8;2;3;4;1;4;1;1;;1;1;;1;;1;
2079240 HOSPITAL GERAL JESUS TEIXEIRA DA COSTA GUAIANASES SAO PAULO;h40;6;;1;;1;;;;;2;;;;;;2;2;2;1;1;3;2;2;2;5;3;7;10;2;6;10;10;;11;12;4;5;11;6;11;11;9;9;9;11;15;15;9;14;20;16;8;20;23;19;22;12;20;18;25;15;19;21;23;27;14;22;14;18;19;21;18;24;15;17;19;16;17;12;12;18;18;16;16;15;8;5;15;11;3;6;6;9;4;5;2;1;1;1;;1;;;;;
2079127 HOSP SIRIO LIBANES;h41;1;1;;;;;;;;;;;;;;;;;;;1;2;1;1;1;;;2;1;2;2;5;4;2;8;8;5;6;11;7;2;10;6;11;14;9;10;8;14;13;10;8;21;11;13;14;8;20;20;11;14;10;21;16;15;15;14;15;21;16;16;21;12;12;21;15;22;16;17;22;25;26;20;11;20;23;25;22;13;11;16;17;18;18;14;9;13;4;6;4;1;;2;;;
2080346 HOSP MUN DR CARMINO CARICCHIO;h42;31;8;1;8;1;4;3;;2;1;2;2;2;1;3;;1;1;;1;4;;7;2;2;3;2;4;5;5;7;3;8;10;8;4;4;4;12;16;4;11;10;5;11;14;10;11;6;16;16;18;18;14;14;16;22;15;24;23;20;23;27;19;15;17;15;15;12;22;20;13;23;13;13;14;15;14;12;18;10;16;14;17;11;12;9;9;7;8;3;7;7;5;4;3;2;1;;1;1;;;;;
2078481 HOSP AVICCENA;h43;;;;;;;;;;;;;;1;;3;2;6;2;3;12;12;15;11;7;14;18;15;15;13;9;14;22;16;15;22;26;28;28;19;24;31;23;21;20;15;21;20;17;27;21;23;17;11;12;18;18;14;6;10;5;7;10;10;14;3;6;7;6;7;6;3;7;6;9;9;8;8;7;8;10;8;9;3;8;7;9;6;2;2;2;6;3;2;1;1;2;;;;;;;;;
2077523 UNIDADE DE GESTAO ASSISTENCIAL II HOSPITAL IPIRANGA SP;h44;26;;;;;;;;;;;;;;;2;;;2;;2;4;3;2;2;7;4;5;5;3;6;8;6;8;5;13;10;6;13;7;11;5;11;8;17;14;9;12;9;9;15;12;16;12;14;13;19;17;12;25;16;24;28;27;24;23;25;13;11;18;21;29;17;22;11;18;19;10;11;14;12;15;16;10;9;7;5;8;11;7;11;8;5;4;1;4;4;3;;1;1;1;1;;;
2084333 HOSPITAL IGESP;h45;;;;;;;;;;;;;;;;;;1;2;1;;2;5;5;3;5;4;1;3;5;5;6;8;6;5;6;8;5;10;10;11;12;11;12;8;10;5;11;10;10;12;10;14;13;15;8;14;10;10;12;14;10;11;16;10;11;10;14;12;18;15;19;6;19;17;17;22;14;26;18;22;15;14;20;15;18;22;18;16;33;19;19;19;15;7;7;4;1;1;1;1;1;;1;;
6938876 HOSPITAL E MATERNIDADE INTERMEDICA ABC;h46;1;;;;;;;;;;;;;1;;;1;1;1;;1;3;1;2;3;3;7;1;3;14;5;8;12;11;9;18;12;7;12;17;22;18;16;23;21;22;21;23;19;21;24;23;15;23;20;14;24;24;21;13;18;16;19;18;16;14;21;21;17;17;10;10;11;13;10;8;5;8;6;6;6;8;6;2;6;3;7;5;6;1;4;2;2;1;5;2;4;2;;;1;;;;;
3212130 HOSP MUN VER JOSE STOROPOLLI;h47;40;15;6;8;7;2;1;3;2;1;2;;1;;4;2;2;3;;2;7;1;3;4;7;2;7;6;8;2;6;3;9;8;3;11;11;7;12;5;7;5;13;14;6;11;9;12;11;10;13;10;15;14;15;10;26;16;13;17;9;15;15;12;18;16;16;20;11;11;9;17;12;12;14;10;15;17;9;11;15;7;10;10;15;3;3;7;5;5;4;3;3;5;3;3;3;1;1;2;;;;;;
2082225 HOSPITAL KATIA DE SOUZA RODRIGUES TAIPASSP SAO PAULO;h48;26;12;9;14;7;5;7;6;5;4;5;5;;;;1;;1;2;1;3;1;4;8;3;2;2;5;2;3;4;5;5;4;9;4;10;6;9;9;5;7;9;9;7;7;10;12;13;12;9;10;13;19;13;11;20;10;12;12;13;18;18;9;18;15;17;14;19;12;13;14;12;13;10;17;14;12;7;9;20;10;13;11;14;5;3;4;4;3;7;5;3;4;1;1;5;;1;3;1;1;;;;
2077620 HOSPITAL GERAL SANTA MARCELINA DE ITAIM PAULISTA SAO PAULO;h49;29;11;11;8;5;5;7;6;3;3;3;3;4;7;2;1;1;1;2;4;2;2;5;1;6;3;3;6;3;4;5;12;7;8;9;9;5;5;13;10;11;6;8;7;8;7;13;9;13;11;5;13;10;14;7;13;11;20;6;7;15;8;10;15;18;12;17;16;17;12;13;14;14;9;9;12;15;10;10;8;14;11;11;8;8;11;4;6;5;8;3;4;4;1;2;1;2;;;;;;;;;
7174713 HOSPITAL SANCTA MAGGIORE MOOCA;h50;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;1;;;2;;1;1;1;2;2;;2;;;2;1;1;1;3;2;2;1;3;5;1;8;6;9;16;10;15;17;9;15;25;22;13;25;19;23;20;19;32;16;27;21;29;24;28;28;24;24;30;21;25;16;20;20;21;13;18;10;8;6;5;3;2;1;;;;;;
2081970 HOSP MUN JABAQUARA ARTUR RIBEIRO DE SABOYA;h51;29;23;10;13;13;11;10;6;7;10;3;5;1;2;1;;1;1;;1;3;2;;5;3;5;2;4;3;2;7;5;4;5;6;10;4;5;4;3;11;6;12;9;8;9;6;9;16;7;4;9;13;10;18;15;13;10;7;13;8;12;13;13;14;9;11;14;14;12;11;11;12;12;11;10;15;12;12;7;6;9;9;13;11;10;8;6;5;6;4;3;1;4;5;;1;1;2;1;;;;;;
9684948 HOSPITAL SAMARITANO PAULISTA;h52;;;;;;;;;;;;;;;;;1;1;;;2;1;;2;3;2;3;1;3;3;4;5;8;4;7;9;12;11;10;4;10;11;9;11;9;10;5;14;8;10;7;7;14;8;8;13;14;18;21;8;9;14;15;16;12;12;11;8;11;18;18;16;18;14;18;19;14;14;8;15;16;12;14;17;13;7;8;8;12;9;12;6;7;7;7;3;;2;;;;2;;;;
2028840 INSTITUTO DE INFECTOLOGIA EMILIO RIBAS SAO PAULO;h53;;1;;;;;1;;;;;;;;;1;;;;3;2;1;2;1;2;;5;4;5;6;4;4;10;5;7;6;6;10;8;15;9;13;8;14;9;13;13;14;22;16;15;6;20;16;19;25;29;19;16;14;25;19;18;25;16;26;14;17;19;23;13;21;14;14;11;6;10;6;4;4;6;6;3;4;2;2;;;;2;1;;;;;;;1;;;;;;;;
3045625 HOSP MAT VIDAS;h54;12;3;10;2;4;5;4;3;4;1;;2;3;;1;3;2;4;4;1;2;4;2;5;6;3;4;7;8;2;8;9;8;12;11;9;5;12;20;12;12;20;19;19;22;13;16;20;19;21;17;20;29;11;17;15;19;23;13;6;11;14;14;10;12;11;6;4;9;8;5;3;4;3;1;3;3;9;7;6;4;2;2;1;5;3;2;1;1;2;2;1;;2;1;;;;;;;;;;;
2077604 HOSP PRESIDENTE;h55;2;4;;1;4;1;1;1;1;2;;;1;1;;1;1;4;9;13;20;22;21;34;24;19;23;25;13;11;24;22;15;27;22;11;19;15;16;18;14;11;12;14;17;13;12;12;13;8;9;5;12;7;8;3;6;5;10;6;4;4;3;1;3;5;6;1;3;;4;2;2;3;2;5;6;4;5;2;2;1;2;1;2;;3;2;2;;6;1;;2;1;;;;;;;;;;;
2091313 HOSPITAL REGIONAL SUL SAO PAULO;h56;22;15;15;11;8;8;4;4;6;3;5;5;;1;1;;1;;2;2;1;1;3;3;3;3;;1;3;2;4;6;4;5;3;3;7;3;6;5;6;8;12;7;13;10;7;11;8;12;18;20;4;12;16;11;10;6;11;9;14;7;16;12;22;17;14;14;12;18;14;12;11;14;16;12;11;13;14;11;8;9;10;6;5;6;3;1;2;5;3;5;1;3;2;;2;;;;;;;;;
6146341 UPA PIRITUBA;h57;5;;6;2;2;2;4;2;2;2;1;1;;;;2;1;2;;1;1;6;2;2;2;4;3;2;8;2;6;8;3;3;4;4;9;5;10;10;5;11;5;7;11;10;7;7;6;8;5;6;16;12;11;11;8;19;3;12;16;12;17;13;9;19;13;18;20;13;18;18;12;13;8;11;11;14;20;7;11;8;14;12;7;4;10;3;7;11;9;1;5;6;1;2;;;;2;;1;;;;
2091585 HOSPITAL ESTADUAL DE SAPOPEMBA SAO PAULO;h58;15;4;4;5;3;;1;1;;1;;1;;1;1;;3;2;1;3;7;3;2;4;3;3;3;4;3;2;3;3;6;4;5;4;5;2;7;5;5;;1;6;3;8;1;2;2;5;10;4;5;6;12;8;9;9;10;13;16;10;5;14;10;14;18;11;13;14;23;19;16;20;13;12;13;14;10;14;15;12;19;17;13;20;18;10;8;9;7;6;3;7;6;1;2;3;1;;;1;;;;
