estab_internacao;zero_nove;dez_nove;vinte_nove;trinta_nove;quarenta_nove;cinquenta_nove;sessenta_nove;setenta_nove;oitenta_nove;noventa_nove;cem_mais;ignorada;total
6053858 COMPLEXO HOSPITALAR PREFEITO EDIVALDO ORSI;;;;;;1;;1;;;;;2
7593643 COMPLEXO HOSPITALAR SANTO EXPEDITO;;;;;;1;;;;;;;1
0158119 COMPLEXO HOSPITALAR MUNICIPAL SOROCABANA;;;;4;16;17;34;27;13;4;;;115
2077574 CONJUNTO HOSPITALAR DO MANDAQUI SAO PAULO;18;4;10;19;40;113;155;153;106;47;1;;666
2081695 CONJUNTO HOSPITALAR SOROCABA;;;;;;;;1;;;;;1
2078627 DAY HOSPITAL DE ERMELINO MATARAZZO;;;;2;6;7;5;3;4;1;;;28
9491252 DR RUBENS SAVASTANO HOSPITAL REGIONAL DE SAO JOSE DOS CAMPOS - SJC - SP;;;;;;;;;;1;;;1
2080001 FAMILY HOSPITAL;;;;;;;3;1;1;;;;5
2105365 FUNDACAO HOSPITALAR DO MUNICIPIO DE ESPINOSA;;;;;;;;;1;;;;1
2090236 FUNDACAO PIO XII - BARRETOS (SP);;;;;;;2;;;;;;2
9946179 GREEN LINE SISTEMA DE SAUDE - OSASCO (SP);;;;;;;1;;;;;;1
2078015 HC DA FMUSP HOSPITAL DAS CLINICAS SAO PAULO;9;6;30;59;110;277;474;455;258;61;1;1;1741
2786435 HCSVP HOSPITAL SAO VICENTE;;;;;1;;;1;;1;;;3
2751860 HD DA REDE HORA CERTA IPIRANGA FLAVIO GIANNOTTI;;;;;;1;1;2;;;;;4
2079089 HOSP 9 DE JULHO;;;;;4;16;28;55;76;42;;;221
2082314 HOSP ALBERT SABIN;;;2;5;6;13;14;15;21;13;;;89
2089238 HOSP ALVORADA;2;;;11;15;30;41;57;77;41;5;;279
2078481 HOSP AVICCENA;;;;4;4;8;8;13;26;7;;;70
2078600 HOSP DA AERONAUTICA DE SPHASP;;;;;1;;3;;1;4;;;9
2075962 HOSP DA STA CASA DE STO AMARO;;;1;6;28;34;52;38;50;16;1;;226
3019012 HOSP DE CLINICAS J HELENA;;;1;1;1;8;7;15;2;1;;;36
2088576 HOSP DE TRANSPLANT DO EST DE SP EURYCLIDES DE JESUS ZERBINI;;;1;3;7;11;21;31;8;1;1;;84
2058502 HOSP DO SERV PUB EST FCO MORATO DE OLIVEIRA SAO PAULO;;2;;6;22;118;234;354;340;130;6;;1212
2752077 HOSP DO SERV PUB MUNICIPAL HSPM;1;;1;8;14;48;77;82;39;10;3;8;291
2077469 HOSP DOM ANTONIO DE ALVARENGA;;;2;1;3;8;26;33;33;22;;;128
3585409 HOSP E MAT STO EXPEDITO;;;;;;1;;;;;;;1
5174465 HOSP E MATERNIDADE DO BRAZ;;;;;1;2;3;1;2;;;;9
2089610 HOSP EDMUNDO VASCONCELOS;;;;1;3;6;4;10;13;7;;1;45
2078007 HOSP GERAL DE SAO PAULO;;;;;;2;3;13;14;10;;;42
2089653 HOSP IGUATEMI;;;1;11;19;43;39;31;20;7;1;;172
2078406 HOSP INDEPENDENCIA;;;;2;3;3;3;3;2;1;;;17
2089564 HOSP MAT 8 DE MAIO;1;;;;;3;;4;1;;;;9
2680785 HOSP MAT ALVORADA STO AMARO;;;;;2;4;4;10;5;5;;;30
2089602 HOSP MAT DO SEPACO;2;1;2;3;11;12;25;39;60;28;1;;184
2080796 HOSP MAT SAO CRISTOVAO;;1;7;8;23;18;33;32;68;32;2;;224
2079542 HOSP MAT STA JOANA;1;;;1;;;;;;;;;2
2078589 HOSP MAT STA MARIA-CRUZ AZUL;3;;4;8;18;52;56;135;163;58;2;;499
3045625 HOSP MAT VIDAS;4;2;7;16;44;64;67;30;17;7;;;258
5420938 HOSP MUN CARMEN PRUDENTE;24;4;20;41;67;113;193;152;91;19;2;2;728
7473702 HOSP MUN DE MOGI DAS CRUZES PREF WALDEMAR COSTA FILHO;;;;2;2;6;5;2;1;2;;;20
2084139 HOSP MUN DR BENEDICTO MONTENEGRO;1;;4;11;22;50;64;82;70;26;;1;331
2080346 HOSP MUN DR CARMINO CARICCHIO;;1;5;20;29;75;92;99;77;28;1;3;430
2084473 HOSP MUN DR IGNACIO PROENCA DE GOUVEA;1;;10;44;62;82;146;111;85;32;1;;574
2077450 HOSP MUN DR JOSE SOARES HUNGRIA;;2;4;34;64;126;173;145;103;21;;;672
2786680 HOSP MUN FERNANDO MAURO PIRES DA ROCHA;4;3;9;5;16;33;39;43;32;10;;1;195
7711980 HOSP MUN GILSON DE CASSIA MARQUES DE CARVALHO;1;;3;8;23;49;94;75;24;2;;;279
2078325 HOSP MUN INFANTIL MENINO JESUS;5;1;;;;;;;;;;;6
2081970 HOSP MUN JABAQUARA ARTUR RIBEIRO DE SABOYA;3;;7;12;20;35;72;80;51;24;2;;306
9465464 HOSP MUN JOSANIAS CASTANHA BRAGA;;;11;70;136;260;315;211;156;37;2;;1198
5718368 HOSP MUN M BOI MIRIM;8;2;12;35;88;160;288;254;153;46;2;1;1049
2079186 HOSP MUN MAT ESC DR MARIO DE MORAES A SILVA;2;;;3;;;1;;;;;;6
2075717 HOSP MUN MATERNIDADE PROFESSOR MARIO DEGNI;;;1;1;3;4;8;7;12;3;;;39
2077639 HOSP MUN PROF DR WALDOMIRO DE PAULA;2;5;19;53;91;152;220;199;154;32;1;6;934
2082829 HOSP MUN PROFESSOR DOUTOR ALIPIO CORREA NETTO;6;4;2;6;13;24;31;50;41;10;;;187
2080583 HOSP MUN TIDE SETUBAL;13;7;33;84;158;246;396;359;241;70;6;1;1614
2080788 HOSP MUN V NHOCUNE ALEXANDRE ZAIO;;1;5;12;16;44;75;106;96;35;4;1;395
3212130 HOSP MUN VER JOSE STOROPOLLI;6;;14;30;55;129;162;157;106;43;1;1;704
2563460 HOSP MUNIC DONA MARIA MUNIZ;;;;;;1;;;;;;;1
2082861 HOSP MUNICIPAL DE URGENCIAS HMU;;;;1;3;3;2;4;6;;1;;20
2089599 HOSP NSRA DE LOURDES;;;;5;10;15;22;25;24;30;3;;134
2084376 HOSP PAULISTANO;;;1;6;6;10;22;34;19;13;;;111
2077604 HOSP PRESIDENTE;;;4;3;8;15;29;43;51;45;4;;202
2080818 HOSP SAMARITANO;3;;;3;8;17;32;47;42;36;1;;189
5907594 HOSP SAO LUIZ ANALIA FRANCO;1;;;12;21;35;39;31;36;15;;;190
2076896 HOSP SAO LUIZ GONZAGA;4;;2;7;9;23;56;46;45;6;;;198
2688611 HOSP SAO LUIZUNIDADE I;;1;;1;5;15;16;23;17;11;1;;90
2079127 HOSP SIRIO LIBANES;1;;;1;3;5;18;47;81;77;1;;234
2688603 HOSP STA CATARINA;1;;1;7;7;13;33;71;83;75;6;;297
2082624 HOSP STA CRUZ;;;1;4;4;18;38;36;60;25;5;;191
2078597 HOSP STA HELENA;;;;1;5;8;10;13;13;5;;;55
2084341 HOSP STA MAGGIORE;;;;;;;2;5;3;1;;;11
2077477 HOSP STA MARCELINA SAO PAULO;12;9;26;72;124;260;407;368;244;45;4;;1571
2082535 HOSP STA RITA;;;;;;;;2;1;1;;;4
2078457 HOSP STA VIRGINIA;;;1;2;3;5;11;17;24;10;1;;74
7755333 HOSPITAL 10 DE JULHO;;;;;;;;;1;;;;1
7060165 HOSPITAL A C CAMARGO TAMANDARE;;3;;;3;5;7;7;2;1;1;;29
3166597 HOSPITAL ADVENTISTA DE SAO PAULO;;;;5;4;14;26;51;54;15;;;169
0000418 HOSPITAL AGAMENON MAGALHAES;;;;;;;;1;;;;;1
2081865 HOSPITAL ALBERT SABIN ATIBAIA;;;;;;;;;;1;;;1
2083191 HOSPITAL ALPHA MED CARAPICUIBA;;;;;;1;;;;;;;1
2793466 HOSPITAL ALVORADA JACAREI - JACAREI (SP);;;;;;1;;;1;1;;;3
2690764 HOSPITAL AMERICA;;;;;;1;1;;;;;;2
2025760 HOSPITAL ANA COSTA DE SANTOS;;;;;;;2;5;2;;;;9
2025361 HOSPITAL ANCHIETA;;;;;;1;;;;;;;1
0013633 HOSPITAL ANGELINA CARON;;;;2;;;;;;;;;2
3024660 HOSPITAL ASSUNCAO;;;;;;1;;;;;;;1
2077507 HOSPITAL BANDEIRANTES;;;1;5;7;28;65;86;143;67;4;1;407
2084090 HOSPITAL BARTIRA;;;3;5;9;9;12;5;5;1;;;49
3003361 HOSPITAL BENEFICENCIA PORTUGUESA DE BAURU;;;;;;;;;1;;;;1
2718324 HOSPITAL BOM CLIMA;1;;;1;5;3;13;9;10;2;;;44
3309959 HOSPITAL BOSQUE DA SAUDE;1;3;8;16;29;44;54;32;41;21;1;;250
2080575 HOSPITAL BP;;1;2;7;11;37;80;98;83;58;1;;378
2081628 HOSPITAL CARLOS CHAGAS;;;;4;4;2;7;5;7;1;1;;31
2091801 HOSPITAL CENTRAL DE GUAIANASES;1;1;2;4;9;8;5;8;7;;;;45
9065946 HOSPITAL COPA STAR - RIO DE JANEIRO (RJ);;;;;;;;1;;;;;1
2078988 HOSPITAL CORACAO DE JESUS;;;;;;;;2;1;;;;3
2079887 HOSPITAL CRUZEIRO DO SUL;;;1;2;6;23;19;22;13;8;;;94
2080168 HOSPITAL DA CRIANCA;1;;;;;;;;1;;1;;3
2080494 HOSPITAL DA CRUZ VERMELHA BRASILEIRA DO ESTADO DE SAO;;;1;3;10;19;24;24;16;4;;;101
3367371 HOSPITAL DA LUZ;2;1;1;11;22;24;30;26;17;4;;;138
6451098 HOSPITAL DALILA FERREIRA BARBOSA - ARUJA (SP);;;;;;1;1;1;;1;;;4
9335951 HOSPITAL DAS ACACIAS - SANTO ANDRE (SP);;;;;2;1;3;4;6;1;;;17
2127989 HOSPITAL DAS CLIN SAMUEL LIBANIO POUSO ALEGRE;;;1;;;;1;1;;;;;3
2748223 HOSPITAL DAS CLINICAS DA FACULDADE DE MEDICINA DE BOTUCATU;;;;;;;;1;;;;;1
2079798 HOSPITAL DAS CLINICAS DA UNICAMP DE CAMPINAS;;;;;;;1;;;;;;1
2025507 HOSPITAL DAS CLINICAS HCFAMEMA - MARILIA (SP);;;;1;;;;;;;;;1
2080680 HOSPITAL DAS CLINICAS LUZIA DE PINHO MELO MOGI DAS CRUZES;;;;;2;4;6;3;4;1;;;20
2077396 HOSPITAL DE BASE DE SAO JOSE DO RIO PRETO;;;;;;1;;;;;;;1
2819279 HOSPITAL DE BOA VIAGEM - RECIFE (PE);;;;;;;1;;;;;;1
0102172 HOSPTIAL DE CAMPANHA COVID 19 CENTRO DE COMBATE AO CORONA;;;;;2;;;4;;;;;6
0115509 HOSPITAL DE CAMPANHA COVID 19 DE MAIRIPORA - MAIRIPORA - SP;;;;;1;2;1;2;1;;;;7
0127604 HOSPITAL DE CAMPANHA COVID 19 JARDIM PAULISTA - BARUERI (SP);;;;;;1;;;;;;;1
0113123 HOSPITAL DE CAMPANHA COVID 19 SMS SP ANHEMBI P 35;;;;;2;1;4;3;1;;;;11
0102083 HOSPITAL DE CAMPANHA COVID 19 SMS SP ANHEMBI P 38;;;;1;4;11;11;14;10;;;;51
0102040 HOSPITAL DE CAMPANHA COVID 19 SMS SP PACAEMBU;;;;1;2;4;1;2;;;;;10
0112062 HOSPITAL DE CAMPANHA RIBEIRAO PIRES - RIBEIRAO PIRES - SP;;;;;;;;;1;;;;1
6817203 HOSPITAL DE CLINICAS CAIEIRAS;;;;3;1;4;2;2;1;;;;13
2087219 HOSPITAL DE CLINICAS CAMPO LIMPO PAULISTA;;;;;;;;1;;;;;1
2206595 HOSPITAL DE CLINICAS DA UFTM;;;;;;1;;;;;;;1
2765934 HOSPITAL DE CLINICAS DE SAO SEBASTIAO;;;;;1;1;;;;;;;2
2082349 HOSPITAL DE CLINICAS DR RADAMES NARDINI;;;;1;;;1;1;1;;;;4
7373465 HOSPITAL DE CLINICAS MUNICIPAL;;;;1;;1;4;1;;1;;;8
2167727 HOSPITAL DE GIMIRIM - POCO FUNDO (MG);;;1;;;;;;;;;;1
6998194 HOSPITAL DIA DA REDE HORA CERTA LAPA;;;;;;;;1;1;1;;;3
6135749 HOSPITAL DIA DA REDE HORA CERTA MOOCA;;;;;;;;;1;;;;1
2751976 HOSPITAL DIA DA REDE HORA CERTA SAO MIGUEL TITO LOPES;;;;;1;;;;;;;;1
7992890 HOSPITAL DIA REDE HORA CERTA DA CAPELA DO SOCORRO;;;11;15;31;48;52;36;20;5;1;;219
2081288 HOSPITAL DO CORACAO;;;;;3;6;16;33;39;20;1;;118
7758391 HOSPITAL DO CORACAO UNIDADE BELA SUICA - LONDRINA (PR);;;;1;;;;;;;;;1
2089785 HOSPITAL DO RIM E HIPERTENSAO;;;;3;4;4;12;5;;;;;28
0013846 HOSPITAL DO ROCIO - CAMPO LARGO - PR;;;;;;;;2;;;;;2
2087057 HOSPITAL DOS FORNECEDORES DE CANA DE PIRACICABA;;;;;1;;;1;;;;;2
2577763 HOSPITAL DOUTOR EULALINO IGNACIO DE ANDRADE HZS - LONDRINA - PR;;;;;;;;;1;;;;1
2077434 HOSPITAL DR LEOPOLDO BEVILACQUA;;;;;;1;1;;;1;;;3
2080079 HOSPITAL DR OSIRIS FLORINDO COELHO FERRAZ DE VASCONCELOS;1;;;1;1;3;1;1;4;;;;12
2080133 HOSPITAL E MATERNIDADE BENEFICENCIA PORTUGUESA;;;;;4;3;3;;1;;;;11
2789590 HOSPITAL E MATERNIDADE BRASIL;;;;;3;4;3;6;12;2;;;30
2082128 HOSPITAL E MATERNIDADE CELSO PIERRO;;;;;;;1;;;;;;1
2080613 HOSPITAL E MATERNIDADE CENTRAL SAO CAETANO DE SUL;;;2;4;6;8;6;1;2;3;1;;33
2079607 HOSPITAL E MATERNIDADE DR CHRISTOVAO DA GAMA;;;;1;3;7;9;17;18;14;;;69
9255826 HOSPITAL E MATERNIDADE GUARULHOS;2;;1;9;16;14;23;8;4;1;;;78
6938876 HOSPITAL E MATERNIDADE INTERMEDICA ABC;;;7;15;42;86;81;51;24;16;1;;323
2078678 HOSPITAL E MATERNIDADE MADRE THEODORA;;;;;;1;;;;;;;1
2078082 HOSPITAL E MATERNIDADE METROPOLITANO;;1;3;16;21;32;43;47;31;12;;;206
2072513 HOSPITAL E MATERNIDADE MUNICIPAL SANTA ANA;;;;;;1;1;;1;;;;3
2746387 HOSPITAL E MATERNIDADE NOVA VIDA;;;;5;3;3;3;;;;;;14
2080753 HOSPITAL E MATERNIDADE SAO JOAQUIM - FRANCA (SP);;;;;;;;;;;1;;1
2127881 HOSPITAL E MATERNIDADE SAO LUCAS DE EXTREMA (EXTREMA - MG);;;;;;;;1;;;;;1
2078619 HOSPITAL E MATERNIDADE SAO MIGUEL;;;;1;1;2;2;2;;;;;8
2069776 HOSPITAL E PRONTO SOCORRO CENTRAL;;;;1;4;3;6;5;3;1;;;23
2495015 HOSPITAL E PRONTO SOCORRO MUNICIPAL DE CUIABA;;;;;;1;;;;;;;1
2823209 HOSPITAL E PRONTO SOCORRO PORTINARI;1;1;4;25;42;44;36;21;14;5;;;193
2096196 HOSPITAL ENF ANTONIO POLICARPO DE OLIVEIRA;;;1;1;3;5;11;6;2;3;;;32
2208857 HOSPITAL ESCOLA AISI ITAJUBA;;;;;;1;;;;;;;1
2089335 HOSPITAL ESCOLA EMILIO CARLOS - CATANDUVA (SP);;;;;;;;;1;;;;1
6602533 HOSPITAL ESTADUAL DA CRIANCA;1;;;;;;;;;;;;1
0127876 HOSPITAL ESTADUAL DE CAMPANHA COVID 19 BARRADAS;;;2;2;12;19;29;37;14;;;;115
0127868 HOSPITAL ESTADUAL DE CAMPANHA COVID 19 IBIRAPUERA;;;;;1;4;3;2;3;;;;13
2084163 HOSPITAL ESTADUAL DE DIADEMA HOSPITAL SERRARIA;1;;1;2;4;3;7;5;2;2;;;27
2091585 HOSPITAL ESTADUAL DE SAPOPEMBA SAO PAULO;2;;3;11;19;45;96;131;127;36;1;;471
2077426 HOSPITAL ESTADUAL DE VILA ALPINA ORG SOCIAL SECONCI SAO PAUL;10;1;13;28;72;195;284;300;292;101;4;1;1301
6878687 HOSPITAL ESTADUAL DR ALBANO DA FRANCA ROCHA SOBRINHO;;;1;;;2;;;;;;;3
7257406 HOSPITAL ESTADUAL DR JAYME SANTOS NEVES - SERRA (ES);;;;;;;;2;;;;;2
2080273 HOSPITAL ESTADUAL MARIO COVAS DE SANTO ANDRE;;;1;4;7;12;19;15;5;1;;;64
3028399 HOSPITAL ESTADUAL PROF CARLOS DA SILVA LACAZ FCO MORATO;;;;;1;3;4;;;;;;8
2081644 HOSPITAL FREI GALVAO;;;;;;;;1;;;;;1
2081636 HOSPITAL FREI GALVAO - SANTOS (SP);;;;;;;;1;;1;;;2
2792168 HOSPITAL GERAL DE CARAPICUIBA;;;;;;;2;;;;;;2
2080338 HOSPITAL GERAL DE GUARULHOS PROF DR WALDEMAR DE CARVALHO;1;1;;;5;9;8;11;8;3;;;46
2792176 HOSPITAL GERAL DE ITAPECERICA DA SERRA;;;;2;4;7;19;11;7;2;1;;53
2078104 HOSPITAL GERAL DE ITAPEVI;;;;;;;1;1;;1;;;3
2078562 HOSPITAL GERAL DE ITAQUAQUECETUBA;;;1;2;1;1;8;6;2;1;;;22
2066092 HOSPITAL GERAL DE PEDREIRA;16;2;19;42;86;146;241;241;179;76;2;;1050
2077493 HOSPITAL GERAL DE SAO MATEUS SAO PAULO;6;1;14;25;59;85;116;100;69;18;1;;494
2688573 HOSPITAL GERAL DE VILA NOVA CACHOEIRINHA SAO PAULO;1;4;4;17;40;76;106;104;95;31;1;;479
2091755 HOSPITAL GERAL DE VILA PENTEADO DR JOSE PANGELLA SAO PAULO;;1;18;32;90;150;245;208;133;47;2;;926
2402076 HOSPITAL GERAL DE VITORIA DA CONQUISTA;;;;;1;1;;2;;;;;4
2006510 HOSPITAL GERAL DO ESTADO DR OSVALDO BRANSAO VILELA;;;;1;;;;;;;;;1
2077671 HOSPITAL GERAL DO GRAJAU PROF LIBER JOHN ALPHONSE DI DIO SP;11;7;4;15;47;66;79;107;72;26;4;;438
2785900 HOSPITAL GERAL DR WALDEMAR ALCANTARA;;;;;;;;1;;;;;1
0004073 HOSPITAL GERAL ERNESTO SIMOES FILHO;;;;;;;2;;;;;;2
2079240 HOSPITAL GERAL JESUS TEIXEIRA DA COSTA GUAIANASES SAO PAULO;1;;9;21;37;89;112;121;90;34;3;;517
2079828 HOSPITAL GERAL PIRAJUSSARA TABOAO DA SERRA;;;1;;;2;;2;;;;;5
2400693 HOSPITAL GERAL PRADO VALADARES;;;;;1;;;;;;;;1
2077620 HOSPITAL GERAL SANTA MARCELINA DE ITAIM PAULISTA SAO PAULO;3;4;8;18;43;71;112;123;90;18;;1;491
2688581 HOSPITAL GERIATRICO E DE CONVALESCENTES D PEDRO II;;;;;;;2;;;;;;2
2089696 HOSPITAL GRAACC INSTITUTO DE ONCOLOGIA PEDIATRICA IOP;3;2;;;;;;;;;;;5
7894260 HOSPITAL GUARUJA - GUARUJA - SP;;;;;;;1;1;1;1;;;4
2079720 HOSPITAL GUILHERME ALVARO SANTOS;;;;;1;1;1;2;1;2;;;8
2066572 HOSPITAL HELIOPOLIS UNIDADE DE GESTAO ASSISTENCIAL I SP;;;5;7;12;33;53;42;24;11;;;187
2084333 HOSPITAL IGESP;;;;6;7;18;52;84;127;75;3;;372
2080400 HOSPITAL IMACULADA CONCEICAO - RIBEIRAO PRETO (SP);;;;;;;1;;;;;;1
3160408 HOSPITAL INC;;;;;;;;;1;;;;1
2097613 HOSPITAL INFANTE D HENRIQUE;;;;;;;;1;;;;;1
2088517 HOSPITAL INFANTIL CANDIDO FONTOURA SAO PAULO;24;6;;;;;;;;;;;30
2071371 HOSPITAL INFANTIL DARCY VARGAS UGA III SAO PAULO;1;2;;;;;;;;;;;3
6614426 HOSPITAL INFANTIL SABARA;3;;;;;;;;;;;;3
2784882 HOSPITAL IPIRANGA DE MOGI DAS CRUZES;;;;;2;;2;;5;;;;9
2058391 HOSPITAL ISRAELITA ALBERT EINSTEIN;1;1;3;3;6;14;22;70;91;79;7;;297
2082225 HOSPITAL KATIA DE SOUZA RODRIGUES TAIPASSP SAO PAULO;2;1;13;29;45;85;117;113;94;36;2;;537
6283993 HOSPITAL LEFORTE;1;;1;3;5;7;12;18;25;8;;;80
2079011 HOSPITAL LEITO IRMA ANETTE MARLENE FERNANDES DE MELLO;;;;;2;1;;;;1;;;4
2205440 HOSPITAL MARCIO CUNHA;;;;;;;;;1;;;;1
2065665 HOSPITAL MATERNIDADE INTERLAGOS;3;;1;1;1;;;;;;;;6
2004976 HOSPITAL MEMORIAL DJACY BARBOSA - ARAPIRACA - AL;;;;;;1;;;;;;;1
9467718 HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA - PB;;;1;1;;;;;;;;;2
2591049 HOSPITAL MINISTRO COSTA CAVALCANTI;;;;;;1;;;;;;;1
2082101 HOSPITAL MODELO SOROCABA;;;;;;;1;;;;;;1
6148956 HOSPITAL MONTEMAGNO;;;6;11;37;45;34;10;4;2;;;149
7644167 HOSPITAL MORIAH;;;;;1;;3;1;1;;;;6
2222043 HOSPITAL MUNICIPAL;;;;;;1;;1;;;;;2
0008028 HOSPITAL MUNICIPAL ANTONIO GIGLIO;1;;4;4;4;11;16;23;5;1;;;69
0102075 HOSPITAL MUNICIPAL BELA VISTA;;;7;27;72;114;173;168;98;19;1;2;681
0102105 HOSPITAL MUNICIPAL BRASILANDIA;;;9;27;63;91;166;166;102;45;1;;670
2080427 HOSPITAL MUNICIPAL DA CRIANCA E DO ADOLESCENTE HMCA;3;;;;;;;;;;;;3
6095666 HOSPITAL MUNICIPAL DE BARUERI DR FRANCISCO MORAN;;;;1;;3;3;3;2;1;;;13
2083272 HOSPITAL MUNICIPAL DE BERTIOGA;;;;;;1;;;;;;;1
2080028 HOSPITAL MUNICIPAL DE DIADEMA HMD;;;;2;1;3;6;1;3;1;;;17
5935857 HOSPITAL MUNICIPAL DE EMERGENCIAS ALBERT SABIN;;1;1;2;3;12;16;23;16;9;;1;84
2081091 HOSPITAL MUNICIPAL DE ITAPIRA;;;;;;;;1;;;;;1
2554623 HOSPITAL MUNICIPAL DE JIJOCA DE JERICOACOARA;;;;1;;;;;;;;;1
3021378 HOSPITAL MUNICIPAL DE SAO VICENTE;;;;;1;;;;;;;;1
2058308 HOSPITAL MUNICIPAL DR ACILIO CARREON GARCIA - NOVA ODESSA - SP;;;;;;;;;;1;;;1
0009628 HOSPITAL MUNICIPAL DR JOSE DE CARVALHO FLORENCE;;;;;;;1;;;;;;1
2081490 HOSPITAL MUNICIPAL DR MARIO GATTI CAMPINAS;;;;;;1;;;;;;;1
0161438 HOSPITAL MUNICIPAL GUARAPIRANGA;;1;13;37;71;148;219;175;140;42;3;1;850
2704587 HOSPITAL MUNICIPAL HUGO MIRANDA - PARATI - RJ;;;;;1;;;;;;;;1
2363070 HOSPITAL MUNICIPAL PEDRO I COVID 19 - CAMPINA GRANDE (PB);;;;;;2;1;;;;;;3
5200105 HOSPITAL MUNICIPAL PIMENTAS BONSUCESSO MANUEL DE PAIVA;;;;2;2;5;9;4;4;2;;;28
2436469 HOSPITAL MUNICIPAL SAO JOSE;;;;;;;1;;;;;;1
5158044 HOSPITAL NAVAL MARCILIO DIAS;;;;;;;1;;;;;;1
9149511 HOSPITAL NEUROCENTER;1;;1;6;17;24;29;19;14;1;;;112
