estab_internacao;sim;nao;ign;total
2716097 COMPLEXO HOSPITALAR IRMA DULCE O S S;2;;;2
2082594 COMPLEXO HOSPITALAR MUNICIPAL;16;;4;20
6625649 COMPLEXO HOSPITALAR OITO DE DEZEMBRO UNIDADE I;22;5;;27
7013981 COMPLEXO HOSPITALAR OITO DE DEZEMBRO UNIDADE II;10;6;;16
2079410 COMPLEXO HOSPITALAR PADRE BENTO DE GUARULHOS;64;12;9;85
6053858 COMPLEXO HOSPITALAR PREFEITO EDIVALDO ORSI;1;2;;3
7593643 COMPLEXO HOSPITALAR SANTO EXPEDITO;1;;2;3
0158119 COMPLEXO HOSPITALAR MUNICIPAL SOROCABANA;575;84;132;791
7947984 COMPLEXO MUNICIPAL DE SAUDE;2;;;2
2077574 CONJUNTO HOSPITALAR DO MANDAQUI SAO PAULO;917;268;238;1423
2081695 CONJUNTO HOSPITALAR SOROCABA;1;;;1
2078627 DAY HOSPITAL DE ERMELINO MATARAZZO;117;87;2;206
9491252 DR RUBENS SAVASTANO HOSPITAL REGIONAL DE SAO JOSE DOS CAMPOS - SJC - SP;1;2;1;4
0009709 EBSERH HOSP UNIV MARIA APARECIDA PEDROSSIAN;2;;;2
2080001 FAMILY HOSPITAL;8;1;;9
2090236 FUNDACAO PIO XII - BARRETOS (SP);3;1;;4
2078015 HC DA FMUSP HOSPITAL DAS CLINICAS SAO PAULO;1620;22;344;1986
2296608 HCJ HOSPITAL DE CLINICAS DE JACAREPAGUA;1;;;1
2786435 HCSVP HOSPITAL SAO VICENTE;3;;1;4
2751860 HD DA REDE HORA CERTA IPIRANGA FLAVIO GIANNOTTI;55;10;6;71
0010561 HFA;;1;;1
2079089 HOSP 9 DE JULHO;506;3;56;565
2082314 HOSP ALBERT SABIN;108;;323;431
2089238 HOSP ALVORADA;1398;350;2;1750
2078481 HOSP AVICCENA;259;356;9;624
2078600 HOSP DA AERONAUTICA DE SPHASP;31;5;4;40
2075962 HOSP DA STA CASA DE STO AMARO;184;116;14;314
3019012 HOSP DE CLINICAS J HELENA;47;23;4;74
2088576 HOSP DE TRANSPLANT DO EST DE SP EURYCLIDES DE JESUS ZERBINI;82;47;3;132
2058502 HOSP DO SERV PUB EST FCO MORATO DE OLIVEIRA SAO PAULO;161;6;1677;1844
2752077 HOSP DO SERV PUB MUNICIPAL HSPM;471;29;114;614
2077469 HOSP DOM ANTONIO DE ALVARENGA;155;;52;207
2080230 HOSP E MAT MENINO JESUS;;1;;1
3585409 HOSP E MAT STO EXPEDITO;6;1;1;8
2089610 HOSP EDMUNDO VASCONCELOS;11;2;16;29
2078007 HOSP GERAL DE SAO PAULO;14;;26;40
2089653 HOSP IGUATEMI;541;9;30;580
2078406 HOSP INDEPENDENCIA;35;71;40;146
2680785 HOSP MAT ALVORADA STO AMARO;33;13;5;51
2089602 HOSP MAT DO SEPACO;345;8;24;377
2080796 HOSP MAT SAO CRISTOVAO;38;7;53;98
2079542 HOSP MAT STA JOANA;34;1;7;42
2078589 HOSP MAT STA MARIA-CRUZ AZUL;1172;309;179;1660
2080257 HOSP MAT STA MARINA;1;;;1
3045625 HOSP MAT VIDAS;225;190;30;445
2077752 HOSP MONUMENTO CEHM;1;;1;2
5420938 HOSP MUN CARMEN PRUDENTE;1036;54;316;1406
7473702 HOSP MUN DE MOGI DAS CRUZES PREF WALDEMAR COSTA FILHO;35;36;5;76
2084139 HOSP MUN DR BENEDICTO MONTENEGRO;434;145;32;611
2080346 HOSP MUN DR CARMINO CARICCHIO;81;9;100;190
2084473 HOSP MUN DR IGNACIO PROENCA DE GOUVEA;719;34;201;954
2077450 HOSP MUN DR JOSE SOARES HUNGRIA;453;165;55;673
2786680 HOSP MUN FERNANDO MAURO PIRES DA ROCHA;189;27;19;235
7711980 HOSP MUN GILSON DE CASSIA MARQUES DE CARVALHO;304;19;1;324
2078325 HOSP MUN INFANTIL MENINO JESUS;15;3;4;22
2081970 HOSP MUN JABAQUARA ARTUR RIBEIRO DE SABOYA;243;73;38;354
9465464 HOSP MUN JOSANIAS CASTANHA BRAGA;2056;70;82;2208
5718368 HOSP MUN M BOI MIRIM;2123;452;19;2594
2079186 HOSP MUN MAT ESC DR MARIO DE MORAES A SILVA;40;22;130;192
2075717 HOSP MUN MATERNIDADE PROFESSOR MARIO DEGNI;51;5;76;132
2077639 HOSP MUN PROF DR WALDOMIRO DE PAULA;543;98;420;1061
2082829 HOSP MUN PROFESSOR DOUTOR ALIPIO CORREA NETTO;65;5;1;71
2080583 HOSP MUN TIDE SETUBAL;2123;86;663;2872
2080788 HOSP MUN V NHOCUNE ALEXANDRE ZAIO;506;36;1;543
3212130 HOSP MUN VER JOSE STOROPOLLI;962;123;56;1141
2082861 HOSP MUNICIPAL DE URGENCIAS HMU;5;2;9;16
2089599 HOSP NSRA DE LOURDES;157;4;638;799
2084376 HOSP PAULISTANO;81;105;13;199
2077604 HOSP PRESIDENTE;234;29;152;415
2080818 HOSP SAMARITANO;713;7;293;1013
5907594 HOSP SAO LUIZ ANALIA FRANCO;318;120;77;515
2076896 HOSP SAO LUIZ GONZAGA;521;187;17;725
2688611 HOSP SAO LUIZUNIDADE I;296;3;545;844
2079127 HOSP SIRIO LIBANES;758;10;716;1484
2688603 HOSP STA CATARINA;686;725;652;2063
2082624 HOSP STA CRUZ;476;31;6;513
2078597 HOSP STA HELENA;196;35;26;257
2084341 HOSP STA MAGGIORE;7;;1;8
2077477 HOSP STA MARCELINA SAO PAULO;1702;1280;483;3465
2082535 HOSP STA RITA;2;;;2
2078457 HOSP STA VIRGINIA;34;202;23;259
7755333 HOSPITAL 10 DE JULHO;;2;;2
7060165 HOSPITAL A C CAMARGO TAMANDARE;9;;7;16
6832725 HOSPITAL ABC UNIDADE AVANCADA PRESTES MAIA;1;;1;2
3166597 HOSPITAL ADVENTISTA DE SAO PAULO;228;2;131;361
2081865 HOSPITAL ALBERT SABIN ATIBAIA;1;;;1
2389746 HOSPITAL ALIANCA;2;1;;3
2083191 HOSPITAL ALPHA MED CARAPICUIBA;2;;2;4
2793466 HOSPITAL ALVORADA JACAREI - JACAREI (SP);1;1;;2
2690764 HOSPITAL AMERICA;17;30;3;50
2077388 HOSPITAL AMPARO MATERNAL;2;12;1;15
2025760 HOSPITAL ANA COSTA DE SANTOS;1;1;4;6
2241153 HOSPITAL ARCANJO SAO MIGUEL;2;;;2
3024660 HOSPITAL ASSUNCAO;28;1;;29
2097117 HOSPITAL AUSTA SAO JOSE DO RIO PRETO;1;;;1
2077507 HOSPITAL BANDEIRANTES;362;7;401;770
2084090 HOSPITAL BARTIRA;87;104;2;193
3003361 HOSPITAL BENEFICENCIA PORTUGUESA DE BAURU;1;;;1
2718324 HOSPITAL BOM CLIMA;26;1;48;75
3309959 HOSPITAL BOSQUE DA SAUDE;559;59;85;703
2080575 HOSPITAL BP;656;465;12;1133
2081628 HOSPITAL CARLOS CHAGAS;24;;165;189
2091801 HOSPITAL CENTRAL DE GUAIANASES;62;118;33;213
9065946 HOSPITAL COPA STAR - RIO DE JANEIRO (RJ);1;1;;2
2078988 HOSPITAL CORACAO DE JESUS;;1;;1
2079887 HOSPITAL CRUZEIRO DO SUL;149;42;2;193
2080168 HOSPITAL DA CRIANCA;33;3;388;424
2080494 HOSPITAL DA CRUZ VERMELHA BRASILEIRA DO ESTADO DE SAO;90;2;71;163
3367371 HOSPITAL DA LUZ;123;1;235;359
6020917 HOSPITAL DA MULHER MARIA JOSE DOS SANTOS STEIN;;1;;1
6451098 HOSPITAL DALILA FERREIRA BARBOSA - ARUJA (SP);4;;1;5
9335951 HOSPITAL DAS ACACIAS - SANTO ANDRE (SP);6;2;;8
2127989 HOSPITAL DAS CLIN SAMUEL LIBANIO POUSO ALEGRE;8;1;;9
2748223 HOSPITAL DAS CLINICAS DA FACULDADE DE MEDICINA DE BOTUCATU;2;;;2
2079798 HOSPITAL DAS CLINICAS DA UNICAMP DE CAMPINAS;2;;1;3
2535556 HOSPITAL DAS CLINICAS DR SERAFIM DE CARVALHO;1;;;1
2080680 HOSPITAL DAS CLINICAS LUZIA DE PINHO MELO MOGI DAS CRUZES;22;5;2;29
2077396 HOSPITAL DE BASE DE SAO JOSE DO RIO PRETO;6;1;;7
2819279 HOSPITAL DE BOA VIAGEM - RECIFE (PE);2;;;2
0115509 HOSPITAL DE CAMPANHA COVID 19 DE MAIRIPORA - MAIRIPORA - SP;14;;1;15
0127604 HOSPITAL DE CAMPANHA COVID 19 JARDIM PAULISTA - BARUERI (SP);1;1;3;5
0105597 HOSPITAL DE CAMPANHA COVID 19 OSASCO - OSASCO - SP;32;4;2;38
0102083 HOSPITAL DE CAMPANHA COVID 19 SMS SP ANHEMBI P 38;1;;;1
0112062 HOSPITAL DE CAMPANHA RIBEIRAO PIRES - RIBEIRAO PIRES - SP;1;3;;4
6817203 HOSPITAL DE CLINICAS CAIEIRAS;5;;6;11
2087219 HOSPITAL DE CLINICAS CAMPO LIMPO PAULISTA;1;;;1
2206595 HOSPITAL DE CLINICAS DA UFTM;;;2;2
2765934 HOSPITAL DE CLINICAS DE SAO SEBASTIAO;1;;1;2
2082349 HOSPITAL DE CLINICAS DR RADAMES NARDINI;8;5;5;18
3014681 HOSPITAL DE CLINICAS MARIO LIONI - DUQUE DE CAXIAS (RJ);;1;;1
7373465 HOSPITAL DE CLINICAS MUNICIPAL;3;1;1;5
0019305 HOSPITAL DE FLORIANOPOLIS;1;;;1
2751925 HOSPITAL DIA CIDADE ADEMAR;9;2;;11
6998194 HOSPITAL DIA DA REDE HORA CERTA LAPA;7;;1;8
2091658 HOSPITAL DIA DA REDE HORA CERTA M BOI MIRIM I;1;;;1
7378394 HOSPITAL DIA DA REDE HORA CERTA M BOI MIRIM II;5;;1;6
6135749 HOSPITAL DIA DA REDE HORA CERTA MOOCA;12;7;11;30
2751976 HOSPITAL DIA DA REDE HORA CERTA SAO MIGUEL TITO LOPES;1;2;;3
7979649 HOSPITAL DIA DA REDE HORA CERTA VILA GUILHERME VILA MARIA;7;;2;9
7992890 HOSPITAL DIA REDE HORA CERTA DA CAPELA DO SOCORRO;1180;541;10;1731
2081288 HOSPITAL DO CORACAO;134;2;103;239
3119289 HOSPITAL DO CORACAO;1;1;;2
2758083 HOSPITAL DO CORACAO DE LONDRINA - LONDRINA - PR;;2;;2
7758391 HOSPITAL DO CORACAO UNIDADE BELA SUICA - LONDRINA (PR);2;;;2
2089785 HOSPITAL DO RIM E HIPERTENSAO;12;6;1;19
0013846 HOSPITAL DO ROCIO - CAMPO LARGO - PR;;1;;1
2087057 HOSPITAL DOS FORNECEDORES DE CANA DE PIRACICABA;3;;1;4
2080079 HOSPITAL DR OSIRIS FLORINDO COELHO FERRAZ DE VASCONCELOS;10;1;3;14
2080133 HOSPITAL E MATERNIDADE BENEFICENCIA PORTUGUESA;7;4;;11
2789590 HOSPITAL E MATERNIDADE BRASIL;143;26;1;170
2082128 HOSPITAL E MATERNIDADE CELSO PIERRO;3;;;3
2080613 HOSPITAL E MATERNIDADE CENTRAL SAO CAETANO DE SUL;60;1;54;115
2079607 HOSPITAL E MATERNIDADE DR CHRISTOVAO DA GAMA;41;7;;48
5515483 HOSPITAL E MATERNIDADE GALILEO;2;1;;3
9255826 HOSPITAL E MATERNIDADE GUARULHOS;78;9;30;117
6938876 HOSPITAL E MATERNIDADE INTERMEDICA ABC;579;264;49;892
2078678 HOSPITAL E MATERNIDADE MADRE THEODORA;3;2;;5
2522691 HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN;;2;;2
2078082 HOSPITAL E MATERNIDADE METROPOLITANO;169;9;27;205
2072513 HOSPITAL E MATERNIDADE MUNICIPAL SANTA ANA;2;;1;3
2746387 HOSPITAL E MATERNIDADE NOVA VIDA;30;7;1;38
2080753 HOSPITAL E MATERNIDADE SAO JOAQUIM - FRANCA (SP);1;;;1
2069776 HOSPITAL E PRONTO SOCORRO CENTRAL;40;17;1;58
2495015 HOSPITAL E PRONTO SOCORRO MUNICIPAL DE CUIABA;1;;;1
2823209 HOSPITAL E PRONTO SOCORRO PORTINARI;219;44;16;279
2181770 HOSPITAL EDUARDO DE MENEZES;1;;;1
2096196 HOSPITAL ENF ANTONIO POLICARPO DE OLIVEIRA;48;10;1;59
2208857 HOSPITAL ESCOLA AISI ITAJUBA;1;;;1
2089335 HOSPITAL ESCOLA EMILIO CARLOS - CATANDUVA (SP);;;2;2
0127876 HOSPITAL ESTADUAL DE CAMPANHA COVID 19 BARRADAS;82;2;56;140
2084163 HOSPITAL ESTADUAL DE DIADEMA HOSPITAL SERRARIA;44;;33;77
2091585 HOSPITAL ESTADUAL DE SAPOPEMBA SAO PAULO;275;9;103;387
2077426 HOSPITAL ESTADUAL DE VILA ALPINA ORG SOCIAL SECONCI SAO PAUL;1227;5;401;1633
6878687 HOSPITAL ESTADUAL DR ALBANO DA FRANCA ROCHA SOBRINHO;2;1;;3
7257406 HOSPITAL ESTADUAL DR JAYME SANTOS NEVES - SERRA (ES);1;;;1
2080273 HOSPITAL ESTADUAL MARIO COVAS DE SANTO ANDRE;14;14;;28
3028399 HOSPITAL ESTADUAL PROF CARLOS DA SILVA LACAZ FCO MORATO;4;;2;6
2081636 HOSPITAL FREI GALVAO - SANTOS (SP);3;;2;5
2792168 HOSPITAL GERAL DE CARAPICUIBA;3;;2;5
2080338 HOSPITAL GERAL DE GUARULHOS PROF DR WALDEMAR DE CARVALHO;35;2;15;52
2792176 HOSPITAL GERAL DE ITAPECERICA DA SERRA;101;15;19;135
2078104 HOSPITAL GERAL DE ITAPEVI;1;;2;3
2078562 HOSPITAL GERAL DE ITAQUAQUECETUBA;8;;;8
2066092 HOSPITAL GERAL DE PEDREIRA;720;780;175;1675
2077493 HOSPITAL GERAL DE SAO MATEUS SAO PAULO;703;228;14;945
2688573 HOSPITAL GERAL DE VILA NOVA CACHOEIRINHA SAO PAULO;475;43;303;821
2091755 HOSPITAL GERAL DE VILA PENTEADO DR JOSE PANGELLA SAO PAULO;610;278;71;959
2402076 HOSPITAL GERAL DE VITORIA DA CONQUISTA;3;;;3
2006510 HOSPITAL GERAL DO ESTADO DR OSVALDO BRANSAO VILELA;1;;;1
2077671 HOSPITAL GERAL DO GRAJAU PROF LIBER JOHN ALPHONSE DI DIO SP;936;234;6;1176
2785900 HOSPITAL GERAL DR WALDEMAR ALCANTARA;1;;;1
0004073 HOSPITAL GERAL ERNESTO SIMOES FILHO;1;;;1
2080516 HOSPITAL GERAL IAMADA PRES PRUDENTE;1;1;;2
2079240 HOSPITAL GERAL JESUS TEIXEIRA DA COSTA GUAIANASES SAO PAULO;454;121;179;754
2079828 HOSPITAL GERAL PIRAJUSSARA TABOAO DA SERRA;5;;5;10
2077620 HOSPITAL GERAL SANTA MARCELINA DE ITAIM PAULISTA SAO PAULO;490;93;8;591
2816210 HOSPITAL GOVERNADOR JOAO ALVES FILHO;;;1;1
2089696 HOSPITAL GRAACC INSTITUTO DE ONCOLOGIA PEDIATRICA IOP;5;5;1;11
2079720 HOSPITAL GUILHERME ALVARO SANTOS;1;1;2;4
2066572 HOSPITAL HELIOPOLIS UNIDADE DE GESTAO ASSISTENCIAL I SP;193;22;70;285
2084333 HOSPITAL IGESP;126;68;44;238
2097613 HOSPITAL INFANTE D HENRIQUE;2;1;;3
2088517 HOSPITAL INFANTIL CANDIDO FONTOURA SAO PAULO;894;32;4;930
2071371 HOSPITAL INFANTIL DARCY VARGAS UGA III SAO PAULO;2;;;2
6048692 HOSPITAL INFANTIL DR JESER AMARANTE FARIA;;1;;1
2691868 HOSPITAL INFANTIL JOANA DE GUSMAO;1;;;1
0026948 HOSPITAL INFANTIL JOAO PAULO II;1;;;1
2744937 HOSPITAL INFANTIL PEQUENO ANJO;1;;;1
6614426 HOSPITAL INFANTIL SABARA;89;40;4;133
2784882 HOSPITAL IPIRANGA DE MOGI DAS CRUZES;9;5;1;15
2058391 HOSPITAL ISRAELITA ALBERT EINSTEIN;1597;7;36;1640
2712008 HOSPITAL JOAO MURILO E POLICLINICA DE VITORIA;1;;;1
0026921 HOSPITAL JOAO XXIII;1;;;1
2082225 HOSPITAL KATIA DE SOUZA RODRIGUES TAIPASSP SAO PAULO;401;166;160;727
6283993 HOSPITAL LEFORTE;79;1;451;531
2079011 HOSPITAL LEITO IRMA ANETTE MARLENE FERNANDES DE MELLO;1;;3;4
2205440 HOSPITAL MARCIO CUNHA;;1;;1
0027995 HOSPITAL MATER DEI S A;1;;;1
0008036 HOSPITAL MATERNIDADE AMADOR AGUIAR;3;2;;5
2065665 HOSPITAL MATERNIDADE INTERLAGOS;12;35;;47
2564211 HOSPITAL MATERNIDADE SAO VICENTE DE PAULA - BARBALHA (CE);2;;;2
0010537 HOSPITAL MATERNO INFANTIL DE BRASILIA HMIB;;1;;1
2517140 HOSPITAL MEMORIAL SAO JOSE;1;;;1
9467718 HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA - PB;1;;;1
2192896 HOSPITAL METROPOLITANO ODILON BHERENS HOB;;1;;1
2082101 HOSPITAL MODELO SOROCABA;;1;;1
3006522 HOSPITAL MOINHOS DE VENTO - PORTO ALEGRE (RS);1;;;1
6148956 HOSPITAL MONTEMAGNO;411;3;126;540
7644167 HOSPITAL MORIAH;28;4;22;54
0008028 HOSPITAL MUNICIPAL ANTONIO GIGLIO;53;25;;78
0102075 HOSPITAL MUNICIPAL BELA VISTA;1150;546;5;1701
0102105 HOSPITAL MUNICIPAL BRASILANDIA;922;122;162;1206
2080427 HOSPITAL MUNICIPAL DA CRIANCA E DO ADOLESCENTE HMCA;25;37;1;63
6095666 HOSPITAL MUNICIPAL DE BARUERI DR FRANCISCO MORAN;8;;6;14
2083272 HOSPITAL MUNICIPAL DE BERTIOGA;;;4;4
2080028 HOSPITAL MUNICIPAL DE DIADEMA HMD;7;1;11;19
5935857 HOSPITAL MUNICIPAL DE EMERGENCIAS ALBERT SABIN;47;2;53;102
2554623 HOSPITAL MUNICIPAL DE JIJOCA DE JERICOACOARA;1;;;1
2743477 HOSPITAL MUNICIPAL DE MARINGA THELMA VILLANOVA KASPROWICZ;1;;;1
2081059 HOSPITAL MUNICIPAL DE PAULINIA;1;;;1
2082411 HOSPITAL MUNICIPAL DR GUIDO GUIDA;14;2;;16
0009628 HOSPITAL MUNICIPAL DR JOSE DE CARVALHO FLORENCE;2;;3;5
2081490 HOSPITAL MUNICIPAL DR MARIO GATTI CAMPINAS;1;;;1
2058790 HOSPITAL MUNICIPAL DR WALDEMAR TEBALDI;2;;;2
2747871 HOSPITAL MUNICIPAL GOV MARIO COVAS JR;1;;;1
0161438 HOSPITAL MUNICIPAL GUARAPIRANGA;2775;394;145;3314
5061989 HOSPITAL MUNICIPAL PADRE GERMANO LAUCK;1;2;;3
5200105 HOSPITAL MUNICIPAL PIMENTAS BONSUCESSO MANUEL DE PAIVA;10;4;5;19
2027356 HOSPITAL MUNICIPAL UNIVERSITARIO;;1;;1
2023474 HOSPITAL MUNICIPAL WALTER FERRARI;;1;;1
9149511 HOSPITAL NEUROCENTER;95;85;10;190
2083248 HOSPITAL NEXT SAO BERNARDO;50;14;1;65
2089777 HOSPITAL NIPO BRASILEIRO;542;41;568;1151
2080052 HOSPITAL NOSSA SENHORA APARECIDA;3;1;;4
2078538 HOSPITAL NOSSA SENHORA APARECIDA - ITUPEVA (SP);1;;;1
2257548 HOSPITAL NOSSA SENHORA APARECIDA DE CAMAQUA - CAMAQUA (RS);;;1;1
2491710 HOSPITAL NOSSA SENHORA DA CONCEICAO;1;;;1
2082330 HOSPITAL NOSSA SENHORA DE FATIMA;74;12;155;241
9768688 HOSPITAL NOVA NEOMATER;23;1;9;33
2078228 HOSPITAL NOVO ATIBAIA;6;4;;10
2076950 HOSPITAL OSWALDO CRUZ;900;82;108;1090
3001113 HOSPITAL OTOCLINICA;1;1;;2
7898843 HOSPITAL PANAMERICANO - RIO DE JANEIRO - RJ;1;2;;3
2210924 HOSPITAL PHILADELFIA;1;1;;2
2078767 HOSPITAL PITANGUEIRAS;15;;5;20
2798220 HOSPITAL PREVINA;70;10;8;88
9357661 HOSPITAL PROMED - GOIANIA (GO);2;;;2
2600536 HOSPITAL REGIONAL DE ARAGUAINA;;;1;1
2083094 HOSPITAL REGIONAL DE ASSIS;1;;;1
2792141 HOSPITAL REGIONAL DE COTIA;7;7;12;26
2081601 HOSPITAL REGIONAL DE FRANCA - FRANCA - SP;1;1;;2
0009725 HOSPITAL REGIONAL DE MATO GROSSO DO SUL;;1;;1
9425802 HOSPITAL REGIONAL DE PIRACICABA - PIRACICABA (SP);;;1;1
0008052 HOSPITAL REGIONAL DR VIVALDO MARTINS SIMOES OSASCO;104;14;1;119
9141839 HOSPITAL REGIONAL JOSE ALENCAR - UBERABA - MG;1;;;1
2091313 HOSPITAL REGIONAL SUL SAO PAULO;473;620;78;1171
3242587 HOSPITAL REGIONAL UNIMED - FORTALEZA (CE);2;;;2
7044666 HOSPITAL RENASCENCA CAMPINAS;3;;;3
9490604 HOSPITAL SAGRADA FAMILIA;39;13;8;60
9554157 HOSPITAL SALVALUS;1731;683;247;2661
2023148 HOSPITAL SAMARITANO DE CAMPINAS;2;;;2
2078732 HOSPITAL SAMARITANO DE SOROCABA;5;;1;6
9684948 HOSPITAL SAMARITANO PAULISTA;430;21;165;616
7174691 HOSPITAL SANCTA MAGGIORE ALTO DA MOOCA;223;1;98;322
9131434 HOSPITAL SANCTA MAGGIORE HIGIENOPOLIS;648;5;167;820
7174705 HOSPITAL SANCTA MAGGIORE ITAIM;14;2;7;23
7174713 HOSPITAL SANCTA MAGGIORE MOOCA;400;1;158;559
7174721 HOSPITAL SANCTA MAGGIORE PARAISO;1949;6;809;2764
7357079 HOSPITAL SANCTA MAGGIORE PINHEIROS;767;3;187;957
7435568 HOSPITAL SANCTA MAGGIORE SAO BERNARDO;12;;3;15
9620494 HOSPITAL SANTA ANA;83;2;50;135
2149990 HOSPITAL SANTA CASA DE MONTES CLAROS;1;;;1
7676484 HOSPITAL SANTA CLARA;261;53;91;405
2151871 HOSPITAL SANTA CLARA;2;;;2
3000869 HOSPITAL SANTA CRUZ;1;;;1
2078759 HOSPITAL SANTA ELISA;;;1;1
3528596 HOSPITAL SANTA HELENA;121;8;1;130
2081539 HOSPITAL SANTA HELENA ASSISTENCIA MEDICA SB DO CAMPO;5;4;1;10
2797844 HOSPITAL SANTA HELENA SAO JOSE DO RIO PRETO;;1;;1
2078872 HOSPITAL SANTA IGNES;;;3;3
2558246 HOSPITAL SANTA ISABEL;1;;;1
2079445 HOSPITAL SANTA ISABEL;234;241;91;566
2129566 HOSPITAL SANTA LUCIA HOSPITAL DO CORACAO;3;;;3
3005402 HOSPITAL SANTA LUZIA - BRASILIA - DF;;;1;1
7849184 HOSPITAL SANTA MARIA DE SUZANO;10;1;3;14
2089580 HOSPITAL SANTA PAULA;662;65;7;734
2604388 HOSPITAL SANTA ROSA;1;;;1
2083256 HOSPITAL SANTANA;24;6;2;32
2754843 HOSPITAL SANTO AMARO;2;1;;3
2303167 HOSPITAL SANTO ANTONIO DE ITAPEMA - ITAPEMA (SC);1;;;1
2795671 HOSPITAL SANTO ANTONIO - SINOP (MT);;1;;1
5654688 HOSPITAL SANTO EXPEDITO;;;2;2
3047822 HOSPITAL SAO BERNARDO;105;67;6;178
3027600 HOSPITAL SAO CAMILO IPIRANGA;215;181;149;545
2688565 HOSPITAL SAO CAMILO POMPEIA;1146;695;14;1855
3039420 HOSPITAL SAO CAMILO SANTANA;484;56;87;627
2308665 HOSPITAL SAO DOMINGOS (SAO LUIS - MARANHAO);1;;;1
2079275 HOSPITAL SAO FRANCISCO RIBEIRAO PRETO;1;;;1
3101126 HOSPITAL SAO FRANCISCO SC LTDA;6;2;2;10
2144298 HOSPITAL SAO JUDAS TADEU DE OLIVEIRA;1;;;1
5171946 HOSPITAL SAO LUCAS RIBEIRANIA (RIBEIRÇO PRETO);1;1;;2
2081261 HOSPITAL SAO LUIZ;1;;;1
9194258 HOSPITAL SAO LUIZ SAO CAETANO;353;2;32;387
2077485 HOSPITAL SAO PAULO HOSPITAL DE ENSINO DA UNIFESP SAO PAULO;1111;216;28;1355
0003808 HOSPITAL SAO RAFAEL;;2;;2
2562871 HOSPITAL SAO RAIMUNDO;1;;;1
2079313 HOSPITAL SAO ROQUE CABREUVA;1;;;1
2122677 HOSPITAL SAO SALVADOR - ALEM PARAIBA (MG);;1;;1
2487756 HOSPITAL SAO VICENTE DE PAULO;4;1;1;6
2081741 HOSPITAL SBC;31;;11;42
2819473 HOSPITAL SERRA MAYOR;33;;4;37
