estab_inter;cura;obito;obito_outros;ignorado;sem_info;total
2029189 PS MUN FREGUESIA DO O 21 DE JUNHO;163;80;1;;1;245
2077469 HOSP DOM ANTONIO DE ALVARENGA;153;76;1;3;1;234
2080796 HOSP MAT SAO CRISTOVAO;89;113;4;2;3;211
2082330 HOSPITAL NOSSA SENHORA DE FATIMA;185;23;1;1;;210
7174691 HOSPITAL SANCTA MAGGIORE ALTO DA MOOCA;113;94;;;1;208
3047822 HOSPITAL SAO BERNARDO;141;49;3;1;13;207
2792176 HOSPITAL GERAL DE ITAPECERICA DA SERRA;142;35;;19;4;200
2823209 HOSPITAL E PRONTO SOCORRO PORTINARI;138;58;;;1;197
9149511 HOSPITAL NEUROCENTER;154;43;;;;197
2752107 UPA SANTO AMARO DR JOSE SYLVIO DE CAMARGO;106;49;2;8;31;196
2079887 HOSPITAL CRUZEIRO DO SUL;146;47;2;1;;196
2680785 HOSP MAT ALVORADA STO AMARO;170;20;;1;3;194
3027600 HOSPITAL SAO CAMILO IPIRANGA;148;41;1;1;1;192
9971513 UPA ERMELINO MATARAZZO;136;35;2;;19;192
2078406 HOSP INDEPENDENCIA;173;11;;1;;185
9194258 HOSPITAL SAO LUIZ SAO CAETANO;161;5;1;3;4;174
3166597 HOSPITAL ADVENTISTA DE SAO PAULO;39;67;;5;62;173
2080494 HOSPITAL DA CRUZ VERMELHA BRASILEIRA DO ESTADO DE SAO;87;52;;;24;163
9620494 HOSPITAL SANTA ANA;84;52;;6;9;151
2081628 HOSPITAL CARLOS CHAGAS;141;10;;;;151
2084090 HOSPITAL BARTIRA;145;6;;;;151
2088517 HOSPITAL INFANTIL CANDIDO FONTOURA SAO PAULO;145;3;1;1;;150
2088576 HOSP DE TRANSPLANT DO EST DE SP EURYCLIDES DE JESUS ZERBINI;92;47;2;;3;144
3019012 HOSP DE CLINICAS J HELENA;115;24;;;;139
2079607 HOSPITAL E MATERNIDADE DR CHRISTOVAO DA GAMA;54;44;2;2;23;125
2080125 INST DO CANCER ARNALDO VIEIRA DE CARVALHO;42;57;24;;;123
6430120 BP MIRANTE;106;14;;;3;123
2798220 HOSPITAL PREVINA;75;34;1;;10;120
7174705 HOSPITAL SANCTA MAGGIORE ITAIM;65;49;1;;4;119
3027805 HSANP HOSPITAL;76;41;;;1;118
9255826 HOSPITAL E MATERNIDADE GUARULHOS;87;28;;;1;116
2801051 PRONTO SOCORRO CENTRAL DE DIADEMA;11;9;1;8;87;116
2075717 HOSP MUN MATERNIDADE PROFESSOR MARIO DEGNI;92;16;1;4;1;114
2079186 HOSP MUN MAT ESC DR MARIO DE MORAES A SILVA;103;3;;2;;108
0008052 HOSPITAL REGIONAL DR VIVALDO MARTINS SIMOES OSASCO;64;38;;;1;103
7644167 HOSPITAL MORIAH;96;3;;2;;101
7060165 HOSPITAL A C CAMARGO TAMANDARE;75;22;2;1;;100
