estab_internacao;sim;nao;ign;total
2080796 HOSP MAT SAO CRISTOVAO;31;1;30;62
2079542 HOSP MAT STA JOANA;3;;;3
2078589 HOSP MAT STA MARIA-CRUZ AZUL;563;195;13;771
3045625 HOSP MAT VIDAS;22;51;14;87
2077752 HOSP MONUMENTO CEHM;1;;;1
5420938 HOSP MUN CARMEN PRUDENTE;114;6;7;127
7473702 HOSP MUN DE MOGI DAS CRUZES PREF WALDEMAR COSTA FILHO;4;;;4
2084139 HOSP MUN DR BENEDICTO MONTENEGRO;59;39;27;125
2080346 HOSP MUN DR CARMINO CARICCHIO;17;;17;34
2084473 HOSP MUN DR IGNACIO PROENCA DE GOUVEA;49;6;36;91
2077450 HOSP MUN DR JOSE SOARES HUNGRIA;30;5;1;36
2786680 HOSP MUN FERNANDO MAURO PIRES DA ROCHA;44;9;10;63
7711980 HOSP MUN GILSON DE CASSIA MARQUES DE CARVALHO;199;;13;212
2078325 HOSP MUN INFANTIL MENINO JESUS;613;6;537;1156
2081970 HOSP MUN JABAQUARA ARTUR RIBEIRO DE SABOYA;10;4;;14
9465464 HOSP MUN JOSANIAS CASTANHA BRAGA;22;8;4;34
5718368 HOSP MUN M BOI MIRIM;620;256;11;887
2075717 HOSP MUN MATERNIDADE PROFESSOR MARIO DEGNI;3;1;7;11
2077639 HOSP MUN PROF DR WALDOMIRO DE PAULA;26;13;126;165
2082829 HOSP MUN PROFESSOR DOUTOR ALIPIO CORREA NETTO;15;30;17;62
2080583 HOSP MUN TIDE SETUBAL;615;24;482;1121
2080788 HOSP MUN V NHOCUNE ALEXANDRE ZAIO;185;49;1;235
3212130 HOSP MUN VER JOSE STOROPOLLI;136;84;13;233
2082861 HOSP MUNICIPAL DE URGENCIAS HMU;5;;1;6
2089599 HOSP NSRA DE LOURDES;85;1;105;191
2084376 HOSP PAULISTANO;85;30;3;118
2077604 HOSP PRESIDENTE;119;34;113;266
2080818 HOSP SAMARITANO;95;1;234;330
5907594 HOSP SAO LUIZ ANALIA FRANCO;29;2;1;32
2076896 HOSP SAO LUIZ GONZAGA;264;29;2;295
2688611 HOSP SAO LUIZUNIDADE I;43;2;192;237
2079127 HOSP SIRIO LIBANES;134;24;126;284
2688603 HOSP STA CATARINA;789;1168;171;2128
2082624 HOSP STA CRUZ;45;5;5;55
2078597 HOSP STA HELENA;15;10;;25
2084341 HOSP STA MAGGIORE;1;;1;2
2077477 HOSP STA MARCELINA SAO PAULO;172;146;132;450
2078457 HOSP STA VIRGINIA;6;16;3;25
7060165 HOSPITAL A C CAMARGO TAMANDARE;5;13;;18
3166597 HOSPITAL ADVENTISTA DE SAO PAULO;10;;19;29
2081865 HOSPITAL ALBERT SABIN ATIBAIA;2;;;2
2083191 HOSPITAL ALPHA MED CARAPICUIBA;;1;;1
2793466 HOSPITAL ALVORADA JACAREI - JACAREI (SP);;1;;1
2690764 HOSPITAL AMERICA;6;18;;24
2077388 HOSPITAL AMPARO MATERNAL;;10;1;11
2025760 HOSPITAL ANA COSTA DE SANTOS;;1;;1
2025361 HOSPITAL ANCHIETA;;1;;1
3024660 HOSPITAL ASSUNCAO;1;;6;7
2077507 HOSPITAL BANDEIRANTES;34;4;99;137
2084090 HOSPITAL BARTIRA;5;7;;12
2718324 HOSPITAL BOM CLIMA;3;;7;10
3309959 HOSPITAL BOSQUE DA SAUDE;113;6;27;146
2080575 HOSPITAL BP;191;130;17;338
2081628 HOSPITAL CARLOS CHAGAS;2;;26;28
2091801 HOSPITAL CENTRAL DE GUAIANASES;23;79;7;109
9065946 HOSPITAL COPA STAR - RIO DE JANEIRO (RJ);1;;;1
2079887 HOSPITAL CRUZEIRO DO SUL;4;5;1;10
2080168 HOSPITAL DA CRIANCA;155;;321;476
3367371 HOSPITAL DA LUZ;13;;4;17
9335951 HOSPITAL DAS ACACIAS - SANTO ANDRE (SP);3;;;3
2748223 HOSPITAL DAS CLINICAS DA FACULDADE DE MEDICINA DE BOTUCATU;2;;;2
2079798 HOSPITAL DAS CLINICAS DA UNICAMP DE CAMPINAS;;2;;2
2077396 HOSPITAL DE BASE DE SAO JOSE DO RIO PRETO;2;;;2
6817203 HOSPITAL DE CLINICAS CAIEIRAS;;1;;1
2765934 HOSPITAL DE CLINICAS DE SAO SEBASTIAO;;1;;1
2146355 HOSPITAL DE CLINICAS DE UBERLANDIA;;1;;1
2082349 HOSPITAL DE CLINICAS DR RADAMES NARDINI;1;1;;2
7373465 HOSPITAL DE CLINICAS MUNICIPAL;;1;;1
6998194 HOSPITAL DIA DA REDE HORA CERTA LAPA;11;8;3;22
7992890 HOSPITAL DIA REDE HORA CERTA DA CAPELA DO SOCORRO;10;14;;24
2081288 HOSPITAL DO CORACAO;96;;15;111
3119289 HOSPITAL DO CORACAO;;1;;1
7758391 HOSPITAL DO CORACAO UNIDADE BELA SUICA - LONDRINA (PR);;1;;1
2089785 HOSPITAL DO RIM E HIPERTENSAO;10;2;1;13
2080079 HOSPITAL DR OSIRIS FLORINDO COELHO FERRAZ DE VASCONCELOS;1;1;;2
2789590 HOSPITAL E MATERNIDADE BRASIL;46;12;;58
2082128 HOSPITAL E MATERNIDADE CELSO PIERRO;2;;1;3
2080613 HOSPITAL E MATERNIDADE CENTRAL SAO CAETANO DE SUL;5;;15;20
5515483 HOSPITAL E MATERNIDADE GALILEO;;1;;1
9255826 HOSPITAL E MATERNIDADE GUARULHOS;53;43;4;100
6938876 HOSPITAL E MATERNIDADE INTERMEDICA ABC;34;24;1;59
2078678 HOSPITAL E MATERNIDADE MADRE THEODORA;;1;;1
2522691 HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN;;3;1;4
2078082 HOSPITAL E MATERNIDADE METROPOLITANO;54;;34;88
2072513 HOSPITAL E MATERNIDADE MUNICIPAL SANTA ANA;;1;;1
2069776 HOSPITAL E PRONTO SOCORRO CENTRAL;1;5;;6
2823209 HOSPITAL E PRONTO SOCORRO PORTINARI;8;5;;13
2181770 HOSPITAL EDUARDO DE MENEZES;1;1;;2
2096196 HOSPITAL ENF ANTONIO POLICARPO DE OLIVEIRA;6;3;;9
2089335 HOSPITAL ESCOLA EMILIO CARLOS - CATANDUVA (SP);1;;;1
0106526 HOSPITAL ESPANHOL - SALVADOR (BA);1;;;1
2355906 HOSPITAL ESPERANCA SA - RECIFE (PE);;;1;1
2084163 HOSPITAL ESTADUAL DE DIADEMA HOSPITAL SERRARIA;2;;1;3
2091585 HOSPITAL ESTADUAL DE SAPOPEMBA SAO PAULO;61;13;61;135
2077426 HOSPITAL ESTADUAL DE VILA ALPINA ORG SOCIAL SECONCI SAO PAUL;290;;203;493
8015899 HOSPITAL ESTADUAL DIRCEU ARCOVERDE;;;1;1
6878687 HOSPITAL ESTADUAL DR ALBANO DA FRANCA ROCHA SOBRINHO;1;;;1
2080273 HOSPITAL ESTADUAL MARIO COVAS DE SANTO ANDRE;1;2;;3
2708558 HOSPITAL EVANGELICO DE SOROCABA - SOROCABA (SP);1;;;1
2792168 HOSPITAL GERAL DE CARAPICUIBA;;;2;2
2080338 HOSPITAL GERAL DE GUARULHOS PROF DR WALDEMAR DE CARVALHO;6;;2;8
2603055 HOSPITAL GERAL DE IPIAU;;1;;1
2792176 HOSPITAL GERAL DE ITAPECERICA DA SERRA;6;1;4;11
2078562 HOSPITAL GERAL DE ITAQUAQUECETUBA;3;;;3
2066092 HOSPITAL GERAL DE PEDREIRA;75;101;20;196
2077493 HOSPITAL GERAL DE SAO MATEUS SAO PAULO;107;70;1;178
2688573 HOSPITAL GERAL DE VILA NOVA CACHOEIRINHA SAO PAULO;44;;37;81
2091755 HOSPITAL GERAL DE VILA PENTEADO DR JOSE PANGELLA SAO PAULO;14;10;1;25
2402076 HOSPITAL GERAL DE VITORIA DA CONQUISTA;2;;;2
2077671 HOSPITAL GERAL DO GRAJAU PROF LIBER JOHN ALPHONSE DI DIO SP;618;214;;832
2079240 HOSPITAL GERAL JESUS TEIXEIRA DA COSTA GUAIANASES SAO PAULO;51;76;2;129
2079828 HOSPITAL GERAL PIRAJUSSARA TABOAO DA SERRA;2;;;2
2077620 HOSPITAL GERAL SANTA MARCELINA DE ITAIM PAULISTA SAO PAULO;48;5;;53
2688581 HOSPITAL GERIATRICO E DE CONVALESCENTES D PEDRO II;1;;;1
2089696 HOSPITAL GRAACC INSTITUTO DE ONCOLOGIA PEDIATRICA IOP;3;1;2;6
7894260 HOSPITAL GUARUJA - GUARUJA - SP;1;;;1
2079720 HOSPITAL GUILHERME ALVARO SANTOS;1;1;2;4
2066572 HOSPITAL HELIOPOLIS UNIDADE DE GESTAO ASSISTENCIAL I SP;5;18;25;48
2084333 HOSPITAL IGESP;43;;160;203
2097613 HOSPITAL INFANTE D HENRIQUE;1;;;1
2088517 HOSPITAL INFANTIL CANDIDO FONTOURA SAO PAULO;507;50;1;558
2071371 HOSPITAL INFANTIL DARCY VARGAS UGA III SAO PAULO;1;;;1
6614426 HOSPITAL INFANTIL SABARA;84;11;2;97
2784882 HOSPITAL IPIRANGA DE MOGI DAS CRUZES;3;5;;8
2058391 HOSPITAL ISRAELITA ALBERT EINSTEIN;606;28;19;653
2082225 HOSPITAL KATIA DE SOUZA RODRIGUES TAIPASSP SAO PAULO;29;22;6;57
6283993 HOSPITAL LEFORTE;12;1;92;105
2079011 HOSPITAL LEITO IRMA ANETTE MARLENE FERNANDES DE MELLO;1;;1;2
0008036 HOSPITAL MATERNIDADE AMADOR AGUIAR;;2;;2
0010537 HOSPITAL MATERNO INFANTIL DE BRASILIA HMIB;1;1;1;3
2192896 HOSPITAL METROPOLITANO ODILON BHERENS HOB;;1;;1
2591049 HOSPITAL MINISTRO COSTA CAVALCANTI;;1;;1
7644167 HOSPITAL MORIAH;3;1;;4
0008028 HOSPITAL MUNICIPAL ANTONIO GIGLIO;29;2;;31
0102075 HOSPITAL MUNICIPAL BELA VISTA;51;49;8;108
0102105 HOSPITAL MUNICIPAL BRASILANDIA;85;28;132;245
2080427 HOSPITAL MUNICIPAL DA CRIANCA E DO ADOLESCENTE HMCA;13;22;12;47
6095666 HOSPITAL MUNICIPAL DE BARUERI DR FRANCISCO MORAN;2;;;2
2080028 HOSPITAL MUNICIPAL DE DIADEMA HMD;5;3;7;15
5935857 HOSPITAL MUNICIPAL DE EMERGENCIAS ALBERT SABIN;43;;27;70
2193310 HOSPITAL MUNICIPAL DE IPATINGA;;1;;1
2081091 HOSPITAL MUNICIPAL DE ITAPIRA;2;;;2
2081059 HOSPITAL MUNICIPAL DE PAULINIA;;1;;1
3021378 HOSPITAL MUNICIPAL DE SAO VICENTE;;1;;1
2081490 HOSPITAL MUNICIPAL DR MARIO GATTI CAMPINAS;1;1;;2
2747871 HOSPITAL MUNICIPAL GOV MARIO COVAS JR;1;;;1
0161438 HOSPITAL MUNICIPAL GUARAPIRANGA;308;48;24;380
5200105 HOSPITAL MUNICIPAL PIMENTAS BONSUCESSO MANUEL DE PAIVA;19;1;69;89
2023474 HOSPITAL MUNICIPAL WALTER FERRARI;;1;;1
5158044 HOSPITAL NAVAL MARCILIO DIAS;1;;;1
9149511 HOSPITAL NEUROCENTER;;2;;2
2083248 HOSPITAL NEXT SAO BERNARDO;6;5;;11
2089777 HOSPITAL NIPO BRASILEIRO;47;1;145;193
2082330 HOSPITAL NOSSA SENHORA DE FATIMA;35;;136;171
9768688 HOSPITAL NOVA NEOMATER;7;1;2;10
2078228 HOSPITAL NOVO ATIBAIA;2;2;;4
9744665 HOSPITAL ORION - GOIANIA - GO;;;1;1
2691493 HOSPITAL OSVALDO CRUZ - ARABUTA (SC);;;1;1
2076950 HOSPITAL OSWALDO CRUZ;319;9;81;409
7898843 HOSPITAL PANAMERICANO - RIO DE JANEIRO - RJ;;1;;1
2798220 HOSPITAL PREVINA;1;;;1
6414702 HOSPITAL REGIONAL DE SANTO ANTONIO DE JESUS;;;1;1
2091313 HOSPITAL REGIONAL SUL SAO PAULO;38;93;14;145
9490604 HOSPITAL SAGRADA FAMILIA;3;;14;17
9554157 HOSPITAL SALVALUS;187;95;27;309
2078732 HOSPITAL SAMARITANO DE SOROCABA;2;;1;3
9684948 HOSPITAL SAMARITANO PAULISTA;24;2;38;64
7174691 HOSPITAL SANCTA MAGGIORE ALTO DA MOOCA;35;;90;125
9131434 HOSPITAL SANCTA MAGGIORE HIGIENOPOLIS;1;1;129;131
7174705 HOSPITAL SANCTA MAGGIORE ITAIM;7;;99;106
6618332 HOSPITAL SANCTA MAGGIORE LIBERDADE;1;;;1
7174713 HOSPITAL SANCTA MAGGIORE MOOCA;17;;70;87
7174721 HOSPITAL SANCTA MAGGIORE PARAISO;220;3;568;791
7357079 HOSPITAL SANCTA MAGGIORE PINHEIROS;43;1;116;160
7435568 HOSPITAL SANCTA MAGGIORE SAO BERNARDO;1;;;1
9620494 HOSPITAL SANTA ANA;17;;37;54
2149990 HOSPITAL SANTA CASA DE MONTES CLAROS;;1;;1
7676484 HOSPITAL SANTA CLARA;102;7;207;316
3000869 HOSPITAL SANTA CRUZ;1;;;1
3019608 HOSPITAL SANTA HELENA;;1;;1
3528596 HOSPITAL SANTA HELENA;21;1;;22
2081539 HOSPITAL SANTA HELENA ASSISTENCIA MEDICA SB DO CAMPO;1;2;;3
2079445 HOSPITAL SANTA ISABEL;39;34;49;122
7849184 HOSPITAL SANTA MARIA DE SUZANO;;;5;5
2089580 HOSPITAL SANTA PAULA;54;19;;73
2083256 HOSPITAL SANTANA;1;2;;3
2754843 HOSPITAL SANTO AMARO;3;;;3
3047822 HOSPITAL SAO BERNARDO;4;25;;29
3027600 HOSPITAL SAO CAMILO IPIRANGA;35;2;24;61
2688565 HOSPITAL SAO CAMILO POMPEIA;92;28;2;122
3039420 HOSPITAL SAO CAMILO SANTANA;119;64;44;227
2078740 HOSPITAL SAO LUCAS DE SANTOS;1;;;1
5171946 HOSPITAL SAO LUCAS RIBEIRANIA (RIBEIRÇO PRETO);1;;;1
9194258 HOSPITAL SAO LUIZ SAO CAETANO;127;;19;146
2077485 HOSPITAL SAO PAULO HOSPITAL DE ENSINO DA UNIFESP SAO PAULO;144;27;2;173
0003808 HOSPITAL SAO RAFAEL;2;2;;4
2081741 HOSPITAL SBC;9;;5;14
2819473 HOSPITAL SERRA MAYOR;1;;;1
5101654 HOSPITAL SINO BRASILEIRO;12;3;;15
3018903 HOSPITAL UNIMED;;;1;1
2708566 HOSPITAL UNIMED DE SOROCABA DR MIGUEL VILLA NOVA SOEIRO;1;2;;3
2080699 HOSPITAL UNIMED PIRACICABA;;;1;1
2076926 HOSPITAL UNIVERSITARIO DA USP SAO PAULO;49;6;9;64
5860490 HOSPITAL UNIVERSITARIO DE MARILIA;1;;;1
2587335 HOSPITAL UNIVERSITARIO REGIONAL DE MARINGA;1;;;1
2078376 HOSPITAL VERA CRUZ;2;;;2
9735372 HOSPITAL VILA NOVA STAR;97;1;1;99
5590450 HOSPITAL VILLA LOBOS;45;46;89;180
6668143 HOSPITAL VITORIA;286;;10;296
3507157 HOSPITAL VIVALLE;;1;1;2
3272591 HOSPITALIS;1;2;;3
2077590 IBCC;14;4;1;19
7261012 INNOVA HOSPITAIS ASSOCIADOS LTDA;1;;8;9
7544529 INST DE INFECT EMILIO RIBAS II BAIXADA SANTISTA;;2;;2
2080125 INST DO CANCER ARNALDO VIEIRA DE CARVALHO;49;1;7;57
0005428 INSTITUTO COUTO MAIA;;1;;1
2088495 INSTITUTO DANTE PAZZANESE DE CARDIOLOGIA IDPC SAO PAULO;22;;1;23
2028840 INSTITUTO DE INFECTOLOGIA EMILIO RIBAS SAO PAULO;73;12;12;97
2078066 INTERMEDICA HPS HOSPITAL PAULO SACRAMENTO;4;;;4
2084368 INTERMEDICA SISTEMA DE SAUDE;11;3;3;17
9459413 INTERMEDICA SISTEMA DE SAUDE - SANTO ANDRE (SP);1;;;1
2040727 PA MUN DR ATUALPA GIRAO RABELO;1;;;1
2073552 PRONTO ATENDIMENTO JARDIM PARAISO;1;;;1
7931670 PRONTO ATENDIMENTO SANCTA MAGGIORE JARDIM PAULISTA;6;;7;13
9095195 PRONTO ATENDIMENTO SANCTA MAGGIORE MORUMBI;2;1;4;7
9472908 PRONTO ATENDIMENTO SANCTA MAGGIORE SANTANA;7;;32;39
6654665 PRONTO ATENDIMENTO SANCTA MAGGIORE TATUAPE;4;;16;20
2801051 PRONTO SOCORRO CENTRAL DE DIADEMA;39;25;16;80
2024373 PRONTO SOCORRO MUNICIPAL JOSE AGOSTINHO DOS SANTOS;2;;1;3
2082209 PS E MATERNIDADE NAIR FONSECA LEITAO ARANTES;1;;;1
5932696 PS FENELON GUEDES PEREIRA;1;;;1
7682581 PS JOSE IBRAHIN;5;1;;6
2037971 PS MUN AUGUSTO GOMES DE MATOS;1;;;1
4050320 PS MUN DR ALVARO DINO DE ALMEIDA;9;2;17;28
2027100 PS MUN DR CAETANO VIRGILIO NETTO;35;16;8;59
2029189 PS MUN FREGUESIA DO O 21 DE JUNHO;6;2;;8
2082837 PS MUN PROF JOAO CATARIN MEZOMO;2;1;;3
2071495 PS MUN SANTANA LAURO RIBAS BRAGA;47;11;11;69
2075407 PS MUN V MARIA BAIXA;10;;3;13
6024688 PSI PRONTO SOCORRO INFANTIL DE TABOAO DA SERRA;13;11;1;25
4050282 PSM DONA MARIA ANTONIETA FERREIRA DE BARROS;1;;;1
3580822 REDE DOR SAO LUIZ S A;1;1;1;3
2078775 SANTA CASA DE ARACATUBA HOSP SAGRADO CORACAO DE JESUS - ARACATUBA (SP);;;1;1
2083116 SANTA CASA DE MARILIA;1;;;1
2751747 SANTA CASA DE MAUA;2;5;;7
2688433 SANTA CASA DE MISERICORDIA DE BRAGANCA PAULISTA;;1;;1
2096412 SANTA CASA DE MISERICORDIA DE JACAREI;;;1;1
3223728 SANTA CASA DE MISERICORDIA DE SAO BERNARDO DO CAMPO - SBC (SP);;1;;1
2798298 SANTA CASA DE MISERICORDIA DE SAO JOSE DO RIO PRETO;1;1;;2
2129469 SANTA CASA DE POCOS DE CALDAS - POCOS DE CALDAS (MG);;1;;1
2688689 SANTA CASA DE SAO PAULO HOSPITAL CENTRAL SAO PAULO;95;43;89;227
2699915 SANTA CASA DE VINHEDO;1;;;1
2080532 SANTA CASA HOSP DR ARISTOTELES OLIVEIRA MARTINS PRES PRUDENT;;1;;1
3824802 SAO LUIZ UNIDADE MORUMBI;443;162;64;669
2077523 UNIDADE DE GESTAO ASSISTENCIAL II HOSPITAL IPIRANGA SP;91;4;1;96
7184689 UNIDADE DE PRONTO ATENDIMENTO CENTRAL DE CARAGUATATUBA;1;;;1
2706245 UNIDADE DE PRONTO ATENDIMENTO DE FRANCO DA ROCHA UPA II;1;;;1
7868499 UNIDADE DE PRONTO ATENDIMENTO DRA ZILDA ARNS;1;;;1
0008494 UPA BANGU;5;1;;6
2639548 UPA CAMPO COMPRIDO;1;;;1
9400109 UPA CUMBICA;2;2;;4
7429991 UPA DR AKIRA TADA;9;5;4;18
9971513 UPA ERMELINO MATARAZZO;60;12;3;75
9051422 UPA III 26 DE AGOSTO;21;15;6;42
7479387 UPA III NOVA CAMPO LIMPO;477;2;110;589
9997091 UPA JACANA;52;25;5;82
2069032 UPA JULIO TUPY;58;25;3;86
6950051 UPA MAGINI CENTRO;;1;;1
6821197 UPA PAULICEIA TABOAO;1;;;1
4050169 UPA PERUS DR LUIZ ANTONIO DE ABREU SAMPAIO DORIA;45;1;71;117
6146341 UPA PIRITUBA;12;5;1;18
7548311 UPA POCOS DE CALDAS;1;;;1
7030878 UPA RUDGE RAMOS;;1;;1
7102429 UPA SANTA LUZIA;1;;;1
6916074 UPA SAO JOAO LAVRAS;1;1;;2
7169310 UPA SILVINA;1;;;1
9736700 UPA TITO LOPES;2;;;2
6919456 UPA ZAIRA;1;;;1
