COVID19 Síndrome Respiratória Aguda Grave (SRAG)
Nº de Casos por Estab de Internação e Suporte ventilatório
Período:2021
"Estab de Internação";"Em branco";"Sim, invasivo";"Sim, não invasivo";"Não";"Ignorado";"Total"
"2089238 HOSP ALVORADA";20;149;1166;415;-;1750
"2078481 HOSP AVICCENA";21;30;203;370;-;624
"2078600 HOSP DA AERONAUTICA DE SPHASP";1;5;24;8;2;40
"2075962 HOSP DA STA CASA DE STO AMARO";5;52;203;52;2;314
"3019012 HOSP DE CLINICAS J HELENA";8;9;36;19;2;74
"2088576 HOSP DE TRANSPLANT DO EST DE SP EURYCLIDES DE JESUS ZERBINI";3;27;62;40;-;132
"2058502 HOSP DO SERV PUB EST FCO MORATO DE OLIVEIRA SAO PAULO";54;154;1615;21;-;1844
"2752077 HOSP DO SERV PUB MUNICIPAL HSPM";72;154;322;66;-;614
"2077469 HOSP DOM ANTONIO DE ALVARENGA";6;24;125;51;1;207
"2080230 HOSP E MAT MENINO JESUS";-;-;1;-;-;1
"3585409 HOSP E MAT STO EXPEDITO";1;-;7;-;-;8
"2089610 HOSP EDMUNDO VASCONCELOS";2;16;9;2;-;29
"2078007 HOSP GERAL DE SAO PAULO";36;2;1;1;-;40
"2089653 HOSP IGUATEMI";11;88;450;31;-;580
"2078406 HOSP INDEPENDENCIA";9;6;51;79;1;146
"2680785 HOSP MAT ALVORADA STO AMARO";-;4;35;12;-;51
"2089602 HOSP MAT DO SEPACO";2;53;98;223;1;377
"2080796 HOSP MAT SAO CRISTOVAO";12;62;19;4;1;98
"2079542 HOSP MAT STA JOANA";-;15;26;1;-;42
"2078589 HOSP MAT STA MARIA-CRUZ AZUL";1;256;940;373;90;1660
"2080257 HOSP MAT STA MARINA";-;1;-;-;-;1
"3045625 HOSP MAT VIDAS";10;65;259;101;10;445
"2077752 HOSP MONUMENTO CEHM";-;1;-;1;-;2
"5420938 HOSP MUN CARMEN PRUDENTE";38;128;913;313;14;1406
"7473702 HOSP MUN DE MOGI DAS CRUZES PREF WALDEMAR COSTA FILHO";1;7;63;5;-;76
"2084139 HOSP MUN DR BENEDICTO MONTENEGRO";20;83;427;76;5;611
"2080346 HOSP MUN DR CARMINO CARICCHIO";4;62;85;38;1;190
"2084473 HOSP MUN DR IGNACIO PROENCA DE GOUVEA";22;173;646;107;6;954
"2077450 HOSP MUN DR JOSE SOARES HUNGRIA";27;249;260;94;43;673
"2786680 HOSP MUN FERNANDO MAURO PIRES DA ROCHA";13;73;129;19;1;235
"7711980 HOSP MUN GILSON DE CASSIA MARQUES DE CARVALHO";1;121;171;29;2;324
"2078325 HOSP MUN INFANTIL MENINO JESUS";1;3;10;8;-;22
"2081970 HOSP MUN JABAQUARA ARTUR RIBEIRO DE SABOYA";45;50;108;75;76;354
"9465464 HOSP MUN JOSANIAS CASTANHA BRAGA";38;627;1222;303;18;2208
"5718368 HOSP MUN M BOI MIRIM";23;378;2000;193;-;2594
"2079186 HOSP MUN MAT ESC DR MARIO DE MORAES A SILVA";4;8;43;136;1;192
"2075717 HOSP MUN MATERNIDADE PROFESSOR MARIO DEGNI";5;22;49;36;20;132
"2077639 HOSP MUN PROF DR WALDOMIRO DE PAULA";266;205;552;28;10;1061
"2082829 HOSP MUN PROFESSOR DOUTOR ALIPIO CORREA NETTO";2;48;17;4;-;71
"2080583 HOSP MUN TIDE SETUBAL";496;864;1394;107;11;2872
"2080788 HOSP MUN V NHOCUNE ALEXANDRE ZAIO";3;35;487;18;-;543
"3212130 HOSP MUN VER JOSE STOROPOLLI";17;293;687;124;20;1141
"2082861 HOSP MUNICIPAL DE URGENCIAS HMU";8;1;4;2;1;16
"2089599 HOSP NSRA DE LOURDES";33;35;277;431;23;799
"2084376 HOSP PAULISTANO";13;23;63;98;2;199
"2077604 HOSP PRESIDENTE";39;19;226;111;20;415
"2080818 HOSP SAMARITANO";25;159;443;386;-;1013
"5907594 HOSP SAO LUIZ ANALIA FRANCO";2;180;269;62;2;515
"2076896 HOSP SAO LUIZ GONZAGA";51;112;267;250;45;725
"2688611 HOSP SAO LUIZUNIDADE I";199;44;180;402;19;844
"2079127 HOSP SIRIO LIBANES";153;133;670;525;3;1484
"2688603 HOSP STA CATARINA";162;81;607;1037;176;2063
"2082624 HOSP STA CRUZ";5;99;349;60;-;513
"2078597 HOSP STA HELENA";38;13;171;35;-;257
"2084341 HOSP STA MAGGIORE";-;3;5;-;-;8
"2077477 HOSP STA MARCELINA SAO PAULO";330;346;1739;1033;17;3465
"2082535 HOSP STA RITA";-;1;1;-;-;2
"2078457 HOSP STA VIRGINIA";7;11;70;136;35;259
"7755333 HOSPITAL 10 DE JULHO";-;1;-;1;-;2
"7060165 HOSPITAL A C CAMARGO TAMANDARE";-;2;8;6;-;16
"6832725 HOSPITAL ABC UNIDADE AVANCADA PRESTES MAIA";-;-;2;-;-;2
"3166597 HOSPITAL ADVENTISTA DE SAO PAULO";17;77;225;40;2;361
"2081865 HOSPITAL ALBERT SABIN ATIBAIA";-;-;1;-;-;1
"2389746 HOSPITAL ALIANCA";-;-;2;1;-;3
"2083191 HOSPITAL ALPHA MED CARAPICUIBA";1;1;-;1;1;4
"2793466 HOSPITAL ALVORADA JACAREI - JACAREI (SP)";-;1;-;1;-;2
"2690764 HOSPITAL AMERICA";1;3;9;36;1;50
"2077388 HOSPITAL AMPARO MATERNAL";-;-;3;12;-;15
"2025760 HOSPITAL ANA COSTA DE SANTOS";1;-;-;1;4;6
"2241153 HOSPITAL ARCANJO SAO MIGUEL";-;-;2;-;-;2
"3024660 HOSPITAL ASSUNCAO";1;1;25;2;-;29
"2097117 HOSPITAL AUSTA SAO JOSE DO RIO PRETO";-;-;1;-;-;1
"2077507 HOSPITAL BANDEIRANTES";324;44;271;130;1;770
"2084090 HOSPITAL BARTIRA";5;40;57;74;17;193
"3003361 HOSPITAL BENEFICENCIA PORTUGUESA DE BAURU";-;-;1;-;-;1
"2718324 HOSPITAL BOM CLIMA";54;2;10;9;-;75
"3309959 HOSPITAL BOSQUE DA SAUDE";51;43;520;55;34;703
"2080575 HOSPITAL BP";25;139;677;289;3;1133
"2081628 HOSPITAL CARLOS CHAGAS";14;2;65;108;-;189
"2091801 HOSPITAL CENTRAL DE GUAIANASES";2;11;44;156;-;213
"9065946 HOSPITAL COPA STAR - RIO DE JANEIRO (RJ)";-;-;-;2;-;2
"2078988 HOSPITAL CORACAO DE JESUS";-;-;-;-;1;1
"2079887 HOSPITAL CRUZEIRO DO SUL";1;15;163;14;-;193
"2080168 HOSPITAL DA CRIANCA";24;8;78;307;7;424
"2080494 HOSPITAL DA CRUZ VERMELHA BRASILEIRA DO ESTADO DE SAO";32;38;87;6;-;163
"3367371 HOSPITAL DA LUZ";4;59;247;49;-;359
"6020917 HOSPITAL DA MULHER MARIA JOSE DOS SANTOS STEIN";-;-;-;1;-;1
"6451098 HOSPITAL DALILA FERREIRA BARBOSA - ARUJA (SP)";-;1;3;1;-;5
"9335951 HOSPITAL DAS ACACIAS - SANTO ANDRE (SP)";1;3;3;-;1;8
"2127989 HOSPITAL DAS CLIN SAMUEL LIBANIO POUSO ALEGRE";-;2;7;-;-;9
"2748223 HOSPITAL DAS CLINICAS DA FACULDADE DE MEDICINA DE BOTUCATU";-;1;1;-;-;2
"2079798 HOSPITAL DAS CLINICAS DA UNICAMP DE CAMPINAS";-;1;1;-;1;3
"2535556 HOSPITAL DAS CLINICAS DR SERAFIM DE CARVALHO";-;-;-;1;-;1
"2080680 HOSPITAL DAS CLINICAS LUZIA DE PINHO MELO MOGI DAS CRUZES";2;4;11;11;1;29
"2077396 HOSPITAL DE BASE DE SAO JOSE DO RIO PRETO";-;2;4;1;-;7
"2819279 HOSPITAL DE BOA VIAGEM - RECIFE (PE)";2;-;-;-;-;2
"0115509 HOSPITAL DE CAMPANHA COVID 19 DE MAIRIPORA - MAIRIPORA - SP";1;2;12;-;-;15
"0127604 HOSPITAL DE CAMPANHA COVID 19 JARDIM PAULISTA - BARUERI (SP)";3;-;2;-;-;5
"0105597 HOSPITAL DE CAMPANHA COVID 19 OSASCO - OSASCO - SP";-;-;37;1;-;38
"0102083 HOSPITAL DE CAMPANHA COVID 19 SMS SP ANHEMBI P 38";-;-;-;1;-;1
"0112062 HOSPITAL DE CAMPANHA RIBEIRAO PIRES - RIBEIRAO PIRES - SP";-;-;2;2;-;4
"6817203 HOSPITAL DE CLINICAS CAIEIRAS";-;6;5;-;-;11
"2087219 HOSPITAL DE CLINICAS CAMPO LIMPO PAULISTA";-;-;1;-;-;1
"2206595 HOSPITAL DE CLINICAS DA UFTM";-;-;2;-;-;2
"2765934 HOSPITAL DE CLINICAS DE SAO SEBASTIAO";-;-;1;1;-;2
"2082349 HOSPITAL DE CLINICAS DR RADAMES NARDINI";2;3;8;5;-;18
"3014681 HOSPITAL DE CLINICAS MARIO LIONI - DUQUE DE CAXIAS (RJ)";-;-;1;-;-;1
"7373465 HOSPITAL DE CLINICAS MUNICIPAL";-;2;-;1;2;5
"0019305 HOSPITAL DE FLORIANOPOLIS";-;-;1;-;-;1
"2751925 HOSPITAL DIA CIDADE ADEMAR";-;-;8;2;1;11
"6998194 HOSPITAL DIA DA REDE HORA CERTA LAPA";1;1;6;-;-;8
"2091658 HOSPITAL DIA DA REDE HORA CERTA M BOI MIRIM I";-;-;1;-;-;1
"7378394 HOSPITAL DIA DA REDE HORA CERTA M BOI MIRIM II";-;-;5;1;-;6
"6135749 HOSPITAL DIA DA REDE HORA CERTA MOOCA";-;-;23;6;1;30
"2751976 HOSPITAL DIA DA REDE HORA CERTA SAO MIGUEL TITO LOPES";1;-;2;-;-;3
"7979649 HOSPITAL DIA DA REDE HORA CERTA VILA GUILHERME VILA MARIA";-;-;9;-;-;9
"7992890 HOSPITAL DIA REDE HORA CERTA DA CAPELA DO SOCORRO";8;162;1391;169;1;1731
"2081288 HOSPITAL DO CORACAO";127;2;4;23;83;239
"3119289 HOSPITAL DO CORACAO";2;-;-;-;-;2
"2758083 HOSPITAL DO CORACAO DE LONDRINA - LONDRINA - PR";-;-;1;1;-;2
"7758391 HOSPITAL DO CORACAO UNIDADE BELA SUICA - LONDRINA (PR)";-;-;2;-;-;2
"2089785 HOSPITAL DO RIM E HIPERTENSAO";2;9;3;5;-;19
"0013846 HOSPITAL DO ROCIO - CAMPO LARGO - PR";-;1;-;-;-;1
"2087057 HOSPITAL DOS FORNECEDORES DE CANA DE PIRACICABA";2;-;1;1;-;4
"2080079 HOSPITAL DR OSIRIS FLORINDO COELHO FERRAZ DE VASCONCELOS";3;3;6;2;-;14
"2080133 HOSPITAL E MATERNIDADE BENEFICENCIA PORTUGUESA";-;8;1;2;-;11
"2789590 HOSPITAL E MATERNIDADE BRASIL";5;13;86;53;13;170
"2082128 HOSPITAL E MATERNIDADE CELSO PIERRO";-;2;1;-;-;3
"2080613 HOSPITAL E MATERNIDADE CENTRAL SAO CAETANO DE SUL";38;9;45;22;1;115
"2079607 HOSPITAL E MATERNIDADE DR CHRISTOVAO DA GAMA";4;19;22;2;1;48
"5515483 HOSPITAL E MATERNIDADE GALILEO";-;-;3;-;-;3
"9255826 HOSPITAL E MATERNIDADE GUARULHOS";17;37;55;8;-;117
"6938876 HOSPITAL E MATERNIDADE INTERMEDICA ABC";6;48;765;67;6;892
"2078678 HOSPITAL E MATERNIDADE MADRE THEODORA";-;-;3;2;-;5
"2522691 HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN";2;-;-;-;-;2
"2078082 HOSPITAL E MATERNIDADE METROPOLITANO";14;87;100;4;-;205
"2072513 HOSPITAL E MATERNIDADE MUNICIPAL SANTA ANA";1;1;1;-;-;3
"2746387 HOSPITAL E MATERNIDADE NOVA VIDA";2;8;27;1;-;38
"2080753 HOSPITAL E MATERNIDADE SAO JOAQUIM - FRANCA (SP)";-;-;1;-;-;1
"2069776 HOSPITAL E PRONTO SOCORRO CENTRAL";1;6;35;10;6;58
"2495015 HOSPITAL E PRONTO SOCORRO MUNICIPAL DE CUIABA";-;-;1;-;-;1
"2823209 HOSPITAL E PRONTO SOCORRO PORTINARI";9;73;146;34;17;279
"2181770 HOSPITAL EDUARDO DE MENEZES";-;-;1;-;-;1
"2096196 HOSPITAL ENF ANTONIO POLICARPO DE OLIVEIRA";-;6;43;10;-;59
"2208857 HOSPITAL ESCOLA AISI ITAJUBA";-;1;-;-;-;1
"2089335 HOSPITAL ESCOLA EMILIO CARLOS - CATANDUVA (SP)";-;1;-;1;-;2
"0127876 HOSPITAL ESTADUAL DE CAMPANHA COVID 19 BARRADAS";-;34;106;-;-;140
"2084163 HOSPITAL ESTADUAL DE DIADEMA HOSPITAL SERRARIA";5;15;27;23;7;77
"2091585 HOSPITAL ESTADUAL DE SAPOPEMBA SAO PAULO";143;51;151;40;2;387
"2077426 HOSPITAL ESTADUAL DE VILA ALPINA ORG SOCIAL SECONCI SAO PAUL";202;326;601;504;-;1633
"6878687 HOSPITAL ESTADUAL DR ALBANO DA FRANCA ROCHA SOBRINHO";-;-;3;-;-;3
"7257406 HOSPITAL ESTADUAL DR JAYME SANTOS NEVES - SERRA (ES)";-;-;-;1;-;1
"2080273 HOSPITAL ESTADUAL MARIO COVAS DE SANTO ANDRE";-;9;16;-;3;28
"3028399 HOSPITAL ESTADUAL PROF CARLOS DA SILVA LACAZ FCO MORATO";-;4;2;-;-;6
"2081636 HOSPITAL FREI GALVAO - SANTOS (SP)";-;1;1;-;3;5
"2792168 HOSPITAL GERAL DE CARAPICUIBA";3;-;2;-;-;5
"2080338 HOSPITAL GERAL DE GUARULHOS PROF DR WALDEMAR DE CARVALHO";4;7;34;7;-;52
"2792176 HOSPITAL GERAL DE ITAPECERICA DA SERRA";6;15;93;21;-;135
"2078104 HOSPITAL GERAL DE ITAPEVI";-;2;1;-;-;3
"2078562 HOSPITAL GERAL DE ITAQUAQUECETUBA";-;1;7;-;-;8
"2066092 HOSPITAL GERAL DE PEDREIRA";18;158;1067;427;5;1675
"2077493 HOSPITAL GERAL DE SAO MATEUS SAO PAULO";16;173;482;219;55;945
"2688573 HOSPITAL GERAL DE VILA NOVA CACHOEIRINHA SAO PAULO";56;89;386;272;18;821
"2091755 HOSPITAL GERAL DE VILA PENTEADO DR JOSE PANGELLA SAO PAULO";6;194;694;61;4;959
"2402076 HOSPITAL GERAL DE VITORIA DA CONQUISTA";-;-;2;1;-;3
"2006510 HOSPITAL GERAL DO ESTADO DR OSVALDO BRANSAO VILELA";-;1;-;-;-;1
"2077671 HOSPITAL GERAL DO GRAJAU PROF LIBER JOHN ALPHONSE DI DIO SP";6;160;810;178;22;1176
"2785900 HOSPITAL GERAL DR WALDEMAR ALCANTARA";-;1;-;-;-;1
"0004073 HOSPITAL GERAL ERNESTO SIMOES FILHO";1;-;-;-;-;1
"2080516 HOSPITAL GERAL IAMADA PRES PRUDENTE";-;-;2;-;-;2
"2079240 HOSPITAL GERAL JESUS TEIXEIRA DA COSTA GUAIANASES SAO PAULO";35;49;427;238;5;754
"2079828 HOSPITAL GERAL PIRAJUSSARA TABOAO DA SERRA";3;2;2;3;-;10
"2077620 HOSPITAL GERAL SANTA MARCELINA DE ITAIM PAULISTA SAO PAULO";3;126;385;66;11;591
"2816210 HOSPITAL GOVERNADOR JOAO ALVES FILHO";1;-;-;-;-;1
"2089696 HOSPITAL GRAACC INSTITUTO DE ONCOLOGIA PEDIATRICA IOP";1;3;3;4;-;11
"2079720 HOSPITAL GUILHERME ALVARO SANTOS";2;1;-;-;1;4
"2066572 HOSPITAL HELIOPOLIS UNIDADE DE GESTAO ASSISTENCIAL I SP";65;50;139;23;8;285
"2084333 HOSPITAL IGESP";78;99;54;7;-;238
"2097613 HOSPITAL INFANTE D HENRIQUE";-;-;3;-;-;3
"2088517 HOSPITAL INFANTIL CANDIDO FONTOURA SAO PAULO";9;83;793;45;-;930
"2071371 HOSPITAL INFANTIL DARCY VARGAS UGA III SAO PAULO";-;1;-;1;-;2
"6048692 HOSPITAL INFANTIL DR JESER AMARANTE FARIA";-;-;1;-;-;1
"2691868 HOSPITAL INFANTIL JOANA DE GUSMAO";-;-;1;-;-;1
"0026948 HOSPITAL INFANTIL JOAO PAULO II";-;-;1;-;-;1
"2744937 HOSPITAL INFANTIL PEQUENO ANJO";1;-;-;-;-;1
"6614426 HOSPITAL INFANTIL SABARA";1;19;78;34;1;133
"2784882 HOSPITAL IPIRANGA DE MOGI DAS CRUZES";-;2;11;1;1;15
"2058391 HOSPITAL ISRAELITA ALBERT EINSTEIN";17;224;1270;128;1;1640
"2712008 HOSPITAL JOAO MURILO E POLICLINICA DE VITORIA";-;-;1;-;-;1
"0026921 HOSPITAL JOAO XXIII";-;-;1;-;-;1
"2082225 HOSPITAL KATIA DE SOUZA RODRIGUES TAIPASSP SAO PAULO";60;94;212;148;213;727
"6283993 HOSPITAL LEFORTE";13;41;289;187;1;531
"2079011 HOSPITAL LEITO IRMA ANETTE MARLENE FERNANDES DE MELLO";4;-;-;-;-;4
"2205440 HOSPITAL MARCIO CUNHA";-;-;1;-;-;1
"0027995 HOSPITAL MATER DEI S A";-;-;1;-;-;1
"0008036 HOSPITAL MATERNIDADE AMADOR AGUIAR";-;1;4;-;-;5
"2065665 HOSPITAL MATERNIDADE INTERLAGOS";-;4;9;33;1;47
"2564211 HOSPITAL MATERNIDADE SAO VICENTE DE PAULA - BARBALHA (CE)";-;2;-;-;-;2
"0010537 HOSPITAL MATERNO INFANTIL DE BRASILIA HMIB";-;-;-;1;-;1
"2517140 HOSPITAL MEMORIAL SAO JOSE";1;-;-;-;-;1
"9467718 HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA - PB";-;1;-;-;-;1
"2192896 HOSPITAL METROPOLITANO ODILON BHERENS HOB";-;-;-;1;-;1
"2082101 HOSPITAL MODELO SOROCABA";-;-;1;-;-;1
"3006522 HOSPITAL MOINHOS DE VENTO - PORTO ALEGRE (RS)";-;-;1;-;-;1
"6148956 HOSPITAL MONTEMAGNO";5;142;365;28;-;540
"7644167 HOSPITAL MORIAH";8;8;26;12;-;54
"0008028 HOSPITAL MUNICIPAL ANTONIO GIGLIO";5;20;46;7;-;78
"0102075 HOSPITAL MUNICIPAL BELA VISTA";37;231;1396;36;1;1701
"0102105 HOSPITAL MUNICIPAL BRASILANDIA";494;107;543;42;20;1206
"2080427 HOSPITAL MUNICIPAL DA CRIANCA E DO ADOLESCENTE HMCA";9;2;18;34;-;63
"6095666 HOSPITAL MUNICIPAL DE BARUERI DR FRANCISCO MORAN";-;-;11;2;1;14
"2083272 HOSPITAL MUNICIPAL DE BERTIOGA";1;1;-;2;-;4
"2080028 HOSPITAL MUNICIPAL DE DIADEMA HMD";3;1;12;3;-;19
"5935857 HOSPITAL MUNICIPAL DE EMERGENCIAS ALBERT SABIN";17;25;32;27;1;102
"2554623 HOSPITAL MUNICIPAL DE JIJOCA DE JERICOACOARA";-;-;1;-;-;1
"2743477 HOSPITAL MUNICIPAL DE MARINGA THELMA VILLANOVA KASPROWICZ";-;-;1;-;-;1
"2081059 HOSPITAL MUNICIPAL DE PAULINIA";-;-;1;-;-;1
"2082411 HOSPITAL MUNICIPAL DR GUIDO GUIDA";-;2;14;-;-;16
"0009628 HOSPITAL MUNICIPAL DR JOSE DE CARVALHO FLORENCE";1;-;4;-;-;5
"2081490 HOSPITAL MUNICIPAL DR MARIO GATTI CAMPINAS";-;-;1;-;-;1
"2058790 HOSPITAL MUNICIPAL DR WALDEMAR TEBALDI";-;-;1;1;-;2
"2747871 HOSPITAL MUNICIPAL GOV MARIO COVAS JR";-;-;-;1;-;1
"0161438 HOSPITAL MUNICIPAL GUARAPIRANGA";116;512;2275;409;2;3314
"5061989 HOSPITAL MUNICIPAL PADRE GERMANO LAUCK";-;-;-;3;-;3
"5200105 HOSPITAL MUNICIPAL PIMENTAS BONSUCESSO MANUEL DE PAIVA";1;2;7;2;7;19
"2027356 HOSPITAL MUNICIPAL UNIVERSITARIO";-;-;-;-;1;1
"2023474 HOSPITAL MUNICIPAL WALTER FERRARI";-;-;-;1;-;1
"9149511 HOSPITAL NEUROCENTER";1;37;46;105;1;190
"2083248 HOSPITAL NEXT SAO BERNARDO";2;8;44;6;5;65
"2089777 HOSPITAL NIPO BRASILEIRO";57;27;639;421;7;1151
"2080052 HOSPITAL NOSSA SENHORA APARECIDA";-;1;2;1;-;4
"2078538 HOSPITAL NOSSA SENHORA APARECIDA - ITUPEVA (SP)";-;-;1;-;-;1
"2257548 HOSPITAL NOSSA SENHORA APARECIDA DE CAMAQUA - CAMAQUA (RS)";-;-;1;-;-;1
"2491710 HOSPITAL NOSSA SENHORA DA CONCEICAO";-;-;1;-;-;1
"2082330 HOSPITAL NOSSA SENHORA DE FATIMA";55;7;78;98;3;241
"9768688 HOSPITAL NOVA NEOMATER";5;10;18;-;-;33
"2078228 HOSPITAL NOVO ATIBAIA";-;2;8;-;-;10
"2076950 HOSPITAL OSWALDO CRUZ";335;37;546;171;1;1090
"3001113 HOSPITAL OTOCLINICA";-;-;1;1;-;2
"7898843 HOSPITAL PANAMERICANO - RIO DE JANEIRO - RJ";-;1;-;2;-;3
"2210924 HOSPITAL PHILADELFIA";-;-;1;-;1;2
"2078767 HOSPITAL PITANGUEIRAS";-;2;14;4;-;20
"2798220 HOSPITAL PREVINA";3;43;32;10;-;88
"9357661 HOSPITAL PROMED - GOIANIA (GO)";-;2;-;-;-;2
"2600536 HOSPITAL REGIONAL DE ARAGUAINA";-;1;-;-;-;1
"2083094 HOSPITAL REGIONAL DE ASSIS";-;1;-;-;-;1
"2792141 HOSPITAL REGIONAL DE COTIA";20;1;5;-;-;26
"2081601 HOSPITAL REGIONAL DE FRANCA - FRANCA - SP";-;1;1;-;-;2
"0009725 HOSPITAL REGIONAL DE MATO GROSSO DO SUL";-;-;-;1;-;1
