COVID19 Síndrome Respiratória Aguda Grave (SRAG)
Nº de Casos por Estab de Internação e Suporte ventilatório
Período:2022
"Estab de Internação";"Em branco";"Sim, invasivo";"Sim, não invasivo";"Não";"Ignorado";"Total"
"2091801 HOSPITAL CENTRAL DE GUAIANASES";-;3;17;89;-;109
"9065946 HOSPITAL COPA STAR - RIO DE JANEIRO (RJ)";-;1;-;-;-;1
"2079887 HOSPITAL CRUZEIRO DO SUL";-;6;3;1;-;10
"2080168 HOSPITAL DA CRIANCA";32;7;81;348;8;476
"3367371 HOSPITAL DA LUZ";-;8;7;2;-;17
"9335951 HOSPITAL DAS ACACIAS - SANTO ANDRE (SP)";-;1;-;-;2;3
"2748223 HOSPITAL DAS CLINICAS DA FACULDADE DE MEDICINA DE BOTUCATU";-;-;2;-;-;2
"2079798 HOSPITAL DAS CLINICAS DA UNICAMP DE CAMPINAS";-;-;-;2;-;2
"2077396 HOSPITAL DE BASE DE SAO JOSE DO RIO PRETO";-;-;2;-;-;2
"6817203 HOSPITAL DE CLINICAS CAIEIRAS";-;1;-;-;-;1
"2765934 HOSPITAL DE CLINICAS DE SAO SEBASTIAO";-;-;-;1;-;1
"2146355 HOSPITAL DE CLINICAS DE UBERLANDIA";-;-;-;1;-;1
"2082349 HOSPITAL DE CLINICAS DR RADAMES NARDINI";-;-;1;1;-;2
"7373465 HOSPITAL DE CLINICAS MUNICIPAL";-;-;-;-;1;1
"6998194 HOSPITAL DIA DA REDE HORA CERTA LAPA";1;-;12;9;-;22
"7992890 HOSPITAL DIA REDE HORA CERTA DA CAPELA DO SOCORRO";-;5;9;10;-;24
"2081288 HOSPITAL DO CORACAO";69;2;8;6;26;111
"3119289 HOSPITAL DO CORACAO";-;-;-;1;-;1
"7758391 HOSPITAL DO CORACAO UNIDADE BELA SUICA - LONDRINA (PR)";-;-;1;-;-;1
"2089785 HOSPITAL DO RIM E HIPERTENSAO";1;5;5;2;-;13
"2080079 HOSPITAL DR OSIRIS FLORINDO COELHO FERRAZ DE VASCONCELOS";-;1;-;1;-;2
"2789590 HOSPITAL E MATERNIDADE BRASIL";-;2;41;11;4;58
"2082128 HOSPITAL E MATERNIDADE CELSO PIERRO";-;-;3;-;-;3
"2080613 HOSPITAL E MATERNIDADE CENTRAL SAO CAETANO DE SUL";12;1;2;5;-;20
"5515483 HOSPITAL E MATERNIDADE GALILEO";-;-;1;-;-;1
"9255826 HOSPITAL E MATERNIDADE GUARULHOS";16;5;72;4;3;100
"6938876 HOSPITAL E MATERNIDADE INTERMEDICA ABC";-;8;35;16;-;59
"2078678 HOSPITAL E MATERNIDADE MADRE THEODORA";-;-;1;-;-;1
"2522691 HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN";4;-;-;-;-;4
"2078082 HOSPITAL E MATERNIDADE METROPOLITANO";5;8;58;17;-;88
"2072513 HOSPITAL E MATERNIDADE MUNICIPAL SANTA ANA";-;-;1;-;-;1
"2069776 HOSPITAL E PRONTO SOCORRO CENTRAL";-;2;1;2;1;6
"2823209 HOSPITAL E PRONTO SOCORRO PORTINARI";-;2;4;6;1;13
"2181770 HOSPITAL EDUARDO DE MENEZES";-;1;-;1;-;2
"2096196 HOSPITAL ENF ANTONIO POLICARPO DE OLIVEIRA";-;1;6;2;-;9
"2089335 HOSPITAL ESCOLA EMILIO CARLOS - CATANDUVA (SP)";1;-;-;-;-;1
"0106526 HOSPITAL ESPANHOL - SALVADOR (BA)";-;1;-;-;-;1
"2355906 HOSPITAL ESPERANCA SA - RECIFE (PE)";-;1;-;-;-;1
"2084163 HOSPITAL ESTADUAL DE DIADEMA HOSPITAL SERRARIA";-;1;1;1;-;3
"2091585 HOSPITAL ESTADUAL DE SAPOPEMBA SAO PAULO";22;12;14;84;3;135
"2077426 HOSPITAL ESTADUAL DE VILA ALPINA ORG SOCIAL SECONCI SAO PAUL";59;25;175;234;-;493
"8015899 HOSPITAL ESTADUAL DIRCEU ARCOVERDE";-;-;1;-;-;1
"6878687 HOSPITAL ESTADUAL DR ALBANO DA FRANCA ROCHA SOBRINHO";-;-;1;-;-;1
"2080273 HOSPITAL ESTADUAL MARIO COVAS DE SANTO ANDRE";-;-;2;1;-;3
"2708558 HOSPITAL EVANGELICO DE SOROCABA - SOROCABA (SP)";-;-;1;-;-;1
"2792168 HOSPITAL GERAL DE CARAPICUIBA";2;-;-;-;-;2
"2080338 HOSPITAL GERAL DE GUARULHOS PROF DR WALDEMAR DE CARVALHO";1;2;4;1;-;8
"2603055 HOSPITAL GERAL DE IPIAU";-;-;-;1;-;1
"2792176 HOSPITAL GERAL DE ITAPECERICA DA SERRA";-;1;7;3;-;11
"2078562 HOSPITAL GERAL DE ITAQUAQUECETUBA";-;2;1;-;-;3
"2066092 HOSPITAL GERAL DE PEDREIRA";-;20;102;74;-;196
"2077493 HOSPITAL GERAL DE SAO MATEUS SAO PAULO";3;17;88;68;2;178
"2688573 HOSPITAL GERAL DE VILA NOVA CACHOEIRINHA SAO PAULO";3;11;41;25;1;81
"2091755 HOSPITAL GERAL DE VILA PENTEADO DR JOSE PANGELLA SAO PAULO";-;5;19;1;-;25
"2402076 HOSPITAL GERAL DE VITORIA DA CONQUISTA";-;1;1;-;-;2
"2077671 HOSPITAL GERAL DO GRAJAU PROF LIBER JOHN ALPHONSE DI DIO SP";-;49;646;137;-;832
"2079240 HOSPITAL GERAL JESUS TEIXEIRA DA COSTA GUAIANASES SAO PAULO";-;16;54;58;1;129
"2079828 HOSPITAL GERAL PIRAJUSSARA TABOAO DA SERRA";-;2;-;-;-;2
"2077620 HOSPITAL GERAL SANTA MARCELINA DE ITAIM PAULISTA SAO PAULO";2;14;32;5;-;53
"2688581 HOSPITAL GERIATRICO E DE CONVALESCENTES D PEDRO II";-;-;-;-;1;1
"2089696 HOSPITAL GRAACC INSTITUTO DE ONCOLOGIA PEDIATRICA IOP";-;2;2;2;-;6
"7894260 HOSPITAL GUARUJA - GUARUJA - SP";-;-;1;-;-;1
"2079720 HOSPITAL GUILHERME ALVARO SANTOS";-;1;-;1;2;4
"2066572 HOSPITAL HELIOPOLIS UNIDADE DE GESTAO ASSISTENCIAL I SP";39;-;4;5;-;48
"2084333 HOSPITAL IGESP";61;13;82;38;9;203
"2097613 HOSPITAL INFANTE D HENRIQUE";-;1;-;-;-;1
"2088517 HOSPITAL INFANTIL CANDIDO FONTOURA SAO PAULO";5;22;506;24;1;558
"2071371 HOSPITAL INFANTIL DARCY VARGAS UGA III SAO PAULO";-;-;1;-;-;1
"6614426 HOSPITAL INFANTIL SABARA";-;5;72;20;-;97
"2784882 HOSPITAL IPIRANGA DE MOGI DAS CRUZES";-;1;3;3;1;8
"2058391 HOSPITAL ISRAELITA ALBERT EINSTEIN";11;39;492;111;-;653
"2082225 HOSPITAL KATIA DE SOUZA RODRIGUES TAIPASSP SAO PAULO";2;2;26;20;7;57
"6283993 HOSPITAL LEFORTE";10;3;28;64;-;105
"2079011 HOSPITAL LEITO IRMA ANETTE MARLENE FERNANDES DE MELLO";-;-;2;-;-;2
"0008036 HOSPITAL MATERNIDADE AMADOR AGUIAR";-;1;-;1;-;2
"0010537 HOSPITAL MATERNO INFANTIL DE BRASILIA HMIB";-;-;2;1;-;3
"2192896 HOSPITAL METROPOLITANO ODILON BHERENS HOB";-;-;-;1;-;1
"2591049 HOSPITAL MINISTRO COSTA CAVALCANTI";-;-;-;1;-;1
"7644167 HOSPITAL MORIAH";-;-;2;2;-;4
"0008028 HOSPITAL MUNICIPAL ANTONIO GIGLIO";3;10;10;8;-;31
"0102075 HOSPITAL MUNICIPAL BELA VISTA";18;14;47;29;-;108
"0102105 HOSPITAL MUNICIPAL BRASILANDIA";146;23;61;11;4;245
"2080427 HOSPITAL MUNICIPAL DA CRIANCA E DO ADOLESCENTE HMCA";45;-;-;2;-;47
"6095666 HOSPITAL MUNICIPAL DE BARUERI DR FRANCISCO MORAN";-;-;1;1;-;2
"2080028 HOSPITAL MUNICIPAL DE DIADEMA HMD";3;4;3;3;2;15
"5935857 HOSPITAL MUNICIPAL DE EMERGENCIAS ALBERT SABIN";12;8;36;14;-;70
"2193310 HOSPITAL MUNICIPAL DE IPATINGA";1;-;-;-;-;1
"2081091 HOSPITAL MUNICIPAL DE ITAPIRA";-;-;2;-;-;2
"2081059 HOSPITAL MUNICIPAL DE PAULINIA";-;-;1;-;-;1
"3021378 HOSPITAL MUNICIPAL DE SAO VICENTE";-;-;1;-;-;1
"2081490 HOSPITAL MUNICIPAL DR MARIO GATTI CAMPINAS";-;-;2;-;-;2
"2747871 HOSPITAL MUNICIPAL GOV MARIO COVAS JR";-;1;-;-;-;1
"0161438 HOSPITAL MUNICIPAL GUARAPIRANGA";26;74;249;30;1;380
"5200105 HOSPITAL MUNICIPAL PIMENTAS BONSUCESSO MANUEL DE PAIVA";77;-;-;9;3;89
"2023474 HOSPITAL MUNICIPAL WALTER FERRARI";-;-;1;-;-;1
"5158044 HOSPITAL NAVAL MARCILIO DIAS";-;1;-;-;-;1
"9149511 HOSPITAL NEUROCENTER";-;-;1;1;-;2
"2083248 HOSPITAL NEXT SAO BERNARDO";-;-;6;5;-;11
"2089777 HOSPITAL NIPO BRASILEIRO";16;1;57;118;1;193
"2082330 HOSPITAL NOSSA SENHORA DE FATIMA";25;5;42;97;2;171
"9768688 HOSPITAL NOVA NEOMATER";1;1;8;-;-;10
"2078228 HOSPITAL NOVO ATIBAIA";-;-;4;-;-;4
"9744665 HOSPITAL ORION - GOIANIA - GO";-;-;-;1;-;1
"2691493 HOSPITAL OSVALDO CRUZ - ARABUTA (SC)";-;-;1;-;-;1
"2076950 HOSPITAL OSWALDO CRUZ";115;22;191;81;-;409
"7898843 HOSPITAL PANAMERICANO - RIO DE JANEIRO - RJ";-;-;-;1;-;1
"2798220 HOSPITAL PREVINA";-;-;1;-;-;1
"6414702 HOSPITAL REGIONAL DE SANTO ANTONIO DE JESUS";-;1;-;-;-;1
"2091313 HOSPITAL REGIONAL SUL SAO PAULO";-;16;52;77;-;145
"9490604 HOSPITAL SAGRADA FAMILIA";3;1;12;1;-;17
"9554157 HOSPITAL SALVALUS";9;24;246;28;2;309
"2078732 HOSPITAL SAMARITANO DE SOROCABA";1;-;2;-;-;3
"9684948 HOSPITAL SAMARITANO PAULISTA";1;10;33;20;-;64
"7174691 HOSPITAL SANCTA MAGGIORE ALTO DA MOOCA";6;12;78;28;1;125
"9131434 HOSPITAL SANCTA MAGGIORE HIGIENOPOLIS";5;5;11;110;-;131
"7174705 HOSPITAL SANCTA MAGGIORE ITAIM";1;5;41;59;-;106
"6618332 HOSPITAL SANCTA MAGGIORE LIBERDADE";-;-;1;-;-;1
"7174713 HOSPITAL SANCTA MAGGIORE MOOCA";1;13;57;16;-;87
"7174721 HOSPITAL SANCTA MAGGIORE PARAISO";27;69;535;160;-;791
"7357079 HOSPITAL SANCTA MAGGIORE PINHEIROS";4;20;92;44;-;160
"7435568 HOSPITAL SANCTA MAGGIORE SAO BERNARDO";-;-;1;-;-;1
"9620494 HOSPITAL SANTA ANA";3;2;36;13;-;54
"2149990 HOSPITAL SANTA CASA DE MONTES CLAROS";1;-;-;-;-;1
"7676484 HOSPITAL SANTA CLARA";15;26;222;53;-;316
"3000869 HOSPITAL SANTA CRUZ";-;-;1;-;-;1
"3019608 HOSPITAL SANTA HELENA";-;-;-;1;-;1
"3528596 HOSPITAL SANTA HELENA";-;-;20;1;1;22
"2081539 HOSPITAL SANTA HELENA ASSISTENCIA MEDICA SB DO CAMPO";-;-;1;2;-;3
"2079445 HOSPITAL SANTA ISABEL";3;9;56;53;1;122
"7849184 HOSPITAL SANTA MARIA DE SUZANO";-;-;1;2;2;5
"2089580 HOSPITAL SANTA PAULA";-;14;29;30;-;73
"2083256 HOSPITAL SANTANA";1;-;-;2;-;3
"2754843 HOSPITAL SANTO AMARO";-;2;1;-;-;3
"3047822 HOSPITAL SAO BERNARDO";1;3;10;15;-;29
"3027600 HOSPITAL SAO CAMILO IPIRANGA";-;8;33;20;-;61
"2688565 HOSPITAL SAO CAMILO POMPEIA";2;8;89;23;-;122
"3039420 HOSPITAL SAO CAMILO SANTANA";11;13;139;64;-;227
"2078740 HOSPITAL SAO LUCAS DE SANTOS";-;-;1;-;-;1
"5171946 HOSPITAL SAO LUCAS RIBEIRANIA (RIBEIRÇO PRETO)";-;-;1;-;-;1
"9194258 HOSPITAL SAO LUIZ SAO CAETANO";26;2;28;90;-;146
"2077485 HOSPITAL SAO PAULO HOSPITAL DE ENSINO DA UNIFESP SAO PAULO";7;40;101;21;4;173
"0003808 HOSPITAL SAO RAFAEL";-;-;1;3;-;4
"2081741 HOSPITAL SBC";1;1;7;5;-;14
"2819473 HOSPITAL SERRA MAYOR";-;1;-;-;-;1
"5101654 HOSPITAL SINO BRASILEIRO";2;3;10;-;-;15
"3018903 HOSPITAL UNIMED";-;-;-;1;-;1
"2708566 HOSPITAL UNIMED DE SOROCABA DR MIGUEL VILLA NOVA SOEIRO";-;-;2;1;-;3
"2080699 HOSPITAL UNIMED PIRACICABA";1;-;-;-;-;1
"2076926 HOSPITAL UNIVERSITARIO DA USP SAO PAULO";2;9;37;13;3;64
"5860490 HOSPITAL UNIVERSITARIO DE MARILIA";-;-;1;-;-;1
"2587335 HOSPITAL UNIVERSITARIO REGIONAL DE MARINGA";-;-;1;-;-;1
"2078376 HOSPITAL VERA CRUZ";-;-;1;1;-;2
"9735372 HOSPITAL VILA NOVA STAR";-;4;94;1;-;99
"5590450 HOSPITAL VILLA LOBOS";58;6;39;77;-;180
"6668143 HOSPITAL VITORIA";5;14;232;45;-;296
"3507157 HOSPITAL VIVALLE";-;-;-;2;-;2
"3272591 HOSPITALIS";-;-;3;-;-;3
"2077590 IBCC";2;5;8;2;2;19
"7261012 INNOVA HOSPITAIS ASSOCIADOS LTDA";1;-;2;6;-;9
"7544529 INST DE INFECT EMILIO RIBAS II BAIXADA SANTISTA";-;-;1;1;-;2
"2080125 INST DO CANCER ARNALDO VIEIRA DE CARVALHO";10;7;27;13;-;57
"0005428 INSTITUTO COUTO MAIA";-;1;-;-;-;1
"2088495 INSTITUTO DANTE PAZZANESE DE CARDIOLOGIA IDPC SAO PAULO";1;8;13;1;-;23
"2028840 INSTITUTO DE INFECTOLOGIA EMILIO RIBAS SAO PAULO";20;21;43;13;-;97
"2078066 INTERMEDICA HPS HOSPITAL PAULO SACRAMENTO";-;1;3;-;-;4
"2084368 INTERMEDICA SISTEMA DE SAUDE";-;1;11;5;-;17
"9459413 INTERMEDICA SISTEMA DE SAUDE - SANTO ANDRE (SP)";-;1;-;-;-;1
"2040727 PA MUN DR ATUALPA GIRAO RABELO";-;-;1;-;-;1
"2073552 PRONTO ATENDIMENTO JARDIM PARAISO";-;-;1;-;-;1
"7931670 PRONTO ATENDIMENTO SANCTA MAGGIORE JARDIM PAULISTA";1;2;10;-;-;13
"9095195 PRONTO ATENDIMENTO SANCTA MAGGIORE MORUMBI";-;1;4;2;-;7
"9472908 PRONTO ATENDIMENTO SANCTA MAGGIORE SANTANA";-;1;22;16;-;39
"6654665 PRONTO ATENDIMENTO SANCTA MAGGIORE TATUAPE";1;3;12;4;-;20
"2801051 PRONTO SOCORRO CENTRAL DE DIADEMA";2;1;31;43;3;80
"2024373 PRONTO SOCORRO MUNICIPAL JOSE AGOSTINHO DOS SANTOS";-;-;1;2;-;3
"2082209 PS E MATERNIDADE NAIR FONSECA LEITAO ARANTES";-;-;1;-;-;1
"5932696 PS FENELON GUEDES PEREIRA";-;-;1;-;-;1
"7682581 PS JOSE IBRAHIN";-;2;1;3;-;6
"2037971 PS MUN AUGUSTO GOMES DE MATOS";-;1;-;-;-;1
"4050320 PS MUN DR ALVARO DINO DE ALMEIDA";1;2;23;2;-;28
"2027100 PS MUN DR CAETANO VIRGILIO NETTO";8;5;28;17;1;59
"2029189 PS MUN FREGUESIA DO O 21 DE JUNHO";-;4;3;1;-;8
"2082837 PS MUN PROF JOAO CATARIN MEZOMO";-;1;2;-;-;3
"2071495 PS MUN SANTANA LAURO RIBAS BRAGA";3;36;18;9;3;69
"2075407 PS MUN V MARIA BAIXA";1;1;9;2;-;13
"6024688 PSI PRONTO SOCORRO INFANTIL DE TABOAO DA SERRA";3;-;15;7;-;25
"4050282 PSM DONA MARIA ANTONIETA FERREIRA DE BARROS";-;-;1;-;-;1
"3580822 REDE DOR SAO LUIZ S A";-;-;-;3;-;3
"2078775 SANTA CASA DE ARACATUBA HOSP SAGRADO CORACAO DE JESUS - ARACATUBA (SP)";-;-;1;-;-;1
"2083116 SANTA CASA DE MARILIA";-;-;1;-;-;1
"2751747 SANTA CASA DE MAUA";-;-;3;4;-;7
"2688433 SANTA CASA DE MISERICORDIA DE BRAGANCA PAULISTA";-;-;1;-;-;1
"2096412 SANTA CASA DE MISERICORDIA DE JACAREI";-;-;1;-;-;1
"3223728 SANTA CASA DE MISERICORDIA DE SAO BERNARDO DO CAMPO - SBC (SP)";-;-;1;-;-;1
"2798298 SANTA CASA DE MISERICORDIA DE SAO JOSE DO RIO PRETO";-;-;1;1;-;2
"2129469 SANTA CASA DE POCOS DE CALDAS - POCOS DE CALDAS (MG)";-;-;-;1;-;1
"2688689 SANTA CASA DE SAO PAULO HOSPITAL CENTRAL SAO PAULO";24;54;100;48;1;227
"2699915 SANTA CASA DE VINHEDO";-;-;1;-;-;1
"2080532 SANTA CASA HOSP DR ARISTOTELES OLIVEIRA MARTINS PRES PRUDENT";-;-;1;-;-;1
"3824802 SAO LUIZ UNIDADE MORUMBI";82;9;256;320;2;669
"2077523 UNIDADE DE GESTAO ASSISTENCIAL II HOSPITAL IPIRANGA SP";-;20;75;1;-;96
"7184689 UNIDADE DE PRONTO ATENDIMENTO CENTRAL DE CARAGUATATUBA";-;-;-;1;-;1
"2706245 UNIDADE DE PRONTO ATENDIMENTO DE FRANCO DA ROCHA UPA II";-;-;1;-;-;1
"7868499 UNIDADE DE PRONTO ATENDIMENTO DRA ZILDA ARNS";1;-;-;-;-;1
"0008494 UPA BANGU";-;2;1;3;-;6
"2639548 UPA CAMPO COMPRIDO";-;-;1;-;-;1
"9400109 UPA CUMBICA";-;1;2;1;-;4
"7429991 UPA DR AKIRA TADA";-;-;8;9;1;18
"9971513 UPA ERMELINO MATARAZZO";7;6;53;9;-;75
"9051422 UPA III 26 DE AGOSTO";4;1;15;22;-;42
"7479387 UPA III NOVA CAMPO LIMPO";498;5;14;71;1;589
"9997091 UPA JACANA";1;47;17;10;7;82
"2069032 UPA JULIO TUPY";2;28;34;22;-;86
"6950051 UPA MAGINI CENTRO";-;-;-;1;-;1
"6821197 UPA PAULICEIA TABOAO";-;-;1;-;-;1
"4050169 UPA PERUS DR LUIZ ANTONIO DE ABREU SAMPAIO DORIA";92;1;13;11;-;117
"6146341 UPA PIRITUBA";-;2;11;5;-;18
"7548311 UPA POCOS DE CALDAS";-;1;-;-;-;1
"7030878 UPA RUDGE RAMOS";-;-;-;1;-;1
"7102429 UPA SANTA LUZIA";-;-;1;-;-;1
"6916074 UPA SAO JOAO LAVRAS";-;1;-;1;-;2
"7169310 UPA SILVINA";-;-;1;-;-;1
"9736700 UPA TITO LOPES";1;-;1;-;-;2
"6919456 UPA ZAIRA";-;-;1;-;-;1
"Total";3358;2270;12877;7460;1900;27865
Fonte: SIVEP GRIPE/DVE/COVISA/SMS-SP. Data de atualização: 05/10/2022. Dados preliminares, sujeitos a alteração.
