COVID19 Síndrome Respiratória Aguda Grave (SRAG)
Nº de Casos por Estab de Internação e Evolução
Período:2021
"Estab de Internação";"Cura";"Óbito";"Óbito por outras causas";"Ignorado";"Sem informação";"Total"
"2084236 CENTRO ESP EM REABILITACAO DR ARNALDO PEZZUTI CAVALCANTI MOG";19;7;-;-;-;26
"0008923 CENTRO HOSPITALAR DE SANTO ANDRE DR NEWTON DA COSTA BRANDAO";14;56;13;-;-;83
"3001466 CENTRO HOSPITALAR DO SISTEMA PENITENCIARIO SAO PAULO";1;-;-;-;1;2
"2079666 CENTRO MEDICO DE CAMPINAS";1;-;-;-;-;1
"3464555 CENTRO MEDICO PMESP";250;60;-;1;2;313
"3065634 CHN COMPLEXO HOSPITALAR DE NITEROI";-;-;-;-;1;1
"9089136 CLINICA PREMIUM CARE FILIAL BELA VISTA";-;1;-;1;-;2
"9238735 CLINICA PREMIUM CARE FILIAL CAMPO BELO";-;-;1;-;-;1
"6032699 CLINICA PREMIUM CARE VILA OLIMPIA";1;-;-;-;-;1
"2384299 COMPLEXO HOSPITAL DE CLINICAS";6;-;-;-;-;6
"0015369 COMPLEXO HOSPITALAR DO TRABALHADOR - CURITIBA - PR";1;1;-;-;-;2
"6998704 COMPLEXO HOSPITALAR DOS ESTIVADORES - SANTOS (SP)";1;-;-;-;-;1
"2716097 COMPLEXO HOSPITALAR IRMA DULCE O S S";1;1;-;-;-;2
"2082594 COMPLEXO HOSPITALAR MUNICIPAL";15;4;-;-;1;20
"6625649 COMPLEXO HOSPITALAR OITO DE DEZEMBRO UNIDADE I";23;4;-;-;-;27
"7013981 COMPLEXO HOSPITALAR OITO DE DEZEMBRO UNIDADE II";16;-;-;-;-;16
"2079410 COMPLEXO HOSPITALAR PADRE BENTO DE GUARULHOS";47;32;-;4;2;85
"6053858 COMPLEXO HOSPITALAR PREFEITO EDIVALDO ORSI";1;2;-;-;-;3
"7593643 COMPLEXO HOSPITALAR SANTO EXPEDITO";-;1;-;-;2;3
"0158119 COMPLEXO HOSPITALAR MUNICIPAL SOROCABANA";670;86;5;29;1;791
"7947984 COMPLEXO MUNICIPAL DE SAUDE";2;-;-;-;-;2
"2077574 CONJUNTO HOSPITALAR DO MANDAQUI SAO PAULO";1114;270;2;3;34;1423
"2081695 CONJUNTO HOSPITALAR SOROCABA";-;1;-;-;-;1
"2078627 DAY HOSPITAL DE ERMELINO MATARAZZO";113;18;-;-;75;206
"9491252 DR RUBENS SAVASTANO HOSPITAL REGIONAL DE SAO JOSE DOS CAMPOS - SJC - SP";-;-;-;-;4;4
"0009709 EBSERH HOSP UNIV MARIA APARECIDA PEDROSSIAN";2;-;-;-;-;2
"2080001 FAMILY HOSPITAL";4;3;-;-;2;9
"2090236 FUNDACAO PIO XII - BARRETOS (SP)";3;1;-;-;-;4
"2078015 HC DA FMUSP HOSPITAL DAS CLINICAS SAO PAULO";1367;576;28;11;4;1986
"2296608 HCJ HOSPITAL DE CLINICAS DE JACAREPAGUA";-;-;-;-;1;1
"2786435 HCSVP HOSPITAL SAO VICENTE";3;1;-;-;-;4
"2751860 HD DA REDE HORA CERTA IPIRANGA FLAVIO GIANNOTTI";61;4;-;-;6;71
"0010561 HFA";1;-;-;-;-;1
"2079089 HOSP 9 DE JULHO";379;60;4;2;120;565
"2082314 HOSP ALBERT SABIN";382;43;6;-;-;431
"2089238 HOSP ALVORADA";1617;130;3;-;-;1750
"2078481 HOSP AVICCENA";445;39;5;5;130;624
"2078600 HOSP DA AERONAUTICA DE SPHASP";28;3;-;-;9;40
"2075962 HOSP DA STA CASA DE STO AMARO";191;120;1;-;2;314
"3019012 HOSP DE CLINICAS J HELENA";62;11;-;1;-;74
"2088576 HOSP DE TRANSPLANT DO EST DE SP EURYCLIDES DE JESUS ZERBINI";97;30;3;1;1;132
"2058502 HOSP DO SERV PUB EST FCO MORATO DE OLIVEIRA SAO PAULO";1241;539;53;10;1;1844
"2752077 HOSP DO SERV PUB MUNICIPAL HSPM";405;144;49;4;12;614
"2077469 HOSP DOM ANTONIO DE ALVARENGA";157;41;-;3;6;207
"2080230 HOSP E MAT MENINO JESUS";1;-;-;-;-;1
"3585409 HOSP E MAT STO EXPEDITO";7;1;-;-;-;8
"2089610 HOSP EDMUNDO VASCONCELOS";14;13;-;-;2;29
"2078007 HOSP GERAL DE SAO PAULO";28;10;-;-;2;40
"2089653 HOSP IGUATEMI";480;75;1;-;24;580
"2078406 HOSP INDEPENDENCIA";137;6;-;3;-;146
"2680785 HOSP MAT ALVORADA STO AMARO";45;6;-;-;-;51
"2089602 HOSP MAT DO SEPACO";295;78;3;-;1;377
"2080796 HOSP MAT SAO CRISTOVAO";19;77;-;1;1;98
"2079542 HOSP MAT STA JOANA";40;2;-;-;-;42
"2078589 HOSP MAT STA MARIA-CRUZ AZUL";1248;230;12;1;169;1660
"2080257 HOSP MAT STA MARINA";1;-;-;-;-;1
"3045625 HOSP MAT VIDAS";333;111;-;-;1;445
"2077752 HOSP MONUMENTO CEHM";-;-;-;-;2;2
"5420938 HOSP MUN CARMEN PRUDENTE";1043;340;2;16;5;1406
"7473702 HOSP MUN DE MOGI DAS CRUZES PREF WALDEMAR COSTA FILHO";61;14;1;-;-;76
"2084139 HOSP MUN DR BENEDICTO MONTENEGRO";346;188;1;3;73;611
"2080346 HOSP MUN DR CARMINO CARICCHIO";119;53;16;-;2;190
"2084473 HOSP MUN DR IGNACIO PROENCA DE GOUVEA";619;274;4;37;20;954
"2077450 HOSP MUN DR JOSE SOARES HUNGRIA";312;356;1;3;1;673
"2786680 HOSP MUN FERNANDO MAURO PIRES DA ROCHA";132;83;9;4;7;235
"7711980 HOSP MUN GILSON DE CASSIA MARQUES DE CARVALHO";199;118;1;2;4;324
"2078325 HOSP MUN INFANTIL MENINO JESUS";20;-;-;1;1;22
"2081970 HOSP MUN JABAQUARA ARTUR RIBEIRO DE SABOYA";211;102;15;23;3;354
"9465464 HOSP MUN JOSANIAS CASTANHA BRAGA";1472;717;-;7;12;2208
"5718368 HOSP MUN M BOI MIRIM";2091;442;-;10;51;2594
"2079186 HOSP MUN MAT ESC DR MARIO DE MORAES A SILVA";188;3;1;-;-;192
"2075717 HOSP MUN MATERNIDADE PROFESSOR MARIO DEGNI";100;22;1;8;1;132
"2077639 HOSP MUN PROF DR WALDOMIRO DE PAULA";625;413;1;10;12;1061
"2082829 HOSP MUN PROFESSOR DOUTOR ALIPIO CORREA NETTO";17;44;2;4;4;71
"2080583 HOSP MUN TIDE SETUBAL";2036;753;4;13;66;2872
"2080788 HOSP MUN V NHOCUNE ALEXANDRE ZAIO";217;173;1;5;147;543
"3212130 HOSP MUN VER JOSE STOROPOLLI";568;413;2;144;14;1141
"2082861 HOSP MUNICIPAL DE URGENCIAS HMU";6;9;-;1;-;16
"2089599 HOSP NSRA DE LOURDES";741;51;3;3;1;799
"2084376 HOSP PAULISTANO";127;36;24;3;9;199
"2077604 HOSP PRESIDENTE";159;96;-;8;152;415
"2080818 HOSP SAMARITANO";913;88;2;1;9;1013
"5907594 HOSP SAO LUIZ ANALIA FRANCO";408;103;1;-;3;515
"2076896 HOSP SAO LUIZ GONZAGA";610;106;1;4;4;725
"2688611 HOSP SAO LUIZUNIDADE I";782;58;-;4;-;844
"2079127 HOSP SIRIO LIBANES";1319;114;1;1;49;1484
"2688603 HOSP STA CATARINA";1119;112;3;3;826;2063
"2082624 HOSP STA CRUZ";421;80;7;2;3;513
"2078597 HOSP STA HELENA";220;22;3;1;11;257
"2084341 HOSP STA MAGGIORE";3;3;-;1;1;8
"2077477 HOSP STA MARCELINA SAO PAULO";2506;781;65;7;106;3465
"2082535 HOSP STA RITA";-;2;-;-;-;2
"2078457 HOSP STA VIRGINIA";224;35;-;-;-;259
"7755333 HOSPITAL 10 DE JULHO";1;1;-;-;-;2
"7060165 HOSPITAL A C CAMARGO TAMANDARE";9;5;-;-;2;16
"6832725 HOSPITAL ABC UNIDADE AVANCADA PRESTES MAIA";2;-;-;-;-;2
"3166597 HOSPITAL ADVENTISTA DE SAO PAULO";145;96;-;-;120;361
"2081865 HOSPITAL ALBERT SABIN ATIBAIA";-;-;-;-;1;1
"2389746 HOSPITAL ALIANCA";3;-;-;-;-;3
"2083191 HOSPITAL ALPHA MED CARAPICUIBA";3;1;-;-;-;4
"2793466 HOSPITAL ALVORADA JACAREI - JACAREI (SP)";2;-;-;-;-;2
"2690764 HOSPITAL AMERICA";21;2;-;-;27;50
"2077388 HOSPITAL AMPARO MATERNAL";15;-;-;-;-;15
"2025760 HOSPITAL ANA COSTA DE SANTOS";1;4;-;-;1;6
"2241153 HOSPITAL ARCANJO SAO MIGUEL";2;-;-;-;-;2
"3024660 HOSPITAL ASSUNCAO";6;1;-;1;21;29
"2097117 HOSPITAL AUSTA SAO JOSE DO RIO PRETO";1;-;-;-;-;1
"2077507 HOSPITAL BANDEIRANTES";288;119;3;1;359;770
"2084090 HOSPITAL BARTIRA";151;42;-;-;-;193
"3003361 HOSPITAL BENEFICENCIA PORTUGUESA DE BAURU";1;-;-;-;-;1
"2718324 HOSPITAL BOM CLIMA";35;30;-;-;10;75
"3309959 HOSPITAL BOSQUE DA SAUDE";543;153;1;2;4;703
"2080575 HOSPITAL BP";952;140;-;1;40;1133
"2081628 HOSPITAL CARLOS CHAGAS";173;16;-;-;-;189
"2091801 HOSPITAL CENTRAL DE GUAIANASES";197;8;-;1;7;213
"9065946 HOSPITAL COPA STAR - RIO DE JANEIRO (RJ)";2;-;-;-;-;2
"2078988 HOSPITAL CORACAO DE JESUS";-;1;-;-;-;1
"2079887 HOSPITAL CRUZEIRO DO SUL";147;46;-;-;-;193
"2080168 HOSPITAL DA CRIANCA";369;1;-;1;53;424
"2080494 HOSPITAL DA CRUZ VERMELHA BRASILEIRA DO ESTADO DE SAO";108;49;1;5;-;163
"3367371 HOSPITAL DA LUZ";278;75;4;1;1;359
"6020917 HOSPITAL DA MULHER MARIA JOSE DOS SANTOS STEIN";1;-;-;-;-;1
"6451098 HOSPITAL DALILA FERREIRA BARBOSA - ARUJA (SP)";2;3;-;-;-;5
"9335951 HOSPITAL DAS ACACIAS - SANTO ANDRE (SP)";2;6;-;-;-;8
"2127989 HOSPITAL DAS CLIN SAMUEL LIBANIO POUSO ALEGRE";7;2;-;-;-;9
"2748223 HOSPITAL DAS CLINICAS DA FACULDADE DE MEDICINA DE BOTUCATU";1;-;1;-;-;2
"2079798 HOSPITAL DAS CLINICAS DA UNICAMP DE CAMPINAS";2;1;-;-;-;3
"2535556 HOSPITAL DAS CLINICAS DR SERAFIM DE CARVALHO";1;-;-;-;-;1
"2080680 HOSPITAL DAS CLINICAS LUZIA DE PINHO MELO MOGI DAS CRUZES";22;7;-;-;-;29
"2077396 HOSPITAL DE BASE DE SAO JOSE DO RIO PRETO";7;-;-;-;-;7
"2819279 HOSPITAL DE BOA VIAGEM - RECIFE (PE)";1;1;-;-;-;2
"0115509 HOSPITAL DE CAMPANHA COVID 19 DE MAIRIPORA - MAIRIPORA - SP";11;4;-;-;-;15
"0127604 HOSPITAL DE CAMPANHA COVID 19 JARDIM PAULISTA - BARUERI (SP)";4;1;-;-;-;5
"0105597 HOSPITAL DE CAMPANHA COVID 19 OSASCO - OSASCO - SP";38;-;-;-;-;38
"0102083 HOSPITAL DE CAMPANHA COVID 19 SMS SP ANHEMBI P 38";1;-;-;-;-;1
"0112062 HOSPITAL DE CAMPANHA RIBEIRAO PIRES - RIBEIRAO PIRES - SP";2;1;-;1;-;4
"6817203 HOSPITAL DE CLINICAS CAIEIRAS";7;4;-;-;-;11
"2087219 HOSPITAL DE CLINICAS CAMPO LIMPO PAULISTA";-;1;-;-;-;1
"2206595 HOSPITAL DE CLINICAS DA UFTM";1;1;-;-;-;2
"2765934 HOSPITAL DE CLINICAS DE SAO SEBASTIAO";1;1;-;-;-;2
"2082349 HOSPITAL DE CLINICAS DR RADAMES NARDINI";1;3;-;-;14;18
"3014681 HOSPITAL DE CLINICAS MARIO LIONI - DUQUE DE CAXIAS (RJ)";1;-;-;-;-;1
"7373465 HOSPITAL DE CLINICAS MUNICIPAL";1;4;-;-;-;5
"0019305 HOSPITAL DE FLORIANOPOLIS";1;-;-;-;-;1
"2751925 HOSPITAL DIA CIDADE ADEMAR";11;-;-;-;-;11
"6998194 HOSPITAL DIA DA REDE HORA CERTA LAPA";5;2;-;-;1;8
"2091658 HOSPITAL DIA DA REDE HORA CERTA M BOI MIRIM I";1;-;-;-;-;1
"7378394 HOSPITAL DIA DA REDE HORA CERTA M BOI MIRIM II";6;-;-;-;-;6
"6135749 HOSPITAL DIA DA REDE HORA CERTA MOOCA";24;1;-;1;4;30
"2751976 HOSPITAL DIA DA REDE HORA CERTA SAO MIGUEL TITO LOPES";2;1;-;-;-;3
"7979649 HOSPITAL DIA DA REDE HORA CERTA VILA GUILHERME VILA MARIA";9;-;-;-;-;9
"7992890 HOSPITAL DIA REDE HORA CERTA DA CAPELA DO SOCORRO";1502;198;-;20;11;1731
"2081288 HOSPITAL DO CORACAO";211;28;-;-;-;239
"3119289 HOSPITAL DO CORACAO";2;-;-;-;-;2
"2758083 HOSPITAL DO CORACAO DE LONDRINA - LONDRINA - PR";2;-;-;-;-;2
"7758391 HOSPITAL DO CORACAO UNIDADE BELA SUICA - LONDRINA (PR)";1;1;-;-;-;2
"2089785 HOSPITAL DO RIM E HIPERTENSAO";7;9;-;2;1;19
"0013846 HOSPITAL DO ROCIO - CAMPO LARGO - PR";-;1;-;-;-;1
"2087057 HOSPITAL DOS FORNECEDORES DE CANA DE PIRACICABA";3;1;-;-;-;4
"2080079 HOSPITAL DR OSIRIS FLORINDO COELHO FERRAZ DE VASCONCELOS";8;-;-;5;1;14
"2080133 HOSPITAL E MATERNIDADE BENEFICENCIA PORTUGUESA";3;8;-;-;-;11
"2789590 HOSPITAL E MATERNIDADE BRASIL";155;14;1;-;-;170
"2082128 HOSPITAL E MATERNIDADE CELSO PIERRO";2;1;-;-;-;3
"2080613 HOSPITAL E MATERNIDADE CENTRAL SAO CAETANO DE SUL";88;25;-;1;1;115
"2079607 HOSPITAL E MATERNIDADE DR CHRISTOVAO DA GAMA";13;25;-;-;10;48
"5515483 HOSPITAL E MATERNIDADE GALILEO";3;-;-;-;-;3
"9255826 HOSPITAL E MATERNIDADE GUARULHOS";62;47;-;6;2;117
"6938876 HOSPITAL E MATERNIDADE INTERMEDICA ABC";715;175;2;-;-;892
"2078678 HOSPITAL E MATERNIDADE MADRE THEODORA";5;-;-;-;-;5
"2522691 HOSPITAL E MATERNIDADE MARIETA KONDER BORNHAUSEN";2;-;-;-;-;2
"2078082 HOSPITAL E MATERNIDADE METROPOLITANO";105;98;-;2;-;205
"2072513 HOSPITAL E MATERNIDADE MUNICIPAL SANTA ANA";1;2;-;-;-;3
"2746387 HOSPITAL E MATERNIDADE NOVA VIDA";1;12;-;1;24;38
"2080753 HOSPITAL E MATERNIDADE SAO JOAQUIM - FRANCA (SP)";-;1;-;-;-;1
"2069776 HOSPITAL E PRONTO SOCORRO CENTRAL";47;11;-;-;-;58
"2495015 HOSPITAL E PRONTO SOCORRO MUNICIPAL DE CUIABA";-;1;-;-;-;1
"2823209 HOSPITAL E PRONTO SOCORRO PORTINARI";146;131;1;-;1;279
"2181770 HOSPITAL EDUARDO DE MENEZES";1;-;-;-;-;1
"2096196 HOSPITAL ENF ANTONIO POLICARPO DE OLIVEIRA";32;21;-;-;6;59
"2208857 HOSPITAL ESCOLA AISI ITAJUBA";-;1;-;-;-;1
"2089335 HOSPITAL ESCOLA EMILIO CARLOS - CATANDUVA (SP)";1;1;-;-;-;2
"0127876 HOSPITAL ESTADUAL DE CAMPANHA COVID 19 BARRADAS";104;34;-;1;1;140
"2084163 HOSPITAL ESTADUAL DE DIADEMA HOSPITAL SERRARIA";22;15;1;1;38;77
"2091585 HOSPITAL ESTADUAL DE SAPOPEMBA SAO PAULO";218;160;4;-;5;387
"2077426 HOSPITAL ESTADUAL DE VILA ALPINA ORG SOCIAL SECONCI SAO PAUL";964;621;7;2;39;1633
"6878687 HOSPITAL ESTADUAL DR ALBANO DA FRANCA ROCHA SOBRINHO";2;1;-;-;-;3
"7257406 HOSPITAL ESTADUAL DR JAYME SANTOS NEVES - SERRA (ES)";-;1;-;-;-;1
"2080273 HOSPITAL ESTADUAL MARIO COVAS DE SANTO ANDRE";1;25;2;-;-;28
"3028399 HOSPITAL ESTADUAL PROF CARLOS DA SILVA LACAZ FCO MORATO";2;3;-;-;1;6
"2081636 HOSPITAL FREI GALVAO - SANTOS (SP)";3;2;-;-;-;5
"2792168 HOSPITAL GERAL DE CARAPICUIBA";4;1;-;-;-;5
"2080338 HOSPITAL GERAL DE GUARULHOS PROF DR WALDEMAR DE CARVALHO";30;16;3;1;2;52
"2792176 HOSPITAL GERAL DE ITAPECERICA DA SERRA";108;16;-;7;4;135
"2078104 HOSPITAL GERAL DE ITAPEVI";-;1;-;-;2;3
"2078562 HOSPITAL GERAL DE ITAQUAQUECETUBA";6;2;-;-;-;8
"2066092 HOSPITAL GERAL DE PEDREIRA";1222;414;1;-;38;1675
"2077493 HOSPITAL GERAL DE SAO MATEUS SAO PAULO";604;314;2;2;23;945
"2688573 HOSPITAL GERAL DE VILA NOVA CACHOEIRINHA SAO PAULO";613;200;1;2;5;821
"2091755 HOSPITAL GERAL DE VILA PENTEADO DR JOSE PANGELLA SAO PAULO";631;288;1;13;26;959
"2402076 HOSPITAL GERAL DE VITORIA DA CONQUISTA";1;2;-;-;-;3
"2006510 HOSPITAL GERAL DO ESTADO DR OSVALDO BRANSAO VILELA";-;1;-;-;-;1
"2077671 HOSPITAL GERAL DO GRAJAU PROF LIBER JOHN ALPHONSE DI DIO SP";976;156;4;14;26;1176
"2785900 HOSPITAL GERAL DR WALDEMAR ALCANTARA";-;1;-;-;-;1
"0004073 HOSPITAL GERAL ERNESTO SIMOES FILHO";-;1;-;-;-;1
"2080516 HOSPITAL GERAL IAMADA PRES PRUDENTE";2;-;-;-;-;2
"2079240 HOSPITAL GERAL JESUS TEIXEIRA DA COSTA GUAIANASES SAO PAULO";462;200;2;6;84;754
"2079828 HOSPITAL GERAL PIRAJUSSARA TABOAO DA SERRA";8;1;-;1;-;10
"2077620 HOSPITAL GERAL SANTA MARCELINA DE ITAIM PAULISTA SAO PAULO";358;223;5;2;3;591
"2816210 HOSPITAL GOVERNADOR JOAO ALVES FILHO";-;-;1;-;-;1
"2089696 HOSPITAL GRAACC INSTITUTO DE ONCOLOGIA PEDIATRICA IOP";8;2;-;1;-;11
"2079720 HOSPITAL GUILHERME ALVARO SANTOS";1;3;-;-;-;4
"2066572 HOSPITAL HELIOPOLIS UNIDADE DE GESTAO ASSISTENCIAL I SP";205;78;-;-;2;285
"2084333 HOSPITAL IGESP";120;115;1;-;2;238
"2097613 HOSPITAL INFANTE D HENRIQUE";3;-;-;-;-;3
"2088517 HOSPITAL INFANTIL CANDIDO FONTOURA SAO PAULO";907;18;-;1;4;930
"2071371 HOSPITAL INFANTIL DARCY VARGAS UGA III SAO PAULO";-;1;-;-;1;2
"6048692 HOSPITAL INFANTIL DR JESER AMARANTE FARIA";1;-;-;-;-;1
"2691868 HOSPITAL INFANTIL JOANA DE GUSMAO";1;-;-;-;-;1
"0026948 HOSPITAL INFANTIL JOAO PAULO II";1;-;-;-;-;1
"2744937 HOSPITAL INFANTIL PEQUENO ANJO";1;-;-;-;-;1
"6614426 HOSPITAL INFANTIL SABARA";132;1;-;-;-;133
"2784882 HOSPITAL IPIRANGA DE MOGI DAS CRUZES";10;4;-;1;-;15
"2058391 HOSPITAL ISRAELITA ALBERT EINSTEIN";1503;130;4;3;-;1640
"2712008 HOSPITAL JOAO MURILO E POLICLINICA DE VITORIA";-;-;-;-;1;1
"0026921 HOSPITAL JOAO XXIII";1;-;-;-;-;1
"2082225 HOSPITAL KATIA DE SOUZA RODRIGUES TAIPASSP SAO PAULO";459;235;2;29;2;727
"6283993 HOSPITAL LEFORTE";475;29;-;-;27;531
"2079011 HOSPITAL LEITO IRMA ANETTE MARLENE FERNANDES DE MELLO";1;2;-;-;1;4
"2205440 HOSPITAL MARCIO CUNHA";1;-;-;-;-;1
"0027995 HOSPITAL MATER DEI S A";1;-;-;-;-;1
"0008036 HOSPITAL MATERNIDADE AMADOR AGUIAR";4;-;-;-;1;5
"2065665 HOSPITAL MATERNIDADE INTERLAGOS";44;3;-;-;-;47
"2564211 HOSPITAL MATERNIDADE SAO VICENTE DE PAULA - BARBALHA (CE)";-;-;-;-;2;2
"0010537 HOSPITAL MATERNO INFANTIL DE BRASILIA HMIB";1;-;-;-;-;1
"2517140 HOSPITAL MEMORIAL SAO JOSE";-;-;-;-;1;1
"9467718 HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA - PB";-;1;-;-;-;1
"2192896 HOSPITAL METROPOLITANO ODILON BHERENS HOB";1;-;-;-;-;1
"2082101 HOSPITAL MODELO SOROCABA";-;1;-;-;-;1
"3006522 HOSPITAL MOINHOS DE VENTO - PORTO ALEGRE (RS)";1;-;-;-;-;1
"6148956 HOSPITAL MONTEMAGNO";386;149;-;-;5;540
"7644167 HOSPITAL MORIAH";51;3;-;-;-;54
"0008028 HOSPITAL MUNICIPAL ANTONIO GIGLIO";45;29;1;-;3;78
"0102075 HOSPITAL MUNICIPAL BELA VISTA";1358;318;2;1;22;1701
"0102105 HOSPITAL MUNICIPAL BRASILANDIA";519;315;-;15;357;1206
"2080427 HOSPITAL MUNICIPAL DA CRIANCA E DO ADOLESCENTE HMCA";62;1;-;-;-;63
"6095666 HOSPITAL MUNICIPAL DE BARUERI DR FRANCISCO MORAN";7;6;1;-;-;14
"2083272 HOSPITAL MUNICIPAL DE BERTIOGA";3;1;-;-;-;4
"2080028 HOSPITAL MUNICIPAL DE DIADEMA HMD";9;4;-;-;6;19
"5935857 HOSPITAL MUNICIPAL DE EMERGENCIAS ALBERT SABIN";53;47;-;-;2;102
"2554623 HOSPITAL MUNICIPAL DE JIJOCA DE JERICOACOARA";-;1;-;-;-;1
"2743477 HOSPITAL MUNICIPAL DE MARINGA THELMA VILLANOVA KASPROWICZ";1;-;-;-;-;1
"2081059 HOSPITAL MUNICIPAL DE PAULINIA";1;-;-;-;-;1
"2082411 HOSPITAL MUNICIPAL DR GUIDO GUIDA";2;-;-;11;3;16
"0009628 HOSPITAL MUNICIPAL DR JOSE DE CARVALHO FLORENCE";2;1;-;2;-;5
"2081490 HOSPITAL MUNICIPAL DR MARIO GATTI CAMPINAS";-;1;-;-;-;1
"2058790 HOSPITAL MUNICIPAL DR WALDEMAR TEBALDI";2;-;-;-;-;2
"2747871 HOSPITAL MUNICIPAL GOV MARIO COVAS JR";-;-;-;1;-;1
"0161438 HOSPITAL MUNICIPAL GUARAPIRANGA";2708;554;-;16;36;3314
"5061989 HOSPITAL MUNICIPAL PADRE GERMANO LAUCK";3;-;-;-;-;3
"5200105 HOSPITAL MUNICIPAL PIMENTAS BONSUCESSO MANUEL DE PAIVA";13;5;-;-;1;19
"2027356 HOSPITAL MUNICIPAL UNIVERSITARIO";1;-;-;-;-;1
"2023474 HOSPITAL MUNICIPAL WALTER FERRARI";1;-;-;-;-;1
"9149511 HOSPITAL NEUROCENTER";119;69;-;-;2;190
"2083248 HOSPITAL NEXT SAO BERNARDO";51;14;-;-;-;65
"2089777 HOSPITAL NIPO BRASILEIRO";1053;65;11;16;6;1151
"2080052 HOSPITAL NOSSA SENHORA APARECIDA";1;3;-;-;-;4
"2078538 HOSPITAL NOSSA SENHORA APARECIDA - ITUPEVA (SP)";1;-;-;-;-;1
"2257548 HOSPITAL NOSSA SENHORA APARECIDA DE CAMAQUA - CAMAQUA (RS)";1;-;-;-;-;1
"2491710 HOSPITAL NOSSA SENHORA DA CONCEICAO";1;-;-;-;-;1
"2082330 HOSPITAL NOSSA SENHORA DE FATIMA";212;26;-;1;2;241
"9768688 HOSPITAL NOVA NEOMATER";17;8;-;1;7;33
"2078228 HOSPITAL NOVO ATIBAIA";7;1;-;-;2;10
"2076950 HOSPITAL OSWALDO CRUZ";989;91;3;-;7;1090
"3001113 HOSPITAL OTOCLINICA";2;-;-;-;-;2
"7898843 HOSPITAL PANAMERICANO - RIO DE JANEIRO - RJ";2;1;-;-;-;3
"2210924 HOSPITAL PHILADELFIA";-;1;-;-;1;2
"2078767 HOSPITAL PITANGUEIRAS";16;3;-;1;-;20
"2798220 HOSPITAL PREVINA";26;60;-;-;2;88
"9357661 HOSPITAL PROMED - GOIANIA (GO)";-;2;-;-;-;2
"2600536 HOSPITAL REGIONAL DE ARAGUAINA";1;-;-;-;-;1
"2083094 HOSPITAL REGIONAL DE ASSIS";-;-;1;-;-;1
"2792141 HOSPITAL REGIONAL DE COTIA";15;11;-;-;-;26
"2081601 HOSPITAL REGIONAL DE FRANCA - FRANCA - SP";1;1;-;-;-;2
"0009725 HOSPITAL REGIONAL DE MATO GROSSO DO SUL";1;-;-;-;-;1
